;Latitude;Longitude;sum;uncert
1;"44°31'30.0""";"138°37'30.0""";100,22;1
2;"54°12'10.0""";"119°24'0.0""";99,65;2
3;"62°36'0.0""";"155°36'0.0""";100,03;1
4;"61°35'0.0""";"146°2'0.0""";100,67;2
5;"68°55'0.0""";"164°24'0.0""";100,6;2
6;"50°42'0.0""";"113°42'0.0""";100,32;1
7;"47°30'0.0""";"136°27'0.0""";100,49;1
8;"48°14'0.0""";"137°28'0.0""";100,01;1
9;"50°16'0.0""";"112°59'0.0""";99,54;2
10;"51°3'0.0""";"113°33'0.0""";100,45;1
11;"50°41'0.0""";"110°44'0.0""";100,27;1
12;"61°19'0.0""";"149°14'0.0""";99,82;1
13;"46°11'26.0""";"135°51'32.0""";99,89;1
14;"52°1'20.0""";"114°21'20.0""";100,43;1
15;"69°32'0.0""";"149°32'0.0""";99,53;2
16;"52°32'0.0""";"135°12'0.0""";100,24;1
17;"54°0'30.0""";"117°48'20.0""";100,41;1
18;"69°35'0.0""";"141°34'0.0""";100,5;2
19;"65°49'0.0""";"135°20'0.0""";100,14;1
20;"52°23'0.0""";"134°38'0.0""";99,54;2
21;"63°38'0.0""";"175°38'0.0""";100,52;2
22;"61°50'0.0""";"146°39'0.0""";99,71;2
23;"50°17'0.0""";"113°25'0.0""";99,63;2
24;"46°34'35.0""";"105°21'25.0""";100,01;1
25;"52°6'50.0""";"115°58'50.0""";100,03;1
26;"65°3'0.0""";"145°40'0.0""";100,22;1
27;"61°46'0.0""";"152°35'0.0""";100,87;3
28;"44°32'10.0""";"134°14'35.0""";100,3;1
29;"62°24'0.0""";"174°25'0.0""";99,66;2
30;"66°20'0.0""";"137°50'0.0""";100,29;1
31;"51°17'0.0""";"113°36'0.0""";99,67;2
32;"47°55'0.0""";"105°46'50.0""";99,9;1
33;"60°30'0.0""";"142°4'0.0""";100,06;1
34;"52°25'0.0""";"134°13'0.0""";100,17;1
35;"51°26'0.0""";"108°44'0.0""";100,21;1
36;"51°49'0.0""";"111°25'0.0""";99,96;1
37;"49°5'0.0""";"137°35'0.0""";99,83;1
38;"45°37'30.0""";"135°8'57.0""";99,12;3
39;"51°7'0.0""";"112°52'0.0""";99,74;2
40;"44°27'35.0""";"136°3'0.0""";100,41;1
41;"54°20'0.0""";"117°57'40.0""";100,57;2
42;"61°17'0.0""";"149°23'0.0""";100,12;1
43;"67°50'0.0""";"-178°50'0.0""";100,27;1
44;"52°28'0.0""";"140°19'0.0""";100,05;1
45;"50°12'0.0""";"112°39'0.0""";100,36;1
46;"50°56'0.0""";"113°18'0.0""";99,86;1
47;"47°27'48.0""";"138°23'24.0""";99,26;3
48;"60°27'0.0""";"146°53'0.0""";99,95;1
49;"52°6'50.0""";"115°58'0.0""";100,03;1
50;"61°19'0.0""";"149°15'0.0""";100,29;1
51;"51°5'0.0""";"113°33'0.0""";99,72;2
52;"49°49'0.0""";"139°9'0.0""";100,35;1
53;"67°57'0.0""";"177°19'0.0""";99,76;1
54;"62°45'0.0""";"158°49'0.0""";100,7;2
55;"53°35'30.0""";"118°31'50.0""";100,5;2
56;"50°23'0.0""";"111°37'0.0""";100,17;1
57;"52°37'0.0""";"133°30'0.0""";100,24;1
58;"52°28'0.0""";"140°16'0.0""";100,03;1
59;"51°45'30.0""";"107°35'0.0""";100,62;2
60;"52°30'30.0""";"114°2'0.0""";100,11;1
61;"52°36'30.0""";"115°19'30.0""";99,91;1
62;"67°13'0.0""";"179°20'0.0""";100,42;1
63;"69°55'0.0""";"140°42'0.0""";100,57;2
64;"46°16'0.0""";"135°27'40.0""";99,31;3
65;"53°53'40.0""";"115°39'0.0""";99,97;1
66;"47°14'20.0""";"137°53'20.0""";100,17;1
67;"65°42'0.0""";"-178°4'0.0""";100,11;1
68;"48°49'0.0""";"105°30'0.0""";99,64;2
69;"61°55'0.0""";"156°21'0.0""";100,91;3
70;"49°30'0.0""";"113°6'0.0""";99,54;2
71;"50°44'40.0""";"105°18'0.0""";99,92;1
72;"66°34'0.0""";"171°55'0.0""";100,42;1
73;"52°11'40.0""";"110°13'30.0""";100,45;1
74;"43°53'35.0""";"135°6'11.0""";100,67;2
75;"52°29'0.0""";"139°59'0.0""";100,04;1
76;"51°5'0.0""";"113°12'0.0""";100,19;1
77;"50°35'0.0""";"109°31'0.0""";99,93;1
78;"61°27'0.0""";"155°51'0.0""";100,33;1
79;"60°42'0.0""";"152°32'0.0""";99,85;1
80;"61°40'0.0""";"155°19'0.0""";100;1
81;"60°46'0.0""";"153°20'0.0""";100,29;1
82;"46°0'5.0""";"135°18'17.0""";100;1
83;"53°52'0.0""";"136°34'0.0""";100,87;3
84;"52°23'15.0""";"114°15'40.0""";100,03;1
85;"55°8'0.0""";"128°48'0.0""";99,73;2
86;"47°27'0.0""";"138°4'30.0""";99,77;1
87;"53°19'30.0""";"112°36'0.0""";99,84;1
88;"52°6'50.0""";"115°58'30.0""";99,68;2
89;"61°21'0.0""";"146°16'0.0""";99,88;1
90;"45°32'49.0""";"134°45'0.0""";100,77;3
91;"62°25'0.0""";"156°10'0.0""";99,78;1
92;"67°21'0.0""";"175°40'0.0""";100;1
93;"60°12'0.0""";"151°5'0.0""";100,66;2
94;"63°16'0.0""";"152°10'0.0""";99,61;2
95;"52°6'50.0""";"115°58'30.0""";99,4;3
96;"48°34'0.0""";"138°52'0.0""";99,3;3
97;"62°19'0.0""";"155°30'0.0""";100,08;1
98;"68°2'0.0""";"137°9'0.0""";99,51;2
99;"62°39'0.0""";"155°41'0.0""";99,89;1
100;"61°41'0.0""";"151°26'0.0""";99,75;1
101;"48°13'0.0""";"138°41'0.0""";99,81;1
102;"63°35'0.0""";"175°24'0.0""";99,79;1
103;"53°6'30.0""";"112°52'40.0""";100;1
104;"52°37'0.0""";"118°29'0.0""";99,51;2
105;"43°38'45.0""";"135°12'47.0""";100,21;1
106;"52°37'50.0""";"117°36'30.0""";99,82;1
107;"69°58'0.0""";"171°32'0.0""";100,33;1
108;"66°11'0.0""";"129°14'0.0""";100,4;1
109;"61°16'0.0""";"149°11'0.0""";100,09;1
110;"46°29'30.0""";"138°13'56.0""";100,47;1
111;"66°24'0.0""";"-174°53'0.0""";100,32;1
112;"65°3'0.0""";"146°4'0.0""";99,92;1
113;"50°34'0.0""";"134°13'0.0""";99,92;1
114;"62°8'0.0""";"152°8'0.0""";100,44;1
115;"69°44'0.0""";"171°50'0.0""";99,72;2
116;"50°44'40.0""";"105°18'0.0""";99,52;2
117;"53°18'0.0""";"128°58'0.0""";99,74;2
118;"60°46'0.0""";"154°21'0.0""";100,26;1
119;"69°36'0.0""";"150°29'0.0""";100,56;2
120;"48°56'0.0""";"106°45'0.0""";100,15;1
121;"61°19'0.0""";"149°19'0.0""";99,87;1
122;"46°55'0.0""";"105°41'0.0""";99,95;1
123;"52°8'20.0""";"116°2'30.0""";99,92;1
124;"52°47'20.0""";"110°14'10.0""";99,88;1
125;"61°21'0.0""";"151°46'0.0""";100,21;1
126;"52°6'50.0""";"115°59'20.0""";99,99;1
127;"49°35'0.0""";"108°53'0.0""";99,27;3
128;"50°44'20.0""";"105°17'30.0""";100,07;1
129;"61°23'0.0""";"151°47'0.0""";99,92;1
130;"61°50'0.0""";"161°9'0.0""";99,52;2
131;"62°2'0.0""";"141°2'0.0""";100,33;1
132;"43°0'0.0""";"107°9'0.0""";99,56;2
133;"61°23'0.0""";"151°50'0.0""";99,9;1
134;"67°51'0.0""";"-179°17'0.0""";100,47;1
135;"51°15'0.0""";"113°35'0.0""";99,62;2
136;"52°6'50.0""";"115°59'20.0""";99,97;1
137;"57°43'0.0""";"139°41'0.0""";100,7;2
138;"51°27'10.0""";"108°44'20.0""";99,76;1
139;"52°48'40.0""";"114°28'50.0""";99,93;1
140;"52°29'40.0""";"115°29'50.0""";100,57;2
141;"52°26'20.0""";"117°12'55.0""";100,45;1
142;"52°37'25.0""";"115°23'20.0""";100,45;1
143;"49°12'0.0""";"137°29'0.0""";99,55;2
144;"46°45'0.0""";"111°47'30.0""";99,62;2
145;"52°29'0.0""";"134°13'0.0""";99,44;3
146;"50°43'0.0""";"113°45'0.0""";99,86;1
147;"52°56'50.0""";"114°5'0.0""";100,01;1
148;"48°6'30.0""";"114°27'30.0""";99,99;1
149;"45°52'20.0""";"135°22'35.0""";100,46;1
150;"71°45'0.0""";"140°53'0.0""";99,8;1
151;"50°7'0.0""";"110°7'0.0""";100,26;1
152;"47°27'48.0""";"138°23'24.0""";99,04;3
153;"51°45'40.0""";"107°32'0.0""";100,37;1
154;"53°56'10.0""";"115°43'0.0""";99,98;1
155;"50°23'0.0""";"110°44'0.0""";100,29;1
156;"67°59'0.0""";"177°32'0.0""";99,93;1
157;"48°54'0.0""";"138°59'0.0""";100,53;2
158;"69°18'0.0""";"143°5'0.0""";100,09;1
159;"62°32'0.0""";"155°49'0.0""";99,78;1
160;"45°49'20.0""";"135°20'40.0""";100,18;1
161;"47°49'13.0""";"138°8'10.0""";99,79;1
162;"45°36'27.0""";"134°51'30.0""";99,85;1
163;"49°23'0.0""";"139°33'0.0""";99,87;1
164;"64°32'0.0""";"146°32'0.0""";100,42;1
165;"48°12'0.0""";"137°19'0.0""";99,66;2
166;"45°32'53.0""";"136°56'35.0""";100,48;1
167;"62°17'0.0""";"148°47'0.0""";100,52;2
168;"52°10'10.0""";"115°0'50.0""";100,53;2
169;"50°27'0.0""";"133°25'0.0""";99,74;2
170;"52°13'0.0""";"134°21'0.0""";99,38;3
171;"45°39'0.0""";"134°48'30.0""";99,93;1
172;"63°36'0.0""";"147°52'0.0""";100,59;2
173;"60°57'0.0""";"153°55'0.0""";99,93;1
174;"59°55'0.0""";"139°18'0.0""";100,55;2
175;"53°56'40.0""";"115°42'10.0""";99,88;1
176;"53°50'0.0""";"115°16'40.0""";99,72;2
177;"51°12'0.0""";"113°12'0.0""";100,17;1
178;"50°15'0.0""";"112°49'0.0""";100,15;1
179;"50°27'0.0""";"133°28'0.0""";99,64;2
180;"69°53'0.0""";"140°8'0.0""";100,2;1
181;"67°52'0.0""";"-179°21'0.0""";99,95;1
182;"60°29'40.0""";"142°1'20.0""";99,69;2
183;"51°15'0.0""";"134°11'0.0""";100,02;1
184;"44°32'30.0""";"135°42'10.0""";99,59;2
185;"52°34'20.0""";"115°15'30.0""";100,21;1
186;"50°6'0.0""";"109°46'0.0""";100,42;1
187;"69°43'0.0""";"176°5'0.0""";100,31;1
188;"46°35'5.0""";"105°26'30.0""";99,92;1
189;"66°36'0.0""";"-179°3'0.0""";99,83;1
190;"60°32'0.0""";"149°43'0.0""";100,01;1
191;"51°8'0.0""";"112°57'0.0""";99,62;2
192;"53°9'0.0""";"140°58'0.0""";100,17;1
193;"52°15'40.0""";"110°15'40.0""";100,46;1
194;"45°36'5.0""";"136°35'50.0""";99,29;3
195;"62°23'0.0""";"149°17'0.0""";100,25;1
196;"60°35'0.0""";"149°41'0.0""";100,52;2
197;"62°10'0.0""";"155°13'0.0""";100,09;1
198;"47°10'25.0""";"137°7'40.0""";100,69;2
199;"53°16'0.0""";"111°59'30.0""";100,38;1
200;"50°0'0.0""";"112°35'0.0""";100,58;2
201;"54°5'35.0""";"116°21'10.0""";99,76;1
202;"51°21'0.0""";"134°34'0.0""";99,8;1
203;"52°8'0.0""";"112°40'0.0""";99,42;3
204;"49°37'0.0""";"110°23'0.0""";100,13;1
205;"48°13'0.0""";"136°30'0.0""";99,73;2
206;"47°48'25.0""";"138°4'25.0""";99,98;1
207;"53°4'0.0""";"133°15'0.0""";99,95;1
208;"44°39'20.0""";"136°12'5.0""";100,47;1
209;"59°42'0.0""";"150°53'0.0""";100,16;1
210;"62°38'0.0""";"156°4'0.0""";100,17;1
211;"49°44'0.0""";"109°3'0.0""";99,68;2
212;"53°53'50.0""";"115°37'30.0""";99,92;1
213;"52°34'20.0""";"115°15'30.0""";99,72;2
214;"50°9'0.0""";"109°55'0.0""";100,07;1
215;"44°23'40.0""";"133°1'20.0""";99,7;2
216;"61°58'0.0""";"156°19'0.0""";99,93;1
217;"66°58'0.0""";"135°48'0.0""";100,46;1
218;"51°18'0.0""";"113°35'0.0""";100,29;1
219;"43°37'58.0""";"135°12'59.0""";100,59;2
220;"53°44'0.0""";"115°17'30.0""";100,28;1
221;"62°35'0.0""";"155°35'0.0""";100,11;1
222;"67°23'0.0""";"156°33'0.0""";100,21;1
223;"50°42'0.0""";"113°33'0.0""";100,54;2
224;"47°59'0.0""";"108°15'0.0""";99,82;1
225;"49°13'0.0""";"138°0'0.0""";99,93;1
226;"63°53'0.0""";"157°53'0.0""";100,42;1
227;"47°27'0.0""";"138°43'0.0""";99,56;2
228;"51°12'0.0""";"112°52'0.0""";99,45;3
229;"45°37'49.0""";"134°46'20.0""";100,36;1
230;"53°43'30.0""";"115°12'30.0""";99,86;1
231;"69°58'0.0""";"171°38'0.0""";100,04;1
232;"67°50'0.0""";"-179°10'0.0""";100,58;2
233;"50°50'0.0""";"108°22'0.0""";99,73;2
234;"50°57'0.0""";"105°52'30.0""";100,32;1
235;"45°6'0.0""";"136°45'0.0""";100,26;1
236;"44°27'50.0""";"135°13'7.0""";99,78;1
237;"54°44'0.0""";"123°55'0.0""";100,44;1
238;"46°35'50.0""";"105°51'35.0""";99,58;2
239;"48°12'0.0""";"136°30'0.0""";100,15;1
240;"52°56'0.0""";"114°6'30.0""";100,23;1
241;"44°50'30.0""";"135°3'20.0""";100,01;1
242;"44°29'5.0""";"134°15'7.0""";100,16;1
243;"47°24'6.0""";"138°6'54.0""";100,72;2
244;"45°36'0.0""";"136°39'30.0""";99,25;3
245;"61°18'0.0""";"142°5'0.0""";100,56;2
246;"45°49'15.0""";"135°38'10.0""";100,36;1
247;"43°6'53.0""";"133°25'18.0""";100,51;2
248;"62°27'0.0""";"155°50'0.0""";99,94;1
249;"50°19'0.0""";"112°48'0.0""";100,43;1
250;"46°25'0.0""";"109°43'0.0""";100,52;2
251;"62°36'0.0""";"155°53'0.0""";99,28;3
252;"53°31'30.0""";"118°49'40.0""";99,65;2
253;"53°44'20.0""";"115°23'10.0""";100,25;1
254;"46°37'10.0""";"138°14'55.0""";100,49;1
255;"54°0'30.0""";"117°48'40.0""";100;1
256;"46°12'30.0""";"110°50'0.0""";99,53;2
257;"50°32'0.0""";"111°11'0.0""";99,92;1
258;"62°27'0.0""";"155°58'0.0""";100,57;2
259;"61°50'0.0""";"156°29'0.0""";100,35;1
260;"51°43'0.0""";"113°12'0.0""";100,03;1
261;"53°54'50.0""";"115°33'0.0""";99,6;2
262;"46°37'0.0""";"104°44'0.0""";99,81;1
263;"61°22'0.0""";"151°50'0.0""";99,78;1
264;"46°55'0.0""";"105°46'50.0""";99,43;3
265;"61°8'0.0""";"151°4'0.0""";99,33;3
266;"69°44'0.0""";"171°55'0.0""";100,16;1
267;"49°31'0.0""";"110°6'0.0""";100,42;1
268;"50°39'20.0""";"104°34'0.0""";99,97;1
269;"45°44'30.0""";"134°46'36.0""";100,47;1
270;"44°52'7.0""";"136°9'50.0""";99,98;1
271;"44°31'8.0""";"134°12'58.0""";99,79;1
272;"50°2'0.0""";"110°55'0.0""";100,15;1
273;"69°25'0.0""";"176°40'0.0""";100,67;2
274;"72°19'0.0""";"141°14'0.0""";99,72;2
275;"62°17'0.0""";"155°30'0.0""";99,95;1
276;"59°55'0.0""";"144°5'0.0""";100,4;1
277;"47°37'30.0""";"112°5'0.0""";99,52;2
278;"51°8'0.0""";"113°34'0.0""";99,78;1
279;"65°45'0.0""";"141°5'0.0""";100,04;1
280;"49°19'0.0""";"139°13'0.0""";100,46;1
281;"66°26'0.0""";"-175°21'0.0""";100,47;1
282;"53°55'20.0""";"115°42'30.0""";99,62;2
283;"52°58'0.0""";"112°42'40.0""";100,15;1
284;"49°25'0.0""";"139°17'0.0""";100,37;1
285;"53°40'0.0""";"118°37'0.0""";100,49;1
286;"51°9'0.0""";"133°57'0.0""";99,97;1
287;"67°41'0.0""";"139°49'0.0""";100,87;3
288;"51°45'30.0""";"107°35'0.0""";100,34;1
289;"47°14'0.0""";"137°53'35.0""";99,68;2
290;"54°22'30.0""";"116°59'35.0""";99,91;1
291;"51°17'0.0""";"108°30'0.0""";99,7;2
292;"49°16'0.0""";"139°9'0.0""";100,28;1
293;"61°8'0.0""";"151°3'0.0""";99,73;2
294;"50°37'0.0""";"113°43'0.0""";100,17;1
295;"69°46'0.0""";"142°12'0.0""";100,4;1
296;"66°1'0.0""";"142°7'0.0""";99,55;2
297;"45°31'42.0""";"134°41'0.0""";99,55;2
298;"61°18'0.0""";"149°10'0.0""";100,52;2
299;"44°27'0.0""";"134°20'29.0""";100,15;1
300;"53°41'50.0""";"115°6'10.0""";99,91;1
301;"62°3'0.0""";"141°2'0.0""";100,35;1
302;"68°3'0.0""";"-179°30'0.0""";99,82;1
303;"51°38'40.0""";"110°19'20.0""";100,12;1
304;"62°41'0.0""";"155°55'0.0""";100,06;1
305;"62°22'0.0""";"139°53'0.0""";99,5;2
306;"53°9'0.0""";"129°45'0.0""";99,66;2
307;"47°14'20.0""";"113°54'7.0""";99,62;2
308;"62°2'0.0""";"155°15'0.0""";100,47;1
309;"66°21'0.0""";"-174°52'0.0""";99,58;2
310;"62°10'0.0""";"155°13'0.0""";100,32;1
311;"46°25'0.0""";"109°43'0.0""";99,42;3
312;"60°39'0.0""";"149°30'0.0""";99,39;3
313;"51°26'20.0""";"108°44'30.0""";99,96;1
314;"53°49'0.0""";"140°1'0.0""";100,25;1
315;"61°55'0.0""";"139°25'0.0""";100,48;1
316;"53°57'0.0""";"115°42'0.0""";99,63;2
317;"51°13'50.0""";"107°34'0.0""";100,37;1
318;"60°38'0.0""";"149°30'0.0""";100,71;2
319;"69°43'0.0""";"141°41'0.0""";99,54;2
320;"52°6'50.0""";"115°58'30.0""";100,34;1
321;"52°6'50.0""";"115°58'30.0""";99,99;1
322;"60°29'45.0""";"142°5'20.0""";100,71;2
323;"63°58'0.0""";"163°28'0.0""";99,9;1
324;"51°7'0.0""";"113°15'0.0""";100,55;2
325;"53°50'10.0""";"115°18'10.0""";99,88;1
326;"61°1'0.0""";"150°5'0.0""";99,19;3
327;"54°49'15.0""";"117°45'20.0""";100,09;1
328;"54°12'10.0""";"119°24'0.0""";100,22;1
329;"53°56'0.0""";"115°39'10.0""";100,11;1
330;"67°18'30.0""";"156°52'0.0""";100,47;1
331;"61°42'0.0""";"165°1'0.0""";100,01;1
332;"70°10'0.0""";"140°39'0.0""";99,73;2
333;"53°53'40.0""";"115°37'10.0""";99,53;2
334;"53°27'0.0""";"118°51'30.0""";99,71;2
335;"44°47'0.0""";"133°0'0.0""";100,5;2
336;"64°52'0.0""";"-175°31'0.0""";100,19;1
337;"46°37'0.0""";"104°44'0.0""";100,1;1
338;"67°56'0.0""";"178°5'0.0""";100,23;1
339;"69°58'0.0""";"140°41'0.0""";99,18;3
340;"50°15'0.0""";"110°5'0.0""";99,68;2
341;"63°37'0.0""";"147°53'0.0""";100,49;1
342;"44°26'55.0""";"134°20'2.0""";99,77;1
343;"53°14'0.0""";"125°37'0.0""";100,22;1
344;"53°15'20.0""";"111°56'45.0""";99,9;1
345;"69°18'0.0""";"143°5'0.0""";100,43;1
346;"53°23'5.0""";"116°58'40.0""";100,25;1
347;"51°33'0.0""";"135°38'0.0""";100,65;2
348;"53°43'50.0""";"115°18'50.0""";100,11;1
349;"53°55'30.0""";"115°42'30.0""";100,53;2
350;"61°18'0.0""";"149°10'0.0""";100,4;1
351;"66°9'0.0""";"129°12'0.0""";99,9;1
352;"69°46'0.0""";"171°38'0.0""";100,54;2
353;"48°45'0.0""";"102°37'30.0""";100,24;1
354;"44°29'10.0""";"136°6'40.0""";99,62;2
355;"62°37'0.0""";"155°40'0.0""";99,94;1
356;"61°43'0.0""";"150°30'0.0""";100,28;1
357;"53°54'50.0""";"115°33'0.0""";99,48;3
358;"52°11'40.0""";"110°21'40.0""";100,48;1
359;"66°17'0.0""";"139°47'0.0""";99,6;2
360;"51°42'0.0""";"113°12'0.0""";100,08;1
361;"69°3'0.0""";"174°10'0.0""";99,73;2
362;"52°30'0.0""";"110°23'30.0""";99,27;3
363;"51°27'0.0""";"140°26'0.0""";100,88;3
364;"51°28'0.0""";"113°22'0.0""";99,7;2
365;"53°53'25.0""";"115°34'20.0""";99,76;1
366;"50°56'0.0""";"113°18'0.0""";99,77;1
367;"57°46'0.0""";"138°47'0.0""";99,62;2
368;"65°28'0.0""";"161°16'0.0""";99,88;1
369;"49°3'0.0""";"139°2'0.0""";99,95;1
370;"53°47'20.0""";"119°35'54.0""";100,14;1
371;"69°2'0.0""";"174°7'0.0""";99,5;2
372;"69°56'0.0""";"171°38'0.0""";99,82;1
373;"65°53'0.0""";"-176°50'0.0""";100,7;2
374;"61°9'0.0""";"151°3'0.0""";99,32;3
375;"53°18'0.0""";"112°51'0.0""";100,45;1
376;"63°14'0.0""";"152°11'0.0""";99,86;1
377;"67°59'18.0""";"177°28'30.0""";100,05;1
378;"47°45'0.0""";"108°49'30.0""";99,65;2
379;"53°55'30.0""";"115°42'30.0""";100,52;2
380;"52°26'0.0""";"115°29'0.0""";100,17;1
381;"51°40'0.0""";"113°18'0.0""";100,12;1
382;"59°51'0.0""";"144°10'0.0""";100,13;1
383;"68°2'0.0""";"-178°42'0.0""";99,83;1
384;"51°43'0.0""";"108°2'0.0""";99,92;1
385;"61°19'0.0""";"149°11'0.0""";99,71;2
386;"62°3'0.0""";"152°55'0.0""";99,59;2
387;"45°29'0.0""";"137°3'0.0""";100,49;1
388;"62°10'0.0""";"152°5'0.0""";100,25;1
389;"52°40'45.0""";"110°57'15.0""";99,23;3
390;"69°56'0.0""";"141°25'0.0""";100,1;1
391;"61°22'0.0""";"146°12'0.0""";99,85;1
392;"64°17'0.0""";"172°40'0.0""";100,61;2
393;"51°28'20.0""";"108°40'0.0""";99,7;2
394;"53°55'40.0""";"115°42'50.0""";99,4;3
395;"61°18'0.0""";"149°12'0.0""";99,1;3
396;"53°55'40.0""";"115°32'30.0""";99,88;1
397;"62°42'0.0""";"155°42'0.0""";99,89;1
398;"66°11'0.0""";"129°33'0.0""";99,6;2
399;"45°55'0.0""";"135°30'0.0""";100,08;1
400;"69°33'0.0""";"149°22'0.0""";100,01;1
401;"61°18'0.0""";"149°10'0.0""";99,95;1
402;"52°29'0.0""";"139°50'0.0""";100,58;2
403;"47°29'40.0""";"138°53'4.0""";99,41;3
404;"50°41'0.0""";"106°4'30.0""";99,5;2
405;"50°13'0.0""";"110°6'0.0""";100;1
406;"52°58'0.0""";"112°42'40.0""";100,32;1
407;"69°49'0.0""";"142°14'0.0""";99,12;3
408;"52°25'10.0""";"116°25'27.0""";100,21;1
409;"45°40'10.0""";"134°46'45.0""";100,23;1
410;"63°54'0.0""";"146°51'0.0""";99,96;1
411;"44°36'20.0""";"135°33'30.0""";100,6;2
412;"43°38'51.0""";"133°54'44.0""";99,85;1
413;"50°41'0.0""";"113°40'0.0""";99,93;1
414;"52°51'20.0""";"117°17'20.0""";99,84;1
415;"54°36'0.0""";"122°7'0.0""";100,68;2
416;"67°4'0.0""";"158°25'0.0""";100,17;1
417;"50°0'0.0""";"111°30'0.0""";99,46;3
418;"45°51'29.0""";"134°30'0.0""";100,75;3
419;"53°54'50.0""";"115°34'30.0""";99,57;2
420;"61°21'0.0""";"148°18'0.0""";100,44;1
421;"50°12'0.0""";"110°6'0.0""";100,1;1
422;"53°56'10.0""";"115°43'0.0""";99,69;2
423;"62°11'0.0""";"139°53'0.0""";100,24;1
424;"47°13'40.0""";"137°52'40.0""";100,69;2
425;"47°0'8.0""";"137°13'45.0""";99,58;2
426;"51°4'0.0""";"113°3'0.0""";100,24;1
427;"65°34'24.0""";"179°51'0.0""";99,67;2
428;"68°8'0.0""";"136°27'0.0""";100,1;1
429;"62°5'0.0""";"164°12'0.0""";100,14;1
430;"53°50'30.0""";"117°38'20.0""";100,39;1
431;"53°30'50.0""";"116°48'20.0""";100,51;2
432;"59°52'0.0""";"139°9'0.0""";100,32;1
433;"62°11'0.0""";"139°53'0.0""";99,91;1
434;"51°40'0.0""";"113°16'0.0""";100,11;1
435;"49°37'42.0""";"107°33'18.0""";100,05;1
436;"50°11'30.0""";"107°25'20.0""";99,62;2
437;"43°56'0.0""";"135°25'0.0""";100,3;1
438;"51°30'0.0""";"113°21'0.0""";99,9;1
439;"53°14'30.0""";"111°57'50.0""";100,46;1
440;"66°16'0.0""";"139°47'0.0""";99,62;2
441;"62°20'0.0""";"148°1'0.0""";99,89;1
442;"53°49'0.0""";"140°1'0.0""";100,15;1
443;"52°56'40.0""";"114°5'0.0""";100,19;1
444;"51°24'0.0""";"113°20'0.0""";99,74;2
445;"62°37'0.0""";"155°38'0.0""";99,87;1
446;"69°48'0.0""";"171°29'0.0""";100,07;1
447;"52°47'0.0""";"110°13'30.0""";99,13;3
448;"63°4'0.0""";"139°11'0.0""";100,35;1
449;"63°2'0.0""";"155°21'0.0""";99,72;2
450;"47°36'0.0""";"109°23'30.0""";99,8;1
451;"61°21'0.0""";"149°13'0.0""";100;1
452;"44°50'0.0""";"136°0'0.0""";100,01;1
453;"69°16'0.0""";"171°25'0.0""";99,82;1
454;"61°18'0.0""";"149°20'0.0""";99,46;3
455;"51°28'20.0""";"108°40'0.0""";99,73;2
456;"51°17'0.0""";"112°7'0.0""";100,09;1
457;"61°7'0.0""";"148°30'0.0""";100,35;1
458;"53°57'0.0""";"115°42'0.0""";99,65;2
459;"46°45'0.0""";"111°47'30.0""";99,86;1
460;"52°10'10.0""";"110°22'30.0""";100,35;1
461;"54°36'0.0""";"133°28'0.0""";99,86;1
462;"64°57'0.0""";"140°7'0.0""";100,02;1
463;"53°32'0.0""";"113°12'0.0""";100,28;1
464;"47°22'42.0""";"138°6'6.0""";99,67;2
465;"52°55'30.0""";"114°2'10.0""";99,55;2
466;"53°19'35.0""";"111°54'40.0""";100,14;1
467;"54°20'25.0""";"116°58'0.0""";99,55;2
468;"44°49'20.0""";"136°22'7.0""";99,27;3
469;"43°51'50.0""";"134°14'15.0""";100,56;2
470;"53°41'40.0""";"113°11'30.0""";99,41;3
471;"45°17'0.0""";"133°51'0.0""";99,55;2
472;"55°3'0.0""";"130°6'0.0""";100,24;1
473;"66°48'0.0""";"157°47'0.0""";99,8;1
474;"47°14'35.0""";"137°49'45.0""";100,73;2
475;"61°1'0.0""";"150°5'0.0""";99,09;3
476;"46°27'0.0""";"109°41'0.0""";100,07;1
477;"53°54'40.0""";"118°20'0.0""";100,32;1
478;"51°9'0.0""";"112°55'0.0""";100,21;1
479;"53°50'0.0""";"115°16'40.0""";99,56;2
480;"50°17'0.0""";"108°28'0.0""";100,51;2
481;"51°33'0.0""";"110°4'0.0""";100,14;1
482;"61°50'0.0""";"146°37'0.0""";100,41;1
483;"51°39'0.0""";"134°2'0.0""";100,51;2
484;"49°38'0.0""";"111°3'0.0""";100,21;1
485;"47°27'48.0""";"138°23'24.0""";99,55;2
486;"69°54'0.0""";"139°45'0.0""";99,36;3
487;"47°40'0.0""";"112°7'0.0""";100,17;1
488;"62°17'0.0""";"152°6'0.0""";99,85;1
489;"47°41'0.0""";"107°41'0.0""";99,53;2
490;"46°11'30.0""";"135°52'0.0""";99,52;2
491;"52°54'0.0""";"117°23'0.0""";99,52;2
492;"53°39'20.0""";"115°47'10.0""";100,13;1
493;"54°5'5.0""";"116°20'30.0""";100,06;1
494;"68°1'0.0""";"136°37'0.0""";100,13;1
495;"66°23'0.0""";"-171°10'0.0""";99,81;1
496;"60°21'0.0""";"150°50'0.0""";100,07;1
497;"50°44'40.0""";"105°18'0.0""";100,97;3
498;"61°50'0.0""";"156°28'0.0""";100,21;1
499;"61°48'0.0""";"150°30'0.0""";99,28;3
