;Latitude;Longitude;sum;uncert
4111;"46°19'55.0""";"138°1'30.0""";99,87;1
4112;"63°33'40.0""";"165°15'0.0""";100,75;3
4113;"60°26'0.0""";"147°9'0.0""";100,98;3
4114;"47°15'0.0""";"138°41'0.0""";100,08;1
4115;"47°16'40.0""";"138°45'45.0""";100,46;1
4116;"47°21'36.0""";"138°28'48.0""";99,71;2
4117;"67°25'0.0""";"166°2'0.0""";99,82;1
4118;"69°50'0.0""";"174°26'0.0""";100,01;1
4119;"49°19'0.0""";"139°3'0.0""";100,58;2
4120;"53°22'0.0""";"140°13'0.0""";99,85;1
4121;"65°59'0.0""";"165°27'0.0""";100,52;2
4122;"62°10'0.0""";"139°14'0.0""";100,11;1
4123;"51°30'0.0""";"134°39'0.0""";100,47;1
4124;"63°10'0.0""";"157°30'0.0""";100,16;1
4125;"64°56'0.0""";"134°21'0.0""";100,25;1
4126;"45°38'40.0""";"137°23'30.0""";99,63;2
4127;"60°26'10.0""";"142°7'50.0""";99,77;1
4128;"61°54'0.0""";"147°42'0.0""";99,13;3
4129;"63°42'15.0""";"167°15'40.0""";100,4;1
4130;"44°32'15.0""";"135°37'40.0""";100,51;2
4131;"44°31'30.0""";"135°37'30.0""";100,51;2
4132;"45°34'22.0""";"135°20'25.0""";99,93;1
4133;"49°21'0.0""";"110°48'0.0""";99,53;2
4134;"51°37'0.0""";"135°44'0.0""";99,93;1
4135;"64°44'0.0""";"-174°38'0.0""";100,61;2
4136;"53°32'0.0""";"125°36'0.0""";99,88;1
4137;"49°36'0.0""";"112°24'0.0""";99,65;2
4138;"53°23'0.0""";"140°12'0.0""";99,22;3
4139;"67°50'0.0""";"-178°37'0.0""";100,25;1
4140;"51°56'0.0""";"138°45'0.0""";100,13;1
4141;"67°26'0.0""";"178°21'0.0""";100,24;1
4142;"63°7'0.0""";"157°49'0.0""";100,04;1
4143;"69°45'0.0""";"136°56'0.0""";99,76;1
4144;"47°24'24.0""";"138°6'54.0""";100,22;1
4145;"69°58'0.0""";"136°40'0.0""";99,62;2
4146;"47°11'40.0""";"137°28'0.0""";99,61;2
4147;"51°45'0.0""";"107°31'30.0""";99,81;1
4148;"44°28'17.0""";"134°45'40.0""";100,08;1
4149;"50°21'0.0""";"136°24'0.0""";100,29;1
4150;"51°14'0.0""";"113°7'0.0""";99,42;3
4151;"73°14'0.0""";"143°27'0.0""";99,58;2
4152;"62°32'30.0""";"173°16'0.0""";100,36;1
4153;"66°54'0.0""";"157°48'0.0""";100,59;2
4154;"61°11'0.0""";"138°43'0.0""";99,71;2
4155;"61°28'0.0""";"161°58'0.0""";100,31;1
4156;"47°17'25.0""";"138°9'45.0""";100,45;1
4157;"51°45'0.0""";"134°23'0.0""";100,48;1
4158;"53°10'0.0""";"141°1'0.0""";99,37;3
4159;"46°53'30.0""";"137°56'35.0""";99,36;3
4160;"50°50'0.0""";"137°28'0.0""";99,4;3
4161;"43°42'3.0""";"135°16'20.0""";99,78;1
4162;"61°3'0.0""";"152°3'0.0""";100,42;1
4163;"44°24'28.0""";"132°56'21.0""";99,83;1
4164;"54°53'0.0""";"157°5'20.0""";99,29;3
4165;"65°4'0.0""";"134°55'0.0""";100,04;1
4166;"50°21'0.0""";"112°14'0.0""";99,65;2
4167;"45°44'52.0""";"135°28'35.0""";99,95;1
4168;"69°36'30.0""";"141°9'30.0""";100,02;1
4169;"68°1'0.0""";"136°36'0.0""";100,11;1
4170;"64°4'0.0""";"164°18'30.0""";99,5;2
4171;"64°56'0.0""";"134°20'0.0""";99,93;1
4172;"64°34'0.0""";"167°35'55.0""";99,88;1
4173;"50°35'0.0""";"108°42'0.0""";100,48;1
4174;"65°20'0.0""";"167°27'0.0""";99,91;1
4175;"53°9'0.0""";"140°58'0.0""";99,62;2
4176;"53°31'20.0""";"119°19'0.0""";100,31;1
4177;"69°38'0.0""";"138°42'0.0""";100,09;1
4178;"43°42'0.0""";"135°15'5.0""";99,72;2
4179;"63°4'0.0""";"139°11'0.0""";100,14;1
4180;"63°13'0.0""";"163°42'0.0""";99,71;2
4181;"63°56'0.0""";"144°4'0.0""";99,81;1
4182;"63°57'50.0""";"167°34'0.0""";100,19;1
4183;"67°24'0.0""";"138°7'0.0""";99,23;3
4184;"47°24'24.0""";"138°6'54.0""";100,17;1
4185;"47°24'24.0""";"138°6'34.0""";100,17;1
4186;"46°14'20.0""";"137°31'0.0""";99,98;1
4187;"69°59'30.0""";"141°8'0.0""";100,12;1
4188;"62°54'0.0""";"147°23'0.0""";99,9;1
4189;"69°38'0.0""";"151°26'0.0""";99,43;3
4190;"63°32'0.0""";"157°3'0.0""";100,09;1
4191;"52°48'20.0""";"116°40'0.0""";99,65;2
4192;"65°54'0.0""";"164°5'0.0""";100,29;1
4193;"47°16'30.0""";"138°45'0.0""";100,4;1
4194;"45°31'50.0""";"135°35'40.0""";100,13;1
4195;"63°4'0.0""";"139°11'0.0""";100,06;1
4196;"60°8'20.0""";"141°44'0.0""";100,43;1
4197;"60°52'0.0""";"149°48'0.0""";100,31;1
4198;"53°10'0.0""";"140°58'0.0""";99,75;1
4199;"56°34'0.0""";"137°6'0.0""";99,7;2
4200;"44°49'40.0""";"135°3'0.0""";99,84;1
4201;"54°4'0.0""";"139°57'0.0""";99,51;2
4202;"51°18'0.0""";"113°39'0.0""";99,79;1
4203;"46°50'0.0""";"134°18'0.0""";99,91;1
4204;"66°13'0.0""";"139°27'0.0""";100,03;1
4205;"55°31'0.0""";"136°2'0.0""";100,54;2
4206;"66°28'0.0""";"134°48'0.0""";99,81;1
4207;"61°23'0.0""";"161°30'0.0""";100,98;3
4208;"49°43'0.0""";"112°16'0.0""";99,56;2
4209;"52°12'40.0""";"115°6'10.0""";99,57;2
4210;"47°15'0.0""";"138°41'0.0""";100,35;1
4211;"67°25'0.0""";"167°24'0.0""";99,88;1
4212;"49°18'0.0""";"109°52'0.0""";99,94;1
4213;"60°23'0.0""";"150°50'0.0""";100;1
4214;"61°44'0.0""";"146°24'0.0""";99,61;2
4215;"46°55'25.0""";"137°8'35.0""";100,15;1
4216;"48°44'0.0""";"135°29'0.0""";99,55;2
4217;"47°16'30.0""";"138°48'0.0""";100,02;1
4218;"53°46'0.0""";"126°26'0.0""";100,22;1
4219;"59°35'0.0""";"150°50'0.0""";99,75;1
4220;"54°18'20.0""";"117°54'30.0""";99,65;2
4221;"62°8'0.0""";"173°42'0.0""";100,28;1
4222;"64°0'12.0""";"167°6'10.0""";99,54;2
4223;"46°56'0.0""";"137°18'45.0""";99,56;2
4224;"59°37'0.0""";"150°32'0.0""";99,88;1
4225;"66°8'0.0""";"-175°25'0.0""";99,64;2
4226;"68°43'0.0""";"177°35'0.0""";99,82;1
4227;"68°41'0.0""";"140°0'30.0""";99,85;1
4228;"53°37'0.0""";"138°44'0.0""";99,68;2
4229;"44°16'0.0""";"132°47'0.0""";100,32;1
4230;"69°20'0.0""";"149°12'0.0""";99,82;1
4231;"67°44'0.0""";"166°45'0.0""";100,17;1
4232;"45°32'20.0""";"135°20'0.0""";100,38;1
4233;"64°4'0.0""";"164°15'0.0""";99,81;1
4234;"63°24'47.0""";"165°56'25.0""";100,37;1
4235;"63°9'30.0""";"163°50'30.0""";99,77;1
4236;"69°34'0.0""";"141°12'0.0""";100,04;1
4237;"53°33'25.0""";"119°38'0.0""";100,21;1
4238;"58°51'0.0""";"151°35'0.0""";100,03;1
4239;"63°0'0.0""";"163°52'0.0""";100,44;1
4240;"69°23'0.0""";"173°37'0.0""";99,67;2
4241;"64°3'0.0""";"155°56'0.0""";99,81;1
4242;"69°26'0.0""";"149°32'0.0""";99,48;3
4243;"69°38'0.0""";"170°14'0.0""";99,44;3
4244;"51°17'0.0""";"113°39'0.0""";100,09;1
4245;"47°15'0.0""";"138°41'0.0""";99,85;1
4246;"62°6'0.0""";"139°24'0.0""";100,11;1
4247;"53°8'0.0""";"141°5'0.0""";99,32;3
