;Y_UTM;X_UTM;ZoneNumber;ZoneLetter;Latitude;Longitude;past_mer;Y;X;SiO2;TiO2;Al2O3;Fe2O3;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;l.i.;oth;sum;hs;time;Fe-number;Mali;molmass_Al2O3;molmass_CaO;molmass_P2O5;molmass_Na2O;molmass_K2O;moles_Al2O3;moles_CaO;moles_P2O5;moles_Na2O;moles_K2O;ASI;classificated
2373;521532,0753;7464910,575;55;W;"67°18'0.0""";"147°30'0.0""";;67,3;147,5;70,94025662;0,120288693;16,16880513;1,543704892;0,872093023;0,010024058;0,100240577;0,190457097;4,460705694;5,322774659;0,010024058;0,050120289;0,210505213;100;0,23;K2;ferroan;alkalic;101,96;56,08;141,94;61,98;94,2;0,158579886;0,003396168;7,06218E-05;0,071970082;0,056505039;peraluminous;ferroan/alkalic/peraluminous
2374;660279,5191;5190177,885;53;T;"46°50'45.0""";"137°6'8.0""";;46,84583333;137,1022222;70,76707671;0,250025003;14,43144314;0,490049005;3,270327033;0,080008001;0,310031003;1,820182018;3,800380038;4,230423042;0,040004;0,500050005;0,010001;100;0,01;K2;ferroan;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,141540243;0,032456883;0,000281837;0,061316232;0,044908949;peraluminous;ferroan/calc-alkalic/peraluminous
2375;476564,3754;6098562,184;51;U;"55°2'0.0""";"122°38'0.0""";;55,03333333;122,6333333;70,58354115;0,149625935;15,99002494;0,359102244;1,466334165;0,009975062;0,588528678;1,406483791;4,987531172;4,099750623;0,049875312;0,29925187;0,009975062;100;0,01;K1;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,156826451;0,025079953;0,000351383;0,080470009;0,043521769;peraluminous;magnesian/alkali-calcic/peraluminous
2376;602717,0007;6141119,9;50;U;"55°24'20.0""";"118°37'20.0""";;55,40555556;118,6222222;70,73170732;0,299880048;14,92403039;0,509796082;2,149140344;0,049980008;0,619752099;1,719312275;4,698120752;3,898440624;0,129948021;0,259896042;0,009996002;100;0,01;Tr;ferroan;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,146371424;0,030658207;0,000915514;0,075800593;0,04138472;peraluminous;ferroan/alkali-calcic/peraluminous
2377;705943,9391;5590831,807;48;U;"50°26'0.0""";"107°54'0.0""";;50,43333333;107,9;70,95868432;0,330926594;14,75130365;0,350982752;2,757721621;0,050140393;0,65182511;1,123144805;3,088648215;5,515443241;0,010028079;0,401123145;0,010028079;100;0,01;Tr;ferroan;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,14467736;0,020027546;7,06501E-05;0,049832982;0,058550353;peraluminous;ferroan/alkali-calcic/peraluminous
2378;461527,1802;5503559,754;49;U;"49°41'0.0""";"110°28'0.0""";;49,68333333;110,4666667;71,10843131;0,321575721;14,00864235;0,170837102;3,316249623;0,050246206;0,733594614;2,321374736;3,617726862;3,75841624;0,130640137;0,452215858;0,010049241;100;0,01;J2;ferroan;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,137393511;0,041393986;0,00092039;0,058369262;0,039898262;metaluminous;ferroan/calc-alkalic/metaluminous
2379;643994,0825;5932870,391;49;U;"53°31'30.0""";"113°10'20.0""";;53,525;113,1722222;70,88049684;0,831413403;14,7049985;0,741260142;2,354001803;0,010017029;0,911549634;1,973354703;4,57778223;2,444155064;0,080136232;0,48081739;0,010017029;100;0,21;Tr;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,14422321;0,035188208;0,000564578;0,073859023;0,025946444;peraluminous;magnesian/calc-alkalic/peraluminous
2380;404348,4356;7377289,329;1;W;"66°30'0.0""";"179°9'0.0""WW";W;66,5;-179,15;70,59469168;0,199560966;16,16443824;0,768309719;1,546597486;0,029934145;0,399121932;1,965675514;1,845938934;5,767311914;0,339253642;0,299341449;0,079824386;100;0,04;K2;ferroan;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,158537056;0,035051275;0,00239012;0,029782816;0,061224118;peraluminous;ferroan/calc-alkalic/peraluminous
2381;317920,3165;5048551,175;49;T;"45°34'0.0""";"108°40'0.0""";;45,56666667;108,6666667;70,41202229;0,268710191;13,45541401;3,84156051;0,925557325;0,049761146;0,497611465;1,811305732;4,219745223;3,582802548;0,069665605;0,85589172;0,009952229;100;0,01;J2;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,131967576;0,032298604;0,00049081;0,068082369;0,038033997;metaluminous;magnesian/calc-alkalic/metaluminous
2382;462158,297;6924526,952;54;V;"62°27'0.0""";"140°16'0.0""";;62,45;140,2666667;70,79247549;0,230138083;15,21913148;0,170102061;2,071242746;0,060036022;0,570342205;2,061236742;3,892335401;4,692815689;0,080048029;0,150090054;0,010006004;100;0,77;K1;ferroan;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,149265707;0,036755291;0,000563957;0,062799861;0,049817576;peraluminous;ferroan/alkali-calcic/peraluminous
