;Latitude;Longitude;QAPF
1220;"61ø56'0.0""";"140ø25'0.0""";monzo granite
1221;"46ø3'0.0""";"115ø40'0.0""";monzo granite
1222;"67ø51'0.0""";"179ø20'0.0""WW";monzo granite
1223;"50ø58'0.0""";"110ø25'0.0""";monzo granite
1224;"62ø24'0.0""";"158ø42'0.0""";granodiorite
1225;"45ø21'0.0""";"136ø20'0.0""";monzo granite
1226;"53ø11'45.0""";"117ø50'20.0""";monzo granite
1227;"49ø27'0.0""";"112ø3'0.0""";monzo granite
1228;"47ø27'24.0""";"138ø17'12.0""";monzo granite
1229;"45ø5'15.0""";"136ø47'50.0""";monzo granite
1230;"50ø42'0.0""";"110ø23'0.0""";monzo granite
1231;"50ø40'0.0""";"113ø40'0.0""";monzo granite
1232;"53ø41'50.0""";"115ø4'30.0""";monzo granite
1233;"68ø27'0.0""";"138ø40'0.0""";monzo granite
1234;"60ø44'0.0""";"150ø32'0.0""";monzo granite
1235;"66ø33'0.0""";"138ø21'0.0""";monzo granite
1236;"51ø15'0.0""";"113ø37'0.0""";monzo granite
1237;"69ø3'0.0""";"174ø10'0.0""";granodiorite
1238;"51ø31'0.0""";"113ø18'0.0""";monzo granite
1239;"50ø13'7.0""";"143ø1'0.0""";monzo granite
1240;"53ø33'50.0""";"119ø59'0.0""";monzo granite
1241;"54ø8'40.0""";"119ø26'0.0""";monzo granite
1242;"44ø27'40.0""";"136ø2'0.0""";monzo granite
1243;"50ø7'0.0""";"110ø11'0.0""";monzo granite
1244;"59ø27'0.0""";"150ø55'0.0""";granodiorite
1245;"43ø6'55.0""";"134ø20'10.0""";monzo granite
1246;"46ø51'0.0""";"105ø45'0.0""";monzo granite
1247;"52ø21'10.0""";"115ø17'30.0""";monzo granite
1248;"52ø44'0.0""";"115ø33'0.0""";monzo granite
1249;"45ø34'30.0""";"136ø59'30.0""";monzo granite
1250;"52ø47'0.0""";"110ø13'20.0""";monzo granite
1251;"69ø55'0.0""";"134ø0'0.0""";monzo granite
1252;"47ø0'0.0""";"105ø10'0.0""";monzo granite
1253;"45ø32'30.0""";"135ø18'30.0""";monzo granite
1254;"43ø42'0.0""";"133ø56'0.0""";monzo granite
1255;"58ø53'0.0""";"151ø46'0.0""";monzo granite
1256;"46ø30'0.0""";"104ø15'0.0""";monzo granite
1257;"44ø48'0.0""";"133ø30'35.0""";monzo granite
1258;"66ø16'0.0""";"139ø47'0.0""";monzo granite
1259;"45ø53'0.0""";"135ø1'10.0""";monzo granite
1260;"49ø58'0.0""";"112ø58'0.0""";monzo granite
1261;"45ø30'20.0""";"135ø25'30.0""";monzo granite
1262;"48ø58'0.0""";"132ø17'0.0""";monzo granite
1263;"53ø55'50.0""";"115ø46'0.0""";monzo granite
1264;"67ø24'0.0""";"157ø39'0.0""";monzo granite
1265;"43ø39'40.0""";"135ø13'20.0""";monzo granite
1266;"68ø1'0.0""";"137ø11'0.0""";monzo granite
1267;"51ø28'0.0""";"111ø12'0.0""";monzo granite
1268;"46ø33'25.0""";"135ø55'10.0""";monzo granite
1269;"64ø45'0.0""";"141ø19'0.0""";monzo granite
1270;"68ø1'0.0""";"137ø4'0.0""";monzo granite
1271;"69ø42'0.0""";"171ø26'0.0""";monzo granite
1272;"49ø49'0.0""";"111ø48'0.0""";monzo granite
1273;"46ø53'0.0""";"102ø8'0.0""";monzo granite
1274;"50ø8'0.0""";"109ø54'0.0""";monzo granite
1275;"63ø45'0.0""";"157ø57'0.0""";monzo granite
1276;"53ø8'0.0""";"119ø2'30.0""";monzo granite
1277;"45ø59'25.0""";"136ø12'40.0""";monzo granite
1278;"51ø7'0.0""";"112ø54'0.0""";monzo granite
1279;"50ø50'0.0""";"108ø22'0.0""";monzo granite
1280;"51ø6'0.0""";"113ø14'0.0""";monzo granite
1281;"52ø16'50.0""";"115ø56'40.0""";monzo granite
1282;"45ø21'40.0""";"135ø48'30.0""";monzo granite
1283;"52ø45'30.0""";"116ø40'16.0""";monzo granite
1284;"51ø2'0.0""";"112ø30'0.0""";monzo granite
1285;"67ø25'0.0""";"134ø53'0.0""";monzo granite
1286;"51ø12'0.0""";"110ø37'0.0""";monzo granite
1287;"47ø13'13.0""";"138ø14'45.0""";monzo granite
1288;"51ø27'0.0""";"108ø20'0.0""";monzo granite
1289;"51ø21'30.0""";"108ø29'30.0""";monzo granite
1290;"49ø23'0.0""";"109ø27'0.0""";monzo granite
1291;"51ø47'0.0""";"113ø53'0.0""";monzo granite
1292;"44ø28'28.0""";"134ø15'50.0""";monzo granite
1293;"62ø23'0.0""";"155ø54'0.0""";monzo granite
1294;"52ø29'55.0""";"115ø36'50.0""";monzo granite
1295;"69ø58'0.0""";"134ø6'0.0""";monzo granite
1296;"53ø34'40.0""";"113ø13'0.0""";monzo granite
1297;"48ø6'18.0""";"104ø23'24.0""";monzo granite
1298;"45ø54'0.0""";"107ø43'0.0""";monzo granite
1299;"50ø18'0.0""";"108ø56'0.0""";monzo granite
1300;"49ø36'0.0""";"112ø19'0.0""";monzo granite
1301;"51ø41'0.0""";"135ø40'0.0""";monzo granite
1302;"52ø18'0.0""";"113ø0'0.0""";monzo granite
1303;"50ø17'0.0""";"139ø48'0.0""";monzo granite
1304;"62ø32'0.0""";"155ø48'0.0""";monzo granite
1305;"69ø35'0.0""";"150ø30'0.0""";monzo granite
1306;"68ø2'0.0""";"179ø40'0.0""WW";monzo granite
1307;"53ø40'50.0""";"115ø9'30.0""";monzo granite
1308;"63ø38'35.0""";"142ø57'30.0""";monzo granite
1309;"49ø40'0.0""";"112ø15'0.0""";monzo granite
1310;"51ø59'20.0""";"114ø56'40.0""";monzo granite
1311;"45ø5'40.0""";"134ø41'40.0""";monzo granite
1312;"62ø37'0.0""";"140ø46'0.0""";monzo granite
1313;"51ø20'0.0""";"109ø25'0.0""";monzo granite
1314;"49ø44'0.0""";"112ø22'0.0""";monzo granite
1315;"50ø16'30.0""";"107ø30'0.0""";monzo granite
1316;"49ø45'0.0""";"112ø21'0.0""";monzo granite
1317;"52ø11'40.0""";"114ø37'20.0""";monzo granite
1318;"62ø8'0.0""";"173ø44'0.0""";granodiorite
1319;"53ø45'10.0""";"115ø18'10.0""";monzo granite
1320;"50ø7'0.0""";"110ø7'0.0""";monzo granite
1321;"60ø53'0.0""";"153ø38'0.0""";monzo granite
1322;"60ø31'40.0""";"141ø21'0.0""";monzo granite
1323;"49ø58'0.0""";"113ø2'0.0""";monzo granite
1324;"53ø43'0.0""";"115ø12'0.0""";monzo granite
1325;"69ø42'0.0""";"134ø28'0.0""";monzo granite
1326;"50ø36'0.0""";"113ø53'0.0""";monzo granite
1327;"47ø28'0.0""";"138ø11'36.0""";monzo granite
1328;"51ø26'0.0""";"113ø27'0.0""";monzo granite
1329;"52ø20'40.0""";"114ø19'0.0""";monzo granite
1330;"64ø39'0.0""";"146ø29'0.0""";monzo granite
1331;"60ø46'0.0""";"149ø31'0.0""";monzo granite
1332;"54ø49'25.0""";"117ø45'0.0""";monzo granite
1333;"52ø21'0.0""";"112ø57'0.0""";monzo granite
1334;"52ø51'0.0""";"117ø21'0.0""";monzo granite
1335;"52ø41'30.0""";"118ø23'35.0""";monzo granite
1336;"50ø18'0.0""";"108ø37'0.0""";granodiorite
1337;"52ø3'20.0""";"114ø20'50.0""";monzo granite
1338;"47ø40'0.0""";"107ø39'40.0""";monzo granite
1339;"66ø9'0.0""";"129ø13'0.0""";monzo granite
1340;"44ø29'15.0""";"136ø7'10.0""";monzo granite
1341;"47ø16'50.0""";"137ø3'20.0""";monzo granite
1342;"46ø35'14.0""";"133ø57'25.0""";granodiorite
1343;"43ø7'0.0""";"134ø20'10.0""";monzo granite
1344;"50ø10'0.0""";"112ø25'0.0""";monzo granite
1345;"67ø53'0.0""";"178ø35'0.0""WW";monzo granite
1346;"50ø33'0.0""";"111ø12'0.0""";monzo granite
1347;"61ø26'0.0""";"153ø22'0.0""";monzo granite
1348;"53ø30'25.0""";"116ø45'20.0""";monzo granite
1349;"47ø40'0.0""";"112ø7'0.0""";monzo granite
1350;"61ø31'0.0""";"156ø21'0.0""";monzo granite
1351;"65ø59'0.0""";"170ø14'0.0""";monzo granite
1352;"47ø57'0.0""";"114ø20'0.0""";monzo granite
1353;"51ø23'0.0""";"109ø27'0.0""";monzo granite
1354;"50ø3'0.0""";"109ø42'0.0""";monzo granite
1355;"53ø51'40.0""";"117ø39'20.0""";granodiorite
1356;"44ø29'15.0""";"136ø7'10.0""";monzo granite
1357;"52ø31'0.0""";"109ø42'40.0""";monzo granite
1358;"54ø19'40.0""";"119ø59'0.0""";monzo granite
1359;"52ø45'52.0""";"116ø45'50.0""";monzo granite
1360;"51ø22'0.0""";"108ø21'45.0""";monzo granite
1361;"43ø56'20.0""";"135ø30'25.0""";monzo granite
1362;"47ø49'13.0""";"138ø8'10.0""";monzo granite
1363;"47ø12'35.0""";"137ø33'10.0""";monzo granite
1364;"50ø18'0.0""";"103ø25'0.0""";monzo granite
1365;"49ø47'0.0""";"106ø59'0.0""";monzo granite
1366;"49ø5'0.0""";"131ø17'0.0""";monzo granite
1367;"50ø33'0.0""";"111ø11'0.0""";monzo granite
1368;"64ø51'0.0""";"175ø6'0.0""WW";monzo granite
1369;"45ø11'0.0""";"135ø6'35.0""";monzo granite
1370;"51ø24'0.0""";"113ø28'0.0""";monzo granite
1371;"52ø51'0.0""";"140ø58'0.0""";monzo granite
1372;"63ø15'0.0""";"152ø11'0.0""";monzo granite
1373;"53ø51'40.0""";"117ø39'20.0""";monzo granite
1374;"53ø27'0.0""";"116ø49'0.0""";monzo granite
1375;"53ø40'0.0""";"113ø16'30.0""";monzo granite
1376;"68ø5'0.0""";"136ø34'0.0""";monzo granite
1377;"43ø52'10.0""";"135ø27'0.0""";granodiorite
1378;"70ø8'0.0""";"134ø49'0.0""";monzo granite
1379;"46ø25'55.0""";"135ø49'25.0""";monzo granite
1380;"52ø23'55.0""";"109ø30'20.0""";monzo granite
1381;"49ø41'0.0""";"109ø46'0.0""";monzo granite
1382;"54ø2'0.0""";"135ø8'0.0""";monzo granite
1383;"48ø7'0.0""";"114ø30'0.0""";monzo granite
1384;"62ø24'0.0""";"149ø16'0.0""";monzo granite
1385;"45ø7'10.0""";"136ø45'50.0""";monzo granite
1386;"46ø50'10.0""";"136ø55'5.0""";monzo granite
1387;"51ø30'0.0""";"113ø15'0.0""";monzo granite
1388;"53ø54'20.0""";"115ø30'0.0""";monzo granite
1389;"67ø48'0.0""";"178ø52'0.0""WW";monzo granite
1390;"50ø56'0.0""";"113ø18'0.0""";monzo granite
1391;"69ø53'0.0""";"133ø45'0.0""";monzo granite
1392;"43ø37'20.0""";"135ø11'35.0""";monzo granite
1393;"49ø54'0.0""";"112ø55'0.0""";monzo granite
1394;"45ø15'0.0""";"133ø50'0.0""";monzo granite
1395;"51ø24'0.0""";"109ø27'0.0""";monzo granite
1396;"55ø51'0.0""";"118ø58'0.0""";monzo granite
1397;"53ø29'50.0""";"116ø32'15.0""";monzo granite
1398;"51ø27'0.0""";"108ø20'0.0""";monzo granite
1399;"51ø30'0.0""";"113ø17'0.0""";monzo granite
1400;"51ø20'0.0""";"109ø30'0.0""";granodiorite
1401;"49ø49'0.0""";"110ø51'0.0""";monzo granite
1402;"50ø56'0.0""";"113ø18'0.0""";monzo granite
1403;"53ø36'50.0""";"114ø29'0.0""";monzo granite
1404;"49ø27'0.0""";"108ø51'0.0""";monzo granite
1405;"53ø56'15.0""";"116ø15'40.0""";monzo granite
1406;"48ø5'0.0""";"107ø42'0.0""";monzo granite
1407;"52ø2'0.0""";"114ø23'30.0""";monzo granite
1408;"50ø17'10.0""";"107ø21'40.0""";monzo granite
1409;"63ø17'0.0""";"175ø24'0.0""";tonalite
1410;"67ø40'0.0""";"177ø54'12.0""";monzo granite
1411;"46ø50'0.0""";"105ø55'0.0""";monzo granite
1412;"43ø38'30.0""";"135ø15'0.0""";monzo granite
1413;"53ø43'30.0""";"115ø12'40.0""";monzo granite
1414;"51ø22'0.0""";"109ø30'0.0""";monzo granite
1415;"44ø11'0.0""";"135ø21'0.0""";monzo granite
1416;"52ø5'0.0""";"134ø52'0.0""";monzo granite
1417;"50ø56'0.0""";"113ø19'0.0""";granodiorite
1418;"50ø10'0.0""";"112ø25'0.0""";monzo granite
1419;"51ø16'0.0""";"113ø39'0.0""";monzo granite
1420;"46ø50'0.0""";"105ø59'0.0""";monzo granite
1421;"52ø38'0.0""";"115ø45'20.0""";monzo granite
1422;"53ø14'48.0""";"116ø22'50.0""";monzo granite
1423;"65ø42'0.0""";"170ø55'0.0""WW";monzo granite
1424;"63ø25'0.0""";"148ø59'0.0""";monzo granite
1425;"59ø54'0.0""";"144ø1'0.0""";monzo granite
1426;"49ø35'0.0""";"139ø5'0.0""";monzo granite
1427;"52ø9'0.0""";"112ø39'0.0""";monzo granite
1428;"51ø42'0.0""";"111ø12'0.0""";monzo granite
1429;"68ø1'0.0""";"136ø30'0.0""";monzo granite
1430;"63ø16'30.0""";"174ø42'0.0""";granodiorite
1431;"60ø27'0.0""";"150ø32'0.0""";monzo granite
1432;"45ø54'50.0""";"135ø32'5.0""";monzo granite
1433;"69ø22'0.0""";"148ø12'0.0""";monzo granite
1434;"50ø13'37.0""";"143ø1'37.0""";monzo granite
1435;"50ø13'0.0""";"112ø51'0.0""";monzo granite
1436;"51ø0'0.0""";"112ø32'0.0""";monzo granite
1437;"53ø43'30.0""";"115ø10'0.0""";monzo granite
1438;"69ø37'0.0""";"171ø20'0.0""";monzo granite
1439;"55ø55'20.0""";"118ø42'30.0""";monzo granite
1440;"50ø12'0.0""";"107ø27'0.0""";monzo granite
1441;"69ø7'0.0""";"178ø28'0.0""";monzo granite
1442;"62ø16'30.0""";"174ø6'0.0""";granodiorite
1443;"49ø56'0.0""";"111ø16'0.0""";monzo granite
1444;"61ø27'0.0""";"155ø20'0.0""";monzo granite
1445;"43ø16'40.0""";"133ø4'10.0""";monzo granite
1446;"50ø16'20.0""";"103ø28'20.0""";monzo granite
1447;"44ø50'50.0""";"135ø4'10.0""";monzo granite
1448;"65ø29'48.0""";"178ø52'0.0""";monzo granite
1449;"45ø5'10.0""";"136ø44'0.0""";monzo granite
1450;"66ø7'0.0""";"139ø33'0.0""";monzo granite
1451;"47ø38'0.0""";"138ø11'0.0""";monzo granite
1452;"43ø38'0.0""";"135ø13'25.0""";granodiorite
1453;"68ø3'0.0""";"136ø33'0.0""";monzo granite
1454;"49ø30'0.0""";"113ø13'0.0""";granodiorite
1455;"53ø32'0.0""";"125ø35'0.0""";granodiorite
1456;"51ø5'0.0""";"134ø24'0.0""";monzo granite
1457;"53ø29'50.0""";"116ø32'15.0""";monzo granite
1458;"68ø1'0.0""";"137ø18'0.0""";monzo granite
1459;"60ø59'0.0""";"150ø3'0.0""";monzo granite
1460;"69ø56'0.0""";"170ø50'0.0""";monzo granite
1461;"59ø7'0.0""";"152ø55'0.0""";monzo granite
1462;"52ø59'20.0""";"116ø58'0.0""";monzo granite
1463;"53ø56'10.0""";"115ø36'40.0""";monzo granite
1464;"52ø16'15.0""";"117ø44'20.0""";monzo granite
1465;"62ø12'0.0""";"154ø45'0.0""";monzo granite
1466;"51ø38'0.0""";"113ø55'0.0""";monzo granite
1467;"49ø42'0.0""";"109ø46'0.0""";monzo granite
1468;"50ø44'0.0""";"113ø36'0.0""";monzo granite
1469;"54ø30'25.0""";"116ø53'0.0""";monzo granite
1470;"50ø34'0.0""";"139ø50'0.0""";monzo granite
1471;"45ø37'0.0""";"134ø49'0.0""";monzo granite
1472;"66ø25'0.0""";"138ø33'0.0""";monzo granite
1473;"53ø39'0.0""";"119ø9'0.0""";monzo granite
1474;"67ø56'0.0""";"178ø6'0.0""";monzo granite
1475;"68ø2'0.0""";"137ø10'0.0""";monzo granite
1476;"50ø55'0.0""";"112ø54'0.0""";monzo granite
1477;"53ø42'20.0""";"115ø5'0.0""";monzo granite
1478;"50ø24'0.0""";"112ø38'0.0""";monzo granite
1479;"53ø34'10.0""";"113ø20'0.0""";monzo granite
1480;"45ø12'40.0""";"134ø24'0.0""";monzo granite
1481;"43ø47'5.0""";"135ø26'5.0""";monzo granite
1482;"68ø57'0.0""";"136ø34'0.0""";monzo granite
1483;"45ø59'15.0""";"135ø53'30.0""";monzo granite
1484;"51ø19'0.0""";"109ø21'0.0""";monzo granite
1485;"66ø31'0.0""";"179ø1'0.0""WW";monzo granite
1486;"69ø22'0.0""";"176ø58'0.0""";granodiorite
1487;"51ø23'0.0""";"109ø27'0.0""";monzo granite
1488;"67ø59'12.0""";"177ø23'0.0""";monzo granite
1489;"51ø9'0.0""";"112ø55'0.0""";monzo granite
1490;"51ø27'0.0""";"108ø20'0.0""";monzo granite
1491;"47ø20'0.0""";"104ø40'0.0""";monzo granite
1492;"53ø44'20.0""";"115ø10'30.0""";monzo granite
1493;"64ø10'0.0""";"156ø35'0.0""";monzo granite
1494;"60ø41'0.0""";"149ø46'0.0""";monzo granite
1495;"69ø10'0.0""";"164ø20'0.0""";monzo granite
1496;"69ø42'0.0""";"164ø2'0.0""";monzo granite
1497;"70ø48'0.0""";"160ø40'0.0""";monzo granite
1498;"48ø5'0.0""";"107ø42'0.0""";monzo granite
1499;"54ø12'10.0""";"119ø25'0.0""";monzo granite
1500;"47ø14'0.0""";"138ø45'0.0""";monzo granite
1501;"43ø48'35.0""";"135ø27'35.0""";monzo granite
1502;"52ø19'0.0""";"112ø58'0.0""";monzo granite
1503;"53ø47'20.0""";"115ø26'30.0""";monzo granite
1504;"56ø21'30.0""";"118ø17'10.0""";monzo granite
1505;"51ø30'0.0""";"113ø23'0.0""";monzo granite
1506;"45ø55'30.0""";"135ø54'30.0""";monzo granite
1507;"63ø55'0.0""";"150ø2'0.0""";monzo granite
1508;"62ø5'0.0""";"149ø13'0.0""";monzo granite
1509;"65ø48'0.0""";"177ø48'0.0""WW";monzo granite
1510;"63ø24'0.0""";"153ø33'0.0""";monzo granite
1511;"69ø22'0.0""";"149ø30'0.0""";monzo granite
1512;"52ø9'20.0""";"116ø15'0.0""";monzo granite
1513;"45ø53'35.0""";"135ø21'0.0""";granodiorite
1514;"44ø29'20.0""";"133ø14'10.0""";monzo granite
1515;"51ø29'30.0""";"110ø10'0.0""";monzo granite
1516;"47ø20'0.0""";"106ø55'0.0""";monzo granite
1517;"47ø9'20.0""";"134ø44'15.0""";monzo granite
1518;"61ø49'0.0""";"146ø40'0.0""";monzo granite
1519;"43ø37'15.0""";"135ø11'22.0""";granodiorite
1520;"44ø29'5.0""";"136ø7'20.0""";monzo granite
1521;"52ø31'0.0""";"134ø9'0.0""";monzo granite
1522;"45ø58'30.0""";"114ø20'0.0""";monzo granite
1523;"68ø10'0.0""";"178ø20'0.0""WW";monzo granite
1524;"67ø51'0.0""";"178ø52'0.0""WW";monzo granite
1525;"69ø54'0.0""";"133ø44'0.0""";monzo granite
1526;"49ø37'0.0""";"112ø22'0.0""";monzo granite
1527;"50ø24'0.0""";"112ø34'0.0""";monzo granite
1528;"53ø29'30.0""";"118ø52'10.0""";monzo granite
1529;"55ø32'0.0""";"119ø8'0.0""";monzo granite
1530;"47ø38'0.0""";"138ø11'0.0""";monzo granite
1531;"53ø6'30.0""";"119ø12'20.0""";monzo granite
1532;"56ø4'30.0""";"118ø46'30.0""";monzo granite
1533;"65ø39'0.0""";"176ø26'0.0""WW";monzo granite
1534;"53ø11'0.0""";"114ø31'50.0""";monzo granite
1535;"66ø19'0.0""";"137ø57'0.0""";monzo granite
1536;"50ø24'0.0""";"110ø44'0.0""";monzo granite
1537;"68ø25'0.0""";"179ø49'0.0""WW";monzo granite
1538;"52ø21'0.0""";"134ø13'0.0""";monzo granite
1539;"46ø49'45.0""";"136ø59'25.0""";monzo granite
1540;"67ø20'30.0""";"177ø41'36.0""";monzo granite
1541;"66ø18'0.0""";"177ø59'0.0""";monzo granite
1542;"55ø23'20.0""";"118ø46'40.0""";monzo granite
1543;"53ø15'40.0""";"111ø57'0.0""";monzo granite
1544;"50ø36'0.0""";"113ø54'0.0""";monzo granite
1545;"63ø0'50.0""";"163ø57'30.0""";monzo granite
1546;"61ø39'0.0""";"154ø36'0.0""";monzo granite
1547;"46ø17'40.0""";"135ø54'25.0""";monzo granite
1548;"63ø15'0.0""";"152ø12'0.0""";monzo granite
1549;"66ø25'0.0""";"178ø55'0.0""WW";monzo granite
1550;"68ø3'0.0""";"130ø5'0.0""";monzo granite
1551;"66ø53'0.0""";"176ø48'0.0""";monzo granite
1552;"66ø19'0.0""";"172ø25'0.0""WW";monzo granite
1553;"66ø39'0.0""";"178ø37'0.0""WW";monzo granite
1554;"51ø29'30.0""";"110ø13'30.0""";monzo granite
1555;"45ø43'30.0""";"135ø5'0.0""";monzo granite
1556;"65ø46'0.0""";"179ø58'0.0""WW";monzo granite
1557;"53ø43'0.0""";"115ø10'0.0""";monzo granite
1558;"43ø7'30.0""";"134ø20'10.0""";monzo granite
1559;"64ø51'0.0""";"175ø6'0.0""WW";monzo granite
1560;"48ø57'0.0""";"105ø40'40.0""";monzo granite
1561;"69ø52'0.0""";"134ø16'0.0""";monzo granite
1562;"44ø27'50.0""";"136ø4'30.0""";monzo granite
1563;"62ø25'0.0""";"149ø14'0.0""";monzo granite
1564;"69ø28'0.0""";"145ø25'0.0""";monzo granite
1565;"51ø9'0.0""";"112ø57'0.0""";monzo granite
1566;"52ø24'10.0""";"109ø34'0.0""";monzo granite
1567;"64ø15'0.0""";"143ø30'0.0""";monzo granite
1568;"50ø19'0.0""";"112ø7'0.0""";monzo granite
1569;"66ø53'0.0""";"175ø28'0.0""";monzo granite
1570;"53ø41'30.0""";"115ø16'30.0""";monzo granite
1571;"46ø53'0.0""";"105ø59'0.0""";monzo granite
1572;"54ø57'30.0""";"117ø40'50.0""";monzo granite
1573;"53ø49'30.0""";"119ø52'0.0""";monzo granite
1574;"52ø21'0.0""";"114ø55'0.0""";monzo granite
1575;"53ø27'20.0""";"116ø32'40.0""";monzo granite
1576;"51ø36'0.0""";"134ø52'0.0""";monzo granite
1577;"52ø53'10.0""";"114ø4'0.0""";monzo granite
1578;"44ø29'40.0""";"136ø8'30.0""";monzo granite
1579;"50ø2'0.0""";"112ø35'0.0""";monzo granite
1580;"49ø33'0.0""";"112ø37'0.0""";monzo granite
1581;"60ø38'0.0""";"149ø32'0.0""";monzo granite
1582;"49ø50'0.0""";"110ø2'0.0""";monzo granite
1583;"53ø2'20.0""";"119ø3'40.0""";monzo granite
1584;"50ø43'0.0""";"136ø14'0.0""";monzo granite
1585;"47ø15'0.0""";"138ø41'0.0""";granodiorite
1586;"45ø38'0.0""";"135ø20'0.0""";granodiorite
1587;"49ø13'0.0""";"104ø45'0.0""";monzo granite
1588;"50ø59'0.0""";"112ø54'0.0""";monzo granite
1589;"51ø48'0.0""";"135ø37'0.0""";monzo granite
1590;"49ø36'0.0""";"108ø25'0.0""";monzo granite
1591;"45ø52'30.0""";"115ø45'0.0""";monzo granite
1592;"50ø18'0.0""";"107ø20'0.0""";monzo granite
1593;"67ø59'0.0""";"177ø31'0.0""";monzo granite
1594;"52ø26'0.0""";"134ø3'0.0""";monzo granite
1595;"50ø0'0.0""";"112ø32'0.0""";monzo granite
1596;"54ø52'0.0""";"157ø28'0.0""";monzo granite
1597;"66ø14'0.0""";"171ø20'0.0""WW";monzo granite
1598;"50ø15'0.0""";"138ø32'0.0""";monzo granite
1599;"55ø16'30.0""";"118ø24'30.0""";monzo granite
1600;"51ø19'0.0""";"109ø26'0.0""";monzo granite
1601;"45ø54'0.0""";"107ø58'30.0""";monzo granite
1602;"45ø40'0.0""";"135ø9'30.0""";syeno granite
1603;"51ø19'0.0""";"109ø26'0.0""";monzo granite
1604;"53ø15'40.0""";"111ø56'0.0""";monzo granite
1605;"46ø27'10.0""";"138ø11'0.0""";monzo granite
1606;"64ø55'0.0""";"141ø30'0.0""";monzo granite
1607;"69ø7'0.0""";"178ø16'0.0""";monzo granite
1608;"45ø17'20.0""";"134ø38'25.0""";monzo granite
1609;"53ø43'10.0""";"115ø12'0.0""";monzo granite
1610;"66ø35'0.0""";"178ø55'0.0""WW";monzo granite
1611;"67ø19'0.0""";"179ø28'0.0""WW";monzo granite
1612;"53ø41'10.0""";"115ø5'20.0""";monzo granite
1613;"52ø28'35.0""";"109ø37'30.0""";monzo granite
1614;"51ø11'0.0""";"113ø20'0.0""";monzo granite
1615;"50ø45'0.0""";"105ø17'20.0""";monzo granite
1616;"69ø13'0.0""";"139ø54'0.0""";monzo granite
1617;"49ø22'0.0""";"107ø47'30.0""";monzo granite
1618;"59ø50'0.0""";"143ø59'0.0""";monzo granite
1619;"53ø45'40.0""";"115ø18'30.0""";monzo granite
1620;"50ø17'15.0""";"107ø20'0.0""";monzo granite
1621;"53ø7'10.0""";"119ø5'20.0""";monzo granite
1622;"72ø53'0.0""";"143ø39'0.0""";monzo granite
1623;"50ø36'0.0""";"100ø16'30.0""";monzo granite
1624;"64ø24'0.0""";"141ø15'0.0""";monzo granite
1625;"66ø18'0.0""";"137ø48'0.0""";monzo granite
1626;"53ø43'50.0""";"115ø10'30.0""";monzo granite
1627;"63ø55'53.0""";"166ø0'30.0""";monzo granite
1628;"43ø42'0.0""";"135ø15'5.0""";monzo granite
1629;"55ø20'0.0""";"118ø51'40.0""";monzo granite
1630;"48ø37'30.0""";"108ø1'30.0""";monzo granite
1631;"44ø29'15.0""";"136ø7'10.0""";monzo granite
1632;"60ø28'0.0""";"143ø36'0.0""";monzo granite
1633;"67ø25'0.0""";"135ø21'0.0""";monzo granite
1634;"54ø11'10.0""";"117ø47'30.0""";monzo granite
1635;"52ø20'40.0""";"114ø19'0.0""";monzo granite
1636;"65ø36'0.0""";"170ø37'0.0""WW";monzo granite
1637;"66ø31'0.0""";"179ø1'0.0""WW";monzo granite
1638;"43ø40'50.0""";"135ø10'50.0""";monzo granite
1639;"56ø20'0.0""";"118ø15'40.0""";monzo granite
1640;"63ø52'45.0""";"167ø43'15.0""";granodiorite
1641;"60ø23'0.0""";"144ø55'0.0""";monzo granite
1642;"69ø27'0.0""";"145ø30'0.0""";monzo granite
1643;"66ø29'0.0""";"172ø23'0.0""WW";monzo granite
1644;"47ø40'0.0""";"112ø7'0.0""";monzo granite
1645;"67ø58'0.0""";"178ø2'0.0""";monzo granite
1646;"47ø21'18.0""";"138ø27'12.0""";monzo granite
1647;"51ø42'0.0""";"110ø39'50.0""";monzo granite
1648;"49ø45'0.0""";"112ø37'0.0""";syeno granite
1649;"53ø5'35.0""";"116ø40'0.0""";monzo granite
1650;"69ø36'0.0""";"150ø32'0.0""";monzo granite
1651;"52ø19'55.0""";"115ø58'0.0""";monzo granite
1652;"50ø41'0.0""";"136ø28'0.0""";monzo granite
1653;"49ø38'0.0""";"108ø27'0.0""";monzo granite
1654;"45ø38'50.0""";"137ø25'35.0""";monzo granite
1655;"61ø44'0.0""";"153ø19'0.0""";monzo granite
1656;"61ø1'0.0""";"150ø7'0.0""";monzo granite
1657;"50ø8'0.0""";"110ø11'0.0""";monzo granite
1658;"62ø11'0.0""";"146ø8'0.0""";monzo granite
1659;"67ø54'0.0""";"178ø6'0.0""";monzo granite
1660;"47ø11'0.0""";"135ø19'0.0""";monzo granite
1661;"50ø52'0.0""";"108ø27'0.0""";monzo granite
1662;"50ø16'20.0""";"107ø35'0.0""";monzo granite
1663;"51ø24'0.0""";"110ø20'0.0""";monzo granite
1664;"47ø15'0.0""";"104ø27'30.0""";monzo granite
1665;"60ø7'0.0""";"144ø43'0.0""";monzo granite
1666;"49ø49'0.0""";"111ø48'0.0""";monzo granite
1667;"57ø38'0.0""";"138ø7'0.0""";monzo granite
1668;"66ø6'0.0""";"169ø45'0.0""WW";monzo granite
