;Latitude;Longitude;QAPF
93;"60ø12'0.0""";"151ø5'0.0""";monzo granite
94;"63ø16'0.0""";"152ø10'0.0""";monzo granite
95;"52ø6'50.0""";"115ø58'30.0""";monzo granite
96;"48ø34'0.0""";"138ø52'0.0""";monzo granite
97;"62ø19'0.0""";"155ø30'0.0""";monzo granite
98;"68ø2'0.0""";"137ø9'0.0""";monzo granite
99;"62ø39'0.0""";"155ø41'0.0""";syeno granite
100;"61ø41'0.0""";"151ø26'0.0""";monzo granite
101;"48ø13'0.0""";"138ø41'0.0""";monzo granite
102;"63ø35'0.0""";"175ø24'0.0""";granodiorite
103;"53ø6'30.0""";"112ø52'40.0""";monzo granite
104;"52ø37'0.0""";"118ø29'0.0""";monzo granite
105;"43ø38'45.0""";"135ø12'47.0""";monzo granite
106;"52ø37'50.0""";"117ø36'30.0""";monzo granite
107;"69ø58'0.0""";"171ø32'0.0""";monzo granite
108;"66ø11'0.0""";"129ø14'0.0""";monzo granite
109;"61ø16'0.0""";"149ø11'0.0""";monzo granite
110;"46ø29'30.0""";"138ø13'56.0""";monzo granite
111;"66ø24'0.0""";"174ø53'0.0""WW";monzo granite
112;"65ø3'0.0""";"146ø4'0.0""";monzo granite
113;"50ø34'0.0""";"134ø13'0.0""";monzo granite
114;"62ø8'0.0""";"152ø8'0.0""";monzo granite
115;"69ø44'0.0""";"171ø50'0.0""";monzo granite
116;"50ø44'40.0""";"105ø18'0.0""";monzo granite
117;"53ø18'0.0""";"128ø58'0.0""";monzo granite
118;"60ø46'0.0""";"154ø21'0.0""";monzo granite
119;"69ø36'0.0""";"150ø29'0.0""";monzo granite
120;"48ø56'0.0""";"106ø45'0.0""";syeno granite
121;"61ø19'0.0""";"149ø19'0.0""";monzo granite
122;"46ø55'0.0""";"105ø41'0.0""";monzo granite
123;"52ø8'20.0""";"116ø2'30.0""";monzo granite
124;"52ø47'20.0""";"110ø14'10.0""";monzo granite
125;"61ø21'0.0""";"151ø46'0.0""";monzo granite
126;"52ø6'50.0""";"115ø59'20.0""";monzo granite
127;"49ø35'0.0""";"108ø53'0.0""";monzo granite
128;"50ø44'20.0""";"105ø17'30.0""";monzo granite
129;"61ø23'0.0""";"151ø47'0.0""";monzo granite
130;"61ø50'0.0""";"161ø9'0.0""";monzo granite
131;"62ø2'0.0""";"141ø2'0.0""";monzo granite
132;"43ø0'0.0""";"107ø9'0.0""";monzo granite
133;"61ø23'0.0""";"151ø50'0.0""";monzo granite
134;"67ø51'0.0""";"179ø17'0.0""WW";monzo granite
135;"51ø15'0.0""";"113ø35'0.0""";monzo granite
136;"52ø6'50.0""";"115ø59'20.0""";monzo granite
137;"57ø43'0.0""";"139ø41'0.0""";monzo granite
138;"51ø27'10.0""";"108ø44'20.0""";monzo granite
139;"52ø48'40.0""";"114ø28'50.0""";monzo granite
140;"52ø29'40.0""";"115ø29'50.0""";monzo granite
141;"52ø26'20.0""";"117ø12'55.0""";monzo granite
142;"52ø37'25.0""";"115ø23'20.0""";monzo granite
143;"49ø12'0.0""";"137ø29'0.0""";monzo granite
144;"46ø45'0.0""";"111ø47'30.0""";quartz-rich granitoid
145;"52ø29'0.0""";"134ø13'0.0""";monzo granite
146;"50ø43'0.0""";"113ø45'0.0""";monzo granite
147;"52ø56'50.0""";"114ø5'0.0""";monzo granite
148;"48ø6'30.0""";"114ø27'30.0""";monzo granite
149;"45ø52'20.0""";"135ø22'35.0""";monzo granite
150;"71ø45'0.0""";"140ø53'0.0""";monzo granite
151;"50ø7'0.0""";"110ø7'0.0""";monzo granite
152;"47ø27'48.0""";"138ø23'24.0""";monzo granite
153;"51ø45'40.0""";"107ø32'0.0""";monzo granite
154;"53ø56'10.0""";"115ø43'0.0""";monzo granite
