	areax																
SIO2 TIO2 AL2O3 FE2O3 FEO MNO MGO CAO NA2O K2O P2O5 CO2 F S BAO	                                                                                 																
BASANITE	V	0	44.30	2.51	14.70	3.94	7.50	0.16	8.54	10.19	3.55	1.96	0.74	0.18	0.00	0.00	0.00
NEPHELIN	V	0	40.60	2.66	14.33	5.48	6.17	0.26	6.39	11.89	4.79	3.46	1.07	0.60	0.00	0.00	0.00
TEPHRITE	V	0	47.80	1.76	17.00	4.12	5.22	0.15	4.70	9.18	3.69	4.49	0.63	0.02	0.00	0.00	0.00
ANORTHOS	P	0	50.28	0.64	25.86	0.96	2.07	0.05	2.12	12.48	3.15	0.65	0.09	0.14	0.00	0.00	0.00
PYROXENI	P	0	46.27	1.47	7.16	4.27	7.18	0.16	16.04	14.08	0.92	0.64	0.38	0.13	0.00	0.00	0.00
PERIDOTI	P	0	42.26	0.63	4.23	3.61	6.58	0.41	31.24	5.05	0.49	0.34	0.10	0.30	0.00	0.00	0.00
DUNITE	P	0	38.29	0.09	1.82	3.59	9.38	0.71	37.94	1.01	0.20	0.08	0.20	0.43	0.00	0.00	0.00
HARZB	P	0	39.93	0.26	2.35	5.48	6.47	0.15	33.18	2.90	0.31	0.14	4.00	0.24	0.13	0.09	0.00
BOSTONT	V	0	61.15	0.21	22.07	1.05	1.02	0.00	0.40	0.75	5.86	7.01	0.00	0.00	0.00	0.00	0.00
PLAGIOG	P	0	68.00	0.70	14.10	0.00	6.60	0.10	1.60	4.70	3.50	0.30	0.10	0.00	0.00	0.00	0.00
ASCEN	P	0	71.60	0.20	11.70	0.00	4.00	0.10	0.20	0.10	5.50	4.70	0.00	0.00	0.00	0.00	0.00
NIGERIA	P	0	75.60	0.10	13.00	1.30	0.00	0.10	0.50	3.90	4.70	0.00	0.00	0.00	0.00	0.00	0.00
MTYPE	P	0	67.20	0.50	15.20	0.00	4.10	0.10	1.70	4.30	4.00	1.30	0.10	0.00	0.00	0.00	0.00
ITYPE	P	0	69.50	0.40	14.20	0.00	3.10	0.10	1.40	3.10	3.20	3.50	0.10	0.00	0.00	0.00	0.00
STYPE	P	0	70.90	0.40	14.00	0.00	3.00	0.10	1.20	1.90	2.50	4.10	0.20	0.00	0.00	0.00	0.00
ATYPE	P	0	73.80	0.30	12.40	0.00	2.70	0.10	0.20	0.80	4.10	4.70	0.00	0.00	0.00	0.00	0.00
ARCHEAN	P	0	69.80	0.30	15.60	0.00	2.80	0.10	1.20	3.20	4.90	1.80	0.10	0.00	0.00	0.00	0.00
MODERN	P	0	68.10	0.50	15.10	0.00	3.90	0.10	1.60	3.10	3.70	3.40	0.20	0.00	0.00	0.00	0.00
AV.CRUST	P	0	57.30	0.90	15.90	0.00	9.10	0.60	5.30	7.40	3.10	1.10	0.00	0.00	0.00	0.00	0.00
U.CRUST	P	0	66.00	0.50	15.20	0.00	4.50	0.30	2.20	4.20	3.90	3.40	0.00	0.00	0.00	0.00	0.00
L.CRUST	P	0	54.40	1.00	16.10	0.00	10.60	0.80	6.30	8.50	2.80	0.30	0.00	0.00	0.00	0.00	0.00
EARVALK1	V	0	45.60	2.40	15.60	0.00	11.30	0.20	6.90	10.40	3.20	1.30	0.60	0.00	0.00	0.00	0.00
EARVALK2	V	0	51.70	0.90	19.30	0.00	5.90	0.20	1.11	4.10	8.90	4.60	0.30	0.00	0.00	0.00	0.00
EARVUAL3	V	0	46.20	1.60	18.60	0.00	8.90	0.20	2.30	7.30	9.30	4.20	0.50	0.00	0.00	0.00	0.00
EARVUAL4	V	0	33.10	2.60	11.30	0.00	12.40	0.30	7.30	17.20	3.20	3.60	1.90	0.00	0.00	0.00	0.00
EARVUAL5	V	0	44.10	2.80	17.00	0.00	10.00	0.20	3.70	8.40	4.30	7.20	1.20	0.00	0.00	0.00	0.00
EARVUAL6	V	0	55.40	0.50	20.80	0.00	4.60	0.20	0.50	2.90	9.20	5.50	0.10	0.00	0.00	0.00	0.00
EARVTRN7	V	0	47.60	2.00	14.80	0.00	11.40	0.20	6.40	11.50	2.70	0.80	0.30	0.00	0.00	0.00	0.00
EARVTBR8	V	0	61.80	1.00	14.20	0.00	6.40	0.30	0.50	1.80	6.20	5.20	0.20	0.00	0.00	0.00	0.00
EARVTRN9	V	0	70.30	0.30	7.60	0.00	8.40	0.30	0.00	0.40	7.30	4.30	0.00	0.00	0.00	0.00	0.00
EARVTR10	V	0	72.50	0.20	10.30	0.00	4.00	0.10	0.00	0.20	5.90	4.40	0.00	0.00	0.00	0.00	0.00
EARVSER4	V	0	50.80	1.40	14.90	0.00	10.10	0.20	6.90	9.80	2.60	0.40	0.40	0.00	0.00	0.00	0.00
LOWKBSLT	V	0	50.70	0.80	17.70	3.10	7.40	0.00	6.40	11.30	2.00	0.30	0.10	0.00	0.00	0.00	0.00
LOWKANDS	V	0	58.80	0.70	17.00	3.00	5.20	0.00	3.60	8.10	2.90	0.60	0.20	0.00	0.00	0.00	0.00
LOWKDACT	V	0	67.10	0.60	15.00	2.00	3.50	0.00	1.50	5.00	3.80	0.90	0.20	0.00	0.00	0.00	0.00
LOWKRHYO	V	0	74.50	0.40	12.90	1.40	1.70	0.00	0.60	2.80	4.00	1.10	0.10	0.00	0.00	0.00	0.00
MDKBASLT	V	0	50.10	1.00	17.10	3.40	7.00	0.00	7.10	10.60	2.50	0.80	0.20	0.00	0.00	0.00	0.00
MDKAANDS	V	0	59.20	0.70	17.10	2.90	4.20	0.00	3.70	7.10	3.20	1.30	0.20	0.00	0.00	0.00	0.00
MDKDACTE	V	0	67.20	0.50	16.20	2.00	1.80	0.00	1.50	3.80	4.30	2.10	0.20	0.00	0.00	0.00	0.00
MDKRHYOL	V	0	75.20	0.20	13.50	1.00	1.10	0.00	0.50	1.60	4.20	2.70	0.10	0.00	0.00	0.00	0.00
HIKBASLT	V	0	49.80	1.60	16.50	3.90	6.40	0.00	6.80	9.40	3.30	1.60	0.50	0.00	0.00	0.00	0.00
HIKAANDS	V	0	59.40	0.90	16.80	3.60	3.00	0.00	3.20	6.00	3.60	2.80	0.40	0.00	0.00	0.00	0.00
HIKDACIT	V	0	67.50	0.60	16.00	2.00	1.50	0.00	1.10	3.00	4.00	3.90	0.20	0.00	0.00	0.00	0.00
HIKRHYOL	V	0	75.60	0.20	13.30	0.90	0.50	0.00	0.30	0.90	3.60	4.50	0.10	0.00	0.00	0.00	0.00
AMBAR	V	0	51.10	2.24	15.10	0.00	13.00	0.22	5.07	9.31	2.58	0.91	0.42	0.00	0.00	0.00	0.00
ROCCR	V	0	49.50	2.41	16.30	0.00	12.40	0.20	6.06	9.15	2.58	0.93	0.41	0.00	0.00	0.00	0.00
HIMG	V	0	53.80	1.78	14.50	0.00	11.40	0.19	5.25	9.07	2.83	1.05	0.28	0.00	0.00	0.00	0.00
LOWMG	V	0	55.90	2.27	14.00	0.00	11.80	0.19	3.36	6.88	3.14	1.99	0.43	0.00	0.00	0.00	0.00
PRINC	V	0	51.60	2.71	13.90	0.00	12.30	0.24	4.44	8.12	3.36	2.02	1.39	0.00	0.00	0.00	0.00
BMN	V	0	50.00	1.00	17.10	0.00	10.00	0.14	7.84	11.00	2.44	0.27	0.19	0.00	0.00	0.00	0.00
FRSPR	V	0	52.30	3.17	13.20	0.00	14.40	0.22	4.04	7.90	2.67	1.41	0.71	0.00	0.00	0.00	0.00
ROZA	V	0	51.20	3.13	14.10	0.00	13.90	0.23	4.39	8.48	2.72	1.22	0.67	0.00	0.00	0.00	0.00
UMATI	V	0	54.70	2.80	14.10	0.00	12.60	0.17	2.71	6.14	3.20	2.68	0.88	0.00	0.00	0.00	0.00
ASOTN	V	0	50.70	1.45	16.20	0.00	9.64	0.17	8.19	10.70	2.22	0.51	0.18	0.00	0.00	0.00	0.00
GOOSE	V	0	47.50	3.79	12.50	0.00	17.50	0.27	4.41	8.80	2.44	1.23	1.54	0.00	0.00	0.00	0.00
PHILPP90	P	0	53.80	2.00	13.90	2.60	9.30	0.20	4.10	7.90	3.00	1.50	0.40	0.00	0.00	0.00	0.00
HAWTHOL1	V	0	49.40	2.50	13.90	3.03	8.53	0.16	8.44	10.30	2.13	0.38	0.26	0.00	0.00	0.00	0.00
HAWTHOL2	V	0	49.20	2.57	12.80	1.50	10.10	0.17	10.00	10.80	2.12	0.51	0.25	0.00	0.00	0.00	0.00
HAWTHOL3	V	0	49.40	2.47	13.00	2.32	9.16	0.18	9.79	10.20	2.24	0.47	0.24	0.00	0.00	0.00	0.00
ALL	V	0	50.50	1.56	15.30	0.00	10.50	0.00	7.47	11.50	2.62	0.16	0.13	0.00	0.00	0.00	0.00
MAR	V	0	50.70	1.49	15.60	0.00	9.85	0.00	7.69	11.40	2.66	0.17	0.12	0.00	0.00	0.00	0.00
EPR	V	0	50.20	1.77	14.90	0.00	11.30	0.00	7.10	11.40	2.66	0.16	0.14	0.00	0.00	0.00	0.00
IOR	V	0	50.90	1.19	15.20	0.00	10.30	0.00	7.69	11.80	2.32	0.14	0.10	0.00	0.00	0.00	0.00
BASALT	V	0	42.80	4.14	14.30	5.89	8.55	0.17	6.76	12.00	2.79	2.06	0.58	0.00	0.00	0.00	0.00
TRACBSLT	V	0	46.00	3.41	17.10	3.70	7.12	0.17	4.61	10.20	3.99	3.02	0.75	0.00	0.00	0.00	0.00
TRACBSLT	V	0	49.40	3.19	18.50	2.87	5.37	0.16	3.31	7.47	4.95	3.68	1.10	0.00	0.00	0.00	0.00
TRACNDST	V	0	54.60	1.75	19.50	2.83	2.87	0.18	1.50	5.65	5.82	4.85	0.51	0.00	0.00	0.00	0.00
TRACHYTE	V	0	60.20	0.80	20.20	2.20	0.91	0.14	0.49	2.15	6.58	6.23	0.11	0.00	0.00	0.00	0.00
BASALT	V	0	50.00	2.61	16.70	0.00	11.60	0.19	5.70	8.71	3.00	1.16	0.34	0.00	0.00	0.00	0.00
HAWAIITE	V	0	51.40	2.65	16.00	0.00	10.70	0.20	5.14	8.36	3.68	1.35	0.59	0.00	0.00	0.00	0.00
TRNSANDS	V	0	53.20	2.52	16.10	0.00	9.66	0.29	3.55	6.44	4.89	1.91	1.15	0.00	0.00	0.00	0.00
TRACHYTE	V	0	64.80	0.61	16.80	0.00	4.48	0.22	0.53	1.54	6.53	3.63	0.66	0.00	0.00	0.00	0.00
RHYOLITE	V	0	73.10	0.20	12.40	0.00	3.39	0.11	0.04	0.22	5.58	4.70	0.02	0.00	0.00	0.00	0.00
THOLBASL	V	0	49.20	2.03	16.10	2.72	7.77	0.18	6.44	10.50	3.01	0.14	0.23	0.14	0.00	0.00	0.00
ORENDITE	V	0	35.60	5.98	12.90	7.68	9.28	0.05	5.40	8.46	8.35	2.78	2.13	0.00	0.00	0.00	0.00
0																	
