;Lat_deg;Lat_min;Lat_sec;Long_deg;Long_min;Long_sec;Latitude;Longitude;past_mer;type_granite;time;massif;sampler;others;sampler+year
1;44;31;30;138;37;30;"44ø31'30.0""";"138ø37'30.0""";;Granite leucogranitic;K;;;;V.N.Musin,1970
2;54;12;10;119;24;;"54ø12'10.0""";"119ø24'0.0""";;Granite leucocratic;Tr;;V.I.Zhigalova;;E.A.Ivanov,1969
3;62;36;;155;36;;"62ø36'0.0""";"155ø36'0.0""";;Granite leucocratic coarse-grained;K;Omsukchan massif;P.M.Bosek;;O.S.Gracheva,1948
4;61;35;;146;2;;"61ø35'0.0""";"146ø2'0.0""";;Granite leucocratic;K;Buksandzhin massif;A.Kh.Brovtman;;A.F.Mikhaylov,1948
5;68;55;;164;24;;"68ø55'0.0""";"164ø24'0.0""";;Granite-porphyry micropegmatitic;K;Attykveem massif;L.G.Semenova;0th.:S-0.16;A.I.Sadovsky,1963
6;50;42;;113;42;;"50ø42'0.0""";"113ø42'0.0""";;Bt granite porphyraceous medium-coarse-grained;J;Sakhanay massif; O.S.Beloborod'ko;;N.N.Chaban,1966
7;47;30;;136;27;;"47ø30'0.0""";"136ø27'0.0""";;Bt granite;K;;N.A.Krivitskaya;;A.A.Golovneva,1950
8;48;14;;137;28;;"48ø14'0.0""";"137ø28'0.0""";;Granite fine-grained;K;;;;V.A.Yarmolyuk,1949
9;50;16;;112;59;;"50ø16'0.0""";"112ø59'0.0""";;Granite leucocratic fine-grained;J;Ongotson stock;M.I.Romanova;;N.K.Dmitrochenko,1968
10;51;3;;113;33;;"51ø3'0.0""";"113ø33'0.0""";;Granite leucocratic fine-grained;J;Kalangin massif;N.A.Ogneva;;E.V.Barabashev,1962
11;50;41;;110;44;;"50ø41'0.0""";"110ø44'0.0""";;Granite porphyraceous medium-coarse-grained;J;Sakhanay massif;O.S.Beloborod'ko;;N.N.Chaban,1966
12;61;19;;149;14;;"61ø19'0.0""";"149ø14'0.0""";;Bt granite leucocratic coarse-grained;K;Butugychag massif;K.A.Baklanova;;M.S.Venchugova,1937
13;46;11;26;135;51;32;"46ø11'26.0""";"135ø51'32.0""";;Granite-porphyry;K;;;;I.A.Gaev,1960
14;52;1;20;114;21;20;"52ø1'20.0""";"114ø21'20.0""";;Granite porphyraceous;J;Volokatuy stock;0.1.Shuster;;Yu.D.Penyagin,1964
15;69;32;;149;32;;"69ø32'0.0""";"149ø32'0.0""";;Granodiorite;K;Ulakhan-Sis massif;A.I.Kalischuk;;G.S.Sonin,1976
16;52;32;;135;12;;"52ø32'0.0""";"135ø12'0.0""";;Granite;K;Nipnin massif;;;L.V.Eyrish,1963
17;54;0;30;117;48;20;"54ø0'30.0""";"117ø48'20.0""";;Granite alkaline;Tr;;N.Aksel!rod;;Yu.V.Kazitsyn,1958
18;69;35;;141;34;;"69ø35'0.0""";"141ø34'0.0""";;Granite fine-grained;K;Omchikandin massif;;;L.A.Musalitin,1967
19;65;49;;135;20;;"65ø49'0.0""";"135ø20'0.0""";;Aplite;K;Khatakchan massif;V.V.Tsabul;;Yu.G.Krezhevskikh,1964
20;52;23;;134;38;;"52ø23'0.0""";"134ø38'0.0""";;Granite fine-grained even-grained;K;;;;E.P.Khokhlov,1958
21;63;38;;175;38;;"63ø38'0.0""";"175ø38'0.0""";;Plagiogranite;K;;;Det.:H2o+-0.75;A.S.Bochkarev,1984
22;61;50;;146;39;;"61ø50'0.0""";"146ø39'0.0""";;Aplite;K;Khinikandzhin massif;V.I.Noskov;Oth:C02-0.02;R.P.Petrov,1945
23;50;17;;113;25;;"50ø17'0.0""";"113ø25'0.0""";;Granite leucocratic porphyraceous coarse-grained;J;;T.A.Alfer'eva;;E.A.Belyakov,1962
24;46;34;35;105;21;25;"46ø34'35.0""";"105ø21'25.0""";;Granite-porphyry;J;;;Det.:so3-0.0l,co2-0.70;V.M.Yakimov,1974
25;52;6;50;115;58;50;"52ø6'50.0""";"115ø58'50.0""";;Granite;J;Zangan massif;D.M.~huster;;V.A.Ulanov,1961
26;65;3;;145;40;;"65ø3'0.0""";"145ø40'0.0""";;Granite;K;Erikit massif;;;V.A.Mikhaylov,1960
27;61;46;;152;35;;"61ø46'0.0""";"152ø35'0.0""";;Bt granite-porphyry;K;Sulukhachan massif;;;Yu.A.Bilibin,1963
28;44;32;10;134;14;35;"44ø32'10.0""";"134ø14'35.0""";;Aplite;K;Lampakhez massif;M.V.Freyde;;G.P.Tolmachev,1953
29;62;24;;174;25;;"62ø24'0.0""";"174ø25'0.0""";;Plagiogranite leucocratic;K;;L.I.Bulymenko;;O.N.Ivanov,1977
30;66;20;;137;50;;"66ø20'0.0""";"137ø50'0.0""";;Granite-porphyry;K;Kere-Yuryakh massif;;;N.E.Novikov,1973
31;51;17;;113;36;;"51ø17'0.0""";"113ø36'0.0""";;Granite porphyraceous;J;;V.I.Nikitina;;P.I.Kovalev,1968
32;47;55;;105;46;50;"47ø55'0.0""";"105ø46'50.0""";;Granite medium-grained;J;;;Det:S-0.05;U.A.Korchagin,1967
33;60;30;;142;4;;"60ø30'0.0""";"142ø4'0.0""";;Granite leucocratic;K;;;Det.:H2o+-0.31;V.M.Aleksandrov,1970
34;52;25;;134;13;;"52ø25'0.0""";"134ø13'0.0""";;Granite porphyraceous fine-grained;K;;;;E.P.Khokhlov,1964
35;51;26;;108;44;;"51ø26'0.0""";"108ø44'0.0""";;Granite leucocratic;Tr-J;Upper-Balyagin massif;R.P.Kopnova;;A.K.Izvekov,1968
36;51;49;;111;25;;"51ø49'0.0""";"111ø25'0.0""";;Granite porphyraceous;Tr-J;Taidut massif;A.I.Fedorova;;V.I.Sizykh,1967
37;49;5;;137;35;;"49ø5'0.0""";"137ø35'0.0""";;Granite fine-grained;Pg;;;Det.:co2-0.04;V.A.Dymovich,1976
38;45;37;30;135;8;57;"45ø37'30.0""";"135ø8'57.0""";;Bt granite;K;Sinanchin massif;;;V.I.Safronov,1966
39;51;7;;112;52;;"51ø7'0.0""";"112ø52'0.0""";;Granite-porphyry leucocratic;J;Olenguy massif;O.M.Shirokova;;E.V.Barabashev,1959
40;44;27;35;136;3;;"44ø27'35.0""";"136ø3'0.0""";;Granite;Pg;;M.L.Sheshkovskaya;;M.A.Favorskaya,1949
41;54;20;;117;57;40;"54ø20'0.0""";"117ø57'40.0""";;Granite leucocratic alkaline;J;;;;N.V.Kuzheleva,1959
42;61;17;;149;23;;"61ø17'0.0""";"149ø23'0.0""";;Bt granite(leucogranite);K;Butugychag massif;East;;P.N.Spiridonov,1940
43;67;50;;178;50;;"67ø50'0.0""";"178ø50'0.0""WW";W;Granite;K;Iul'tin massif;;Oth.:B2o3-0.0l,co2-0.08;A.I.Kyshtymov,1959
44;52;28;;140;19;;"52ø28'0.0""";"140ø19'0.0""";;Granite;Pg;;A.NGeraskina;Det:co2-0.14;V.P.Polikanov,1974
45;50;12;;112;39;;"50ø12'0.0""";"112ø39'0.0""";;Granite leucocratic;J;;;0th:so3-tr.;I.I.Kozyrev,1968
46;50;56;;113;18;;"50ø56'0.0""";"113ø18'0.0""";;Granite leucocratic;J;;V.Petrikovetz;;A.I.Shevtsov,1967
47;47;27;48;138;23;24;"47ø27'48.0""";"138ø23'24.0""";;Granite;Pg;Vayga massif;;;F.G.Fedchin,1975
48;60;27;;146;53;;"60ø27'0.0""";"146ø53'0.0""";;Bt granite;K;Vega massif;;;Yu.I.Korshikov,1966
49;52;6;50;115;58;;"52ø6'50.0""";"115ø58'0.0""";;Granite leucocratic alkaline porphyraceous;J;Zangan massif;D.M.Shuster;;V.A.Ulanov,1961
50;61;19;;149;15;;"61ø19'0.0""";"149ø15'0.0""";;Bt granite leucocratic fine-grained;K;West-Butugychag massif;K.A.Baklanova;;M.S.Venchugova,1939
51;51;5;;113;33;;"51ø5'0.0""";"113ø33'0.0""";;Granite fine-grained;J;Kalangin massif;D.M.Shust er;;E.V.Barabashev,1961
52;49;49;;139;9;;"49ø49'0.0""";"139ø9'0.0""";;Granite;Pg;;R.A.Sokolova;;P.A.Epov,1952
53;67;57;;177;19;;"67ø57'0.0""";"177ø19'0.0""";;Granosyenite;K;Kurum massif;S.M.Shadskaya;;K.V.laraketsov,1955
54;62;45;;158;49;;"62ø45'0.0""";"158ø49'0.0""";;Aplite;K;Chula massif;IS.Ryabova;Det:H2o+-0.19;I.P.Vasetsky,1965
55;53;35;30;118;31;50;"53ø35'30.0""";"118ø31'50.0""";;Granite alkaline;J;;N.A.Lebedeva;;S.P.Smelovsky,1968
56;50;23;;111;37;;"50ø23'0.0""";"111ø37'0.0""";;Granite coarse-grained;J;;L.A.Kuznetsova;Oth:S03-0.04;T.G.Deuli,1940
57;52;37;;133;30;;"52ø37'0.0""";"133ø30'0.0""";;Aplite;Pg;;;;V.V.Vasil'eva,1955
58;52;28;;140;16;;"52ø28'0.0""";"140ø16'0.0""";;Granite;Pg;;A.N.Geraskina;Oth:S03-0.0l;V.P.Polikanov,1974
59;51;45;30;107;35;;"51ø45'30.0""";"107ø35'0.0""";;Leucogranite;Tr;Western massif;;Oth.:S03-0.19;D.V.Trunev,1961
60;52;30;30;114;2;;"52ø30'30.0""";"114ø2'0.0""";;Granite;Tr;;N.ALebedeva;;A.A.Matlashov,1969
61;52;36;30;115;19;30;"52ø36'30.0""";"115ø19'30.0""";;Granite alkaline;J;Dolutur massif;L.S.Voronova;;R.V.Tsoy,1961
62;67;13;;179;20;;"67ø13'0.0""";"179ø20'0.0""";;Leucogranite;K;;;Det.:H2o+-0.08;V.K.Sadakov,1967
63;69;55;;140;42;;"69ø55'0.0""";"140ø42'0.0""";;Aplite;K;Bakyn massif;;Det.:H2o+-0.06;G.I.Mikheev,1965
64;46;16;;135;27;40;"46ø16'0.0""";"135ø27'40.0""";;Granite;K;;;;V.M.Kochkin,1973
65;53;53;40;115;39;;"53ø53'40.0""";"115ø39'0.0""";;Granite alkaline;Tr-J;Kontalakan-Marektin massif;N.P.Mel'nikova;;V.S.Ivanov,1968
66;47;14;20;137;53;20;"47ø14'20.0""";"137ø53'20.0""";;Granite leucogranitic;K;;;;A.N.Shapotin,1975
67;65;42;;178;4;;"65ø42'0.0""";"178ø4'0.0""WW";W;Granite-porphyry subalkaline;Pg;Linliney massif;;Oth.:B2o3-0.17;E.K.Boborykin,1955
68;48;49;;105;30;;"48ø49'0.0""";"105ø30'0.0""";;Leucogranite alkaline;Tr-J;;;;Yu.M.Arsen'ev,1967
69;61;55;;156;21;;"61ø55'0.0""";"156ø21'0.0""";;Granite leucocratic;K;Viligin massif;N.S.Sergutina;;A.D.Silinsky,1964
70;49;30;;113;6;;"49ø30'0.0""";"113ø6'0.0""";;Granite;J;Bayan-Dunulin massif;;;Tochtokh,1974
71;50;44;40;105;18;;"50ø44'40.0""";"105ø18'0.0""";;Granite leucocratic fine-grained;Tr-J;Tsagatuy massif;;;A.S.Kireev,1968
72;66;34;;171;55;;"66ø34'0.0""";"171ø55'0.0""";;Granodiorite;K;Teniany massif;;;I.A.Nikitin,1957
73;52;11;40;110;13;30;"52ø11'40.0""";"110ø13'30.0""";;Granite-porphyry;Tr-J;;;;D.V.Trunev,1962
74;43;53;35;135;6;11;"43ø53'35.0""";"135ø6'11.0""";;Granite;K;Shirokopadinsky massif;;;I.I.Antushevich,1966
75;52;29;;139;59;;"52ø29'0.0""";"139ø59'0.0""";;Granite porphyraceous fine-grained;K;;;;A.F.Mayboroda,1961
76;51;5;;113;12;;"51ø5'0.0""";"113ø12'0.0""";;Granite coarse-grained miarolic;J;;MI.Merkul'eva;;E.T.Bubnov,1964
77;50;35;;109;31;;"50ø35'0.0""";"109ø31'0.0""";;Granite;Tr;;R.T.Vyatkina;;E.M.Bagadaev,1969
78;61;27;;155;51;;"61ø27'0.0""";"155ø51'0.0""";;Aplite;K;Aygur massif;I.O.Ryabova;Det:H2o+-0.29;L.V.Ievlev,1964
79;60;42;;152;32;;"60ø42'0.0""";"152ø32'0.0""";;Granite subalkaline;K;Upper-Yam massif;S.MShadskaya;;A.A.Dontsov,1946
80;61;40;;155;19;;"61ø40'0.0""";"155ø19'0.0""";;Aplite;K;Tuman massif;Z.I.Karpicheva;Det:H2o+-0.10;A.D.Silinsky,1963
81;60;46;;153;20;;"60ø46'0.0""";"153ø20'0.0""";;Granite alkaline;K;Sukhoy massif;G.I.Finogentova;Det:H2o+-0.43;Yu.G.Kobylyansky,1964
82;46;0;5;135;18;17;"46ø0'5.0""";"135ø18'17.0""";;Granite;K;Ust' -Tatiba massif;B.M.Frenkel';;O.K.Chediya,1951
83;53;52;;136;34;;"53ø52'0.0""";"136ø34'0.0""";;Granite-porphyry;Pg;;E.P.Lazhkov;;L.S.Buff,1960
84;52;23;15;114;15;40;"52ø23'15.0""";"114ø15'40.0""";;Granite-porphyry;J;;V.I.Zhigalova;;E.A.Zaykov,1970
85;55;8;;128;48;;"55ø8'0.0""";"128ø48'0.0""";;Granite;K;;;A:N.Geraskina;Yu.V.Koshkov,1975
86;47;27;;138;4;30;"47ø27'0.0""";"138ø4'30.0""";;Granite leucogranitic medium-grained;Pg;Khulimin massif;;;N.I.Shlepkin,1972
87;53;19;30;112;36;;"53ø19'30.0""";"112ø36'0.0""";;Granite fine-grained;Tr;;V.P.Usacheva;;V.A.Slipchenko,1966
88;52;6;50;115;58;30;"52ø6'50.0""";"115ø58'30.0""";;Granite leucocratic;J;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964
89;61;21;;146;16;;"61ø21'0.0""";"146ø16'0.0""";;Bt granite medium-grained;K;Ul'chen massif;S.M.Shadskaya;;G.A.Topunova,1955
90;45;32;49;134;45;;"45ø32'49.0""";"134ø45'0.0""";;Bt granite;K;Dintsukhin massif;;Oth:S03-0.02;N.A.Belyaevsky,1952
91;62;25;;156;10;;"62ø25'0.0""";"156ø10'0.0""";;Granite pegmatoid;K;Myauchan massif;Left;;I.M.Speranskaya,1952
92;67;21;;175;40;;"67ø21'0.0""";"175ø40'0.0""";;Granite medium-grained;K;;G.S.Gormashova;;V.A.Kitaev,1958
93;60;12;;151;5;;"60ø12'0.0""";"151ø5'0.0""";;Leucogranite;K;;Z.A.Lipnyagova;;A.P.Osipov,1964
94;63;16;;152;10;;"63ø16'0.0""";"152ø10'0.0""";;Aplite;J;Deryas-Yuryugin massif;M.P.Belopol'skaya;;E.F.Sukhanova,1951
95;52;6;50;115;58;30;"52ø6'50.0""";"115ø58'30.0""";;Granite leucocratic subalkaline;J;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964
96;48;34;;138;52;;"48ø34'0.0""";"138ø52'0.0""";;Bt granite leucocratic;Pg;;A.D.Zlygosteva;;A.N.Serebryakov,1965
97;62;19;;155;30;;"62ø19'0.0""";"155ø30'0.0""";;Bt granite coarse-grained;K;Nevsky massif;M.VVoronkova;;M.G.Rub,1966
98;68;2;;137;9;;"68ø2'0.0""";"137ø9'0.0""";;Bt granite medium-grained;K;Kurein massif;;;A.F.Zausaev,1969
99;62;39;;155;41;;"62ø39'0.0""";"155ø41'0.0""";;Aplite;K;Omsukchan massif;P.M.Bosek;Oth:Zro2-0.02,TR-0.10;O.S.Gracheva,1948
100;61;41;;151;26;;"61ø41'0.0""";"151ø26'0.0""";;Granite-porphyry;K;Uval'ny stock;O.M.Sidorova;Det:H2o+-0.51;B.I.Mal'kov,1964
101;48;13;;138;41;;"48ø13'0.0""";"138ø41'0.0""";;Granite leucocratic;Pg;;M.M.Stukalova;;A.N.Pagol'skaya,1958
102;63;35;;175;24;;"63ø35'0.0""";"175ø24'0.0""";;Granite;K;;G.F.Mikhaylova;Oth:Cr2o3-0.0l,co2-0.22;S.A.Palandzhyan,1976
103;53;6;30;112;52;40;"53ø6'30.0""";"112ø52'40.0""";;Granite;Tr;;V.P.Usacheva;;L.F.Oekhtereva,1964
104;52;37;;118;29;;"52ø37'0.0""";"118ø29'0.0""";;Granite leucogranitic;J;;D.M.Shuster;;A.I.Shadrin,1962
105;43;38;45;135;12;47;"43ø38'45.0""";"135ø12'47.0""";;Granite leucocratic;Pg;Saken massif;;;l.I.Antushevich,1966
106;52;37;50;117;36;30;"52ø37'50.0""";"117ø36'30.0""";;Granite leucocratic;Tr;;S.T.Balyuk;;P.G.Belik,1948
107;69;58;;171;32;;"69ø58'0.0""";"171ø32'0.0""";;Two mica granite;K;;K.A.Baklanova;Oth:C02-0.05,so3-0.03,Ba0-0.03;A.V.Andrianov,1940
108;66;11;;129;14;;"66ø11'0.0""";"129ø14'0.0""";;Granite medium-fine-grained;K;Khoboyotuu-Echiy massif;;;N.A.Tseydler,1969
109;61;16;;149;11;;"61ø16'0.0""";"149ø11'0.0""";;Granite medium-grained;K;West-Butugychag massif;K.A.Baklanova;;A.F.Mikhaylov,1948
110;46;29;30;138;13;56;"46ø29'30.0""";"138ø13'56.0""";;Granite;K;;;Det.:H2o+-0.05;G.A.Amel'chenko,1976
111;66;24;;174;53;;"66ø24'0.0""";"174ø53'0.0""WW";W;Granite-porphyry;K;Kenga massif;L.A.Finogentova;Det:H2o+-0.27;E.A.Makarov,1975
112;65;3;;146;4;;"65ø3'0.0""";"146ø4'0.0""";;Bt granite medium-grained;J;Erikit massif;;;V.I.Krasnokutsky,1938
113;50;34;;134;13;;"50ø34'0.0""";"134ø13'0.0""";;Bt granite;K;;M.M.Blagina;;A.A.Golovneva,1956
114;62;8;;152;8;;"62ø8'0.0""";"152ø8'0.0""";;Bt granite coarse-grained;K;Upper-Orotukan massif;P.Faleev;;V.I.Krasnokutsky,1938
115;69;44;;171;50;;"69ø44'0.0""";"171ø50'0.0""";;Granite;K;Northern massif;;Oth.:B2o3-0.0l;I.N.Zubrev,1952
116;50;44;40;105;18;;"50ø44'40.0""";"105ø18'0.0""";;Granite leucocratic fine-grained;Tr-J;Tsagatuy massif;;;A.S.Kireev,1968
117;53;18;;128;58;;"53ø18'0.0""";"128ø58'0.0""";;Granite;K;;;;V.F.Zubkov,1962
118;60;46;;154;21;;"60ø46'0.0""";"154ø21'0.0""";;Leucogranite;K;Anmannykan massif;Z.I.Karpicheva;Det:H2o+-0.21;Yu.N.Simonov,1964
119;69;36;;150;29;;"69ø36'0.0""";"150ø29'0.0""";;Granite porphyraceous fine-grained;K;Ulakhan-Sis massif;;Det.:so3-0.09;A.V.Artemov,1970
120;48;56;;106;45;;"48ø56'0.0""";"106ø45'0.0""";;Granite;Tr;;;;E.V.Mikhaylov,1973
121;61;19;;149;19;;"61ø19'0.0""";"149ø19'0.0""";;Bt granite medium-grained;K;East-Butugychag massif;P.V.Artemenko;Oth:co2-o.01;M.P.Krutous,1960
122;46;55;;105;41;;"46ø55'0.0""";"105ø41'0.0""";;Granite fine-grained;J;;;:S-0.02;U.A.Korchagin,1967
123;52;8;20;116;2;30;"52ø8'20.0""";"116ø2'30.0""";;Granite alkaline;J;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964
124;52;47;20;110;14;10;"52ø47'20.0""";"110ø14'10.0""";;Granite leucocratic;Tr-J;;;;N.P.Mikhno,1966
125;61;21;;151;46;;"61ø21'0.0""";"151ø46'0.0""";;Microgranite;K;Dneprovsky massif;V.I.Noskov;Oth:co2-0.07;R.P.Petrov,1945
126;52;6;50;115;59;20;"52ø6'50.0""";"115ø59'20.0""";;Granite leucocratic;J;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964
127;49;35;;108;53;;"49ø35'0.0""";"108ø53'0.0""";;Granite leucogranitic;J;;N.A.Ogneva;;N.P.Kostyakov,1963
128;50;44;20;105;17;30;"50ø44'20.0""";"105ø17'30.0""";;Granite leucocratic;Tr-J;Tsagatuy massif;;;A.S.Kireev,1968
129;61;23;;151;47;;"61ø23'0.0""";"151ø47'0.0""";;Granite-porphyry;K;Dneprovsky massif;V.I.Noskov;Oth:co2-0.02;R.P.Petrov,1945
130;61;50;;161;9;;"61ø50'0.0""";"161ø9'0.0""";;Bt granite leucocratic coarse-grained;K;Avekon massif;R.I.Donskaya;;V.N.Lipatov,1958
131;62;2;;141;2;;"62ø2'0.0""";"141ø2'0.0""";;Granite miarolic;K;Upper-Khalyin massif;V.S.Zverev;Oth:co2-0.04;I.P.Atlasov,1939
132;43;0;;107;9;;"43ø0'0.0""";"107ø9'0.0""";;Granite leucocratic fine-grained;J;Bayan-Tsagan massif;;;V.I.Ushakov,1964
133;61;23;;151;50;;"61ø23'0.0""";"151ø50'0.0""";;Granite(leucogranite);K;Dneprovsky massif;V.I.Noskov;Oth:co2-0.03;R.P.Petrov,1945
134;67;51;;179;17;;"67ø51'0.0""";"179ø17'0.0""WW";W;Granite medium-grained;K;Iul'tin massif;;Det.:H2o+-0.36;E.G.Bordyugov,1964
135;51;15;;113;35;;"51ø15'0.0""";"113ø35'0.0""";;Bt granite medium-grained;J;;V.I.Nikitina;;P.I.Kovalev,1968
136;52;6;50;115;59;20;"52ø6'50.0""";"115ø59'20.0""";;Granite leucocratic subalkaline;J;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964
137;57;43;;139;41;;"57ø43'0.0""";"139ø41'0.0""";;Granite subalkaline;K;;;;I.N.Egorov,1970
138;51;27;10;108;44;20;"51ø27'10.0""";"108ø44'20.0""";;Morion-granite;Tr-J;Krasyukova;;Oth.:so3-0.07;A.K.Izvekov,1968
139;52;48;40;114;28;50;"52ø48'40.0""";"114ø28'50.0""";;Granite alkaline;Tr-J;;;;S.P.Smelovsky,1968
140;52;29;40;115;29;50;"52ø29'40.0""";"115ø29'50.0""";;Granite alkaline;J;;L.S.Voronova;;R.V.Tsoy,1961
141;52;26;20;117;12;55;"52ø26'20.0""";"117ø12'55.0""";;Granite leucocratic;Tr;;O.M.Shirokova;;V.Yu.Shenfil,1961
142;52;37;25;115;23;20;"52ø37'25.0""";"115ø23'20.0""";;Granite alkaline;J;;L.S.Voronova;;R.V.Tsoy,1961
143;49;12;;137;29;;"49ø12'0.0""";"137ø29'0.0""";;Granite;Tr;;S.M.Kireeva;Det:co2-0.04;V.A.Dymovich,1976
144;46;45;;111;47;30;"46ø45'0.0""";"111ø47'30.0""";;Granite;J;;;;A.D.Kalenov
145;52;29;;134;13;;"52ø29'0.0""";"134ø13'0.0""";;Granite-porphyry;K;;;;E.P.Khokhlov,1964
146;50;43;;113;45;;"50ø43'0.0""";"113ø45'0.0""";;Two mica granite pegmatoid;J;Sakhanay massif;O.S.Beloborod'ko;;N.N.Chaban,1967
147;52;56;50;114;5;;"52ø56'50.0""";"114ø5'0.0""";;Aplite;J;Yakhakta massif;;;A.A.Matlashov,1969
148;48;6;30;114;27;30;"48ø6'30.0""";"114ø27'30.0""";;Granite leucocratic miarolic;J;;;;Yu.A.Borzakovsky,1967
149;45;52;20;135;22;35;"45ø52'20.0""";"135ø22'35.0""";;Hb granite;K;Sinanchin massif;;;I.A.Gaev,1960
150;71;45;;140;53;;"71ø45'0.0""";"140ø53'0.0""";;Leucogranite;K;Maxunuokha-Tas massif;T.M.Sablina;Det:co2-0.23;S.M.Prokhorova,1968
151;50;7;;110;7;;"50ø7'0.0""";"110ø7'0.0""";;Granite leucocratic porphyraceous;J;;S.V.Potapova;;Zh.N.Rudakova,1967
152;47;27;48;138;23;24;"47ø27'48.0""";"138ø23'24.0""";;Granite;Pg;Vayga massif;;;F.G.Fedchin,1973
153;51;45;40;107;32;;"51ø45'40.0""";"107ø32'0.0""";;Granite;Tr;;;Oth.:S03-0.07;D.V.Trunev,1961
154;53;56;10;115;43;;"53ø56'10.0""";"115ø43'0.0""";;Granite;Tr-J;Kontalak massif;N.A.Lebedeva;;V.S.Ivanov,1968
155;50;23;;110;44;;"50ø23'0.0""";"110ø44'0.0""";;Granite leucocratic;J;;E.G.lvanova;;L.A.Kozubova,1957
156;67;59;;177;32;;"67ø59'0.0""";"177ø32'0.0""";;Bt granite leucocratic coarse-grained;K;Katum massif;Zhelunitskaya;Det:H2o+-o.so;V.I.Noskov,1960
157;48;54;;138;59;;"48ø54'0.0""";"138ø59'0.0""";;Bt granite;Pg;;Yoliy intrusion;;A.V.Palagin,1965
158;69;18;;143;5;;"69ø18'0.0""";"143ø5'0.0""";;Granite porphyraceous fine-grained;K;Makhastyr Kuobakh massif;L.F.Ushakova;;V.K.Dorofeev,1971
159;62;32;;155;49;;"62ø32'0.0""";"155ø49'0.0""";;Granite porphyraceous coarse-grained;K;Omsukchan massif;;;N.N.Stulov,1945
160;45;49;20;135;20;40;"45ø49'20.0""";"135ø20'40.0""";;Bt-Hb granite;K;Chimchiguz Sinanchin massif;;;I.A.Gaev,1960
161;47;49;13;138;8;10;"47ø49'13.0""";"138ø8'10.0""";;Granite alkaline porphyraceous;K;Koin massif;;Det.:H2o+-0.78;A.V.Oleynikov,1972
162;45;36;27;134;51;30;"45ø36'27.0""";"134ø51'30.0""";;Granite porphyraceous;K;Dintsukhin massif;;;V.I.Safronov,1966
163;49;23;;139;33;;"49ø23'0.0""";"139ø33'0.0""";;Granite-porphyry;Pg;Mikin massif;;;G.M.Levitan,1965
164;64;32;;146;32;;"64ø32'0.0""";"146ø32'0.0""";;Granite-porphyry;K;Chuguluk massif;;;I.A.Timofeev,1960
165;48;12;;137;19;;"48ø12'0.0""";"137ø19'0.0""";;Granite coarse-grained;K;;~S.Ya.Matytsin;Det:H2o+-0.17;V.A.Yarmolyuk,1942
166;45;32;53;136;56;35;"45ø32'53.0""";"136ø56'35.0""";;Granite;K;;I.M.Lalykina;;A.I.Burde,1964
167;62;17;;148;47;;"62ø17'0.0""";"148ø47'0.0""";;Mu aplite;J;Little Annachag massif;;;P.G.Verbitsky,1941
168;52;10;10;115;0;50;"52ø10'10.0""";"115ø0'50.0""";;Granite subalkaline;Tr-J;;N.A.Ogneva;;S.K.Ushakov,1962
169;50;27;;133;25;;"50ø27'0.0""";"133ø25'0.0""";;Bt granite porphyraceous;K;;;;V.E.Proskurnikov,1958
170;52;13;;134;21;;"52ø13'0.0""";"134ø21'0.0""";;Granite fine-grained;K;;K.G.Slovetskaya;;E.P.Khokhlov,1964
171;45;39;;134;48;30;"45ø39'0.0""";"134ø48'30.0""";;Bt granite;K;Dintsukhin massif;;;V.I.Safronov,1966
172;63;36;;147;52;;"63ø36'0.0""";"147ø52'0.0""";;Bt granite medium-grained;J;Okhandzhin massif;N.IMorozova. ;+Det.:H20-0.30;V.A.Serebryakov,1959
173;60;57;;153;55;;"60ø57'0.0""";"153ø55'0.0""";;Granite medium-grained;K;Upper-Kilganin massif;M.V.Kondrashina;Det:H2o+-0.41;Yu.G.Kobylyansky,1964
174;59;55;;139;18;;"59ø55'0.0""";"139ø18'0.0""";;Granite;K;;;Oth.:S03-0.ll;V.V.Gromov,1973
175;53;56;40;115;42;10;"53ø56'40.0""";"115ø42'10.0""";;Granite alkaline;Tr-J;Kontalak massif;L.E.Fedoseeva;;V.S.Ivanov,1968
176;53;50;;115;16;40;"53ø50'0.0""";"115ø16'40.0""";;Granite alkaline;Tr-J;Upper-Talachin massif;VIZhigalova;;V.A.Popeko,1967
177;51;12;;113;12;;"51ø12'0.0""";"113ø12'0.0""";;Granite porphyraceous;J;;VIZhigalova;;E.T.Bubnov,1964
178;50;15;;112;49;;"50ø15'0.0""";"112ø49'0.0""";;Granite;J;;;;V.K.Borovkov,1968
179;50;27;;133;28;;"50ø27'0.0""";"133ø28'0.0""";;Bt granite porphyraceous;K;;;;V.E.Proskurnikov,1958
180;69;53;;140;8;;"69ø53'0.0""";"140ø8'0.0""";;Granite-porphyry;K;Bakyn massif;N.D.Tikhon'kikh;;L.A.Musalitin,1967
181;67;52;;179;21;;"67ø52'0.0""";"179ø21'0.0""WW";W;Granite medium-grained;K;Iul'tin massif;;Det:H2o+-0.25;E.G.Bordyugov,1964
