;Lat_deg;Lat_min;Lat_sec;Long_deg;Long_min;Long_sec;Latitude;Longitude;past_mer;type_granite;time;massif;sampler;others;sampler+year
4214;61;44;;146;24;;"61ø44'0.0""";"146ø24'0.0""";;Granodiorite alkaline;K;;;;V.G.Korol'kov,1969
4215;46;55;25;137;8;35;"46ø55'25.0""";"137ø8'35.0""";;Granodiorite;K;;;;A.A.Syas'ko,1969
4216;48;44;;135;29;;"48ø44'0.0""";"135ø29'0.0""";;Quartz diorite;K;;;;I.P.Boyko,1967
4217;47;16;30;138;48;;"47ø16'30.0""";"138ø48'0.0""";;Granodiorite;Pg;Samargin massif;;Det.:H2o+-0.57;A.V.Oleynikov,1975
4218;53;46;;126;26;;"53ø46'0.0""";"126ø26'0.0""";;Diorite;K;;;;M.V.Pavlenko,1960
4219;59;35;;150;50;;"59ø35'0.0""";"150ø50'0.0""";;Granodiorite;K;Magadan batholite;G.S.Gormasheva;;M.P.Krutous,1960
4220;54;18;20;117;54;30;"54ø18'20.0""";"117ø54'30.0""";;Granodiorite;Tr-J;;N.A.Lebedeva;;S.P.Smelovsky,1971
4221;62;8;;173;42;;"62ø8'0.0""";"173ø42'0.0""";;Quartz diorite melanocratic;K;;M.l.Osinina;;O.N.Ivanov,1977
4222;64;0;12;167;6;10;"64ø0'12.0""";"167ø6'10.0""";;Quartz diorite;K;;V.A.Sidorov;;V.A.Faradzhev,1971
4223;46;56;;137;18;45;"46ø56'0.0""";"137ø18'45.0""";;Granodiorite;K;;;;I.Z.Bur'yanova,1969
4224;59;37;;150;32;;"59ø37'0.0""";"150ø32'0.0""";;Granodiorite;K;Magadan batholite;;Oth.:co2-0.12,so3-0.0l;A.M.Demin,1944
4225;66;8;;175;25;;"66ø8'0.0""";"175ø25'0.0""WW";W;Granodiorite;K;;;;S.P.Stoyalov,1961
4226;68;43;;177;35;;"68ø43'0.0""";"177ø35'0.0""";;Px-Hb-Bt granodiorite;K;;V.A.Egorov;Oth:Ba0-0.10;M.I.Rabkin,1940
4227;68;41;;140;0;30;"68ø41'0.0""";"140ø0'30.0""";;Hb-Bt quartz diorite;K;Chuk massif;L.A.Azikova;Oth:S03-0.14;O.G.Epov,1972
4228;53;37;;138;44;;"53ø37'0.0""";"138ø44'0.0""";;Quartz diorite;K;;L.A.Kyanno;Det:co2-0.15.Oth.:S03-0.03;V.A.Kaydalov,1976
4229;44;16;;132;47;;"44ø16'0.0""";"132ø47'0.0""";;Granodiorite;K;Sinegorsky massif;;;A.N.Izosov,1970
4230;69;20;;149;12;;"69ø20'0.0""";"149ø12'0.0""";;Granite;K;Ulakhan-Sis massif;A.I.Kaleschuk;Oth:S03-0.05;G.S.Sonin,1976
4231;67;44;;166;45;;"67ø44'0.0""";"166ø45'0.0""";;Granodiorite;K;Chuvaney massif;;Oth.:C02-0.33,S-0.06;M.N.Zlobin,1941
4232;45;32;20;135;20;;"45ø32'20.0""";"135ø20'0.0""";;Monzogranodiorite;K;Yamutinzin massif;O.G.Arbidan;;E.P.Izokh,1957
4233;64;4;;164;15;;"64ø4'0.0""";"164ø15'0.0""";;Granodiorite;K;;;;S.S.Lobunetz,1968
4234;63;24;47;165;56;25;"63ø24'47.0""";"165ø56'25.0""";;Quartz diorite;K;;M.V.Kondrashina;Det:H2o+-0.30;G.P.Preobrazhensky,1969
4235;63;9;30;163;50;30;"63ø9'30.0""";"163ø50'30.0""";;Granodiorite;K;;;;N.I.Filatova,1967
4236;69;34;;141;12;;"69ø34'0.0""";"141ø12'0.0""";;Bt-Hb granodiorite medium-grained;K;Arga-Emneken massif;A.V.Mashinistova;;L.A.Musalitin,1967
4237;53;33;25;119;38;;"53ø33'25.0""";"119ø38'0.0""";;Quartz diorite;Tr;;;;E.M.Leyfman,1967
4238;58;51;;151;35;;"58ø51'0.0""";"151ø35'0.0""";;Quartz diorite;K;Burgaulin massif;;Oth.:C02-0.02;A.M.Demin,1950
4239;63;0;;163;52;;"63ø0'0.0""";"163ø52'0.0""";;Quartz monzodiorite;K;;V.G.Kotova;Oth:S03-0.25;L.M.Karpasov,1965
4240;69;23;;173;37;;"69ø23'0.0""";"173ø37'0.0""";;Granodiorite;Mz;Linkor stock;;;S.F.Lugov,1953
4241;64;3;;155;56;;"64ø3'0.0""";"155ø56'0.0""";;Granodiorite;K;Flagman stock;;Oth.:co2-0.08;V.I.Lebedinsky,1946
4242;69;26;;149;32;;"69ø26'0.0""";"149ø32'0.0""";;Granite;K;Ulakhan-Sis massif;A.I.Kaleschuk;;G.S.Sonin,1976
4243;69;38;;170;14;;"69ø38'0.0""";"170ø14'0.0""";;Granodiorite;K;Valkumey massif;S.M.Shadskaya;Oth:co2-0.05;A.M.Demin,1950
4244;51;17;;113;39;;"51ø17'0.0""";"113ø39'0.0""";;Granodiorite medium-grained;J;Sypchugur massif;N.A.Lebedeva;;P.I.Kovalev,1968
4245;47;15;;138;41;;"47ø15'0.0""";"138ø41'0.0""";;Granodiorite;Pg;Samargin massif;;;V.N.Simanemko,1972
4246;62;6;;139;24;;"62ø6'0.0""";"139ø24'0.0""";;Granodiorite medium-grained;K;Khalgan massif;T.A.Ogneva;;I.G.Volkodav,1966
4247;53;8;;141;5;;"53ø8'0.0""";"141ø5'0.0""";;Granite-porphyry;Pg;Kumlyan massif;;;Yu.A.Ivanov,1957
4248;58;8;;138;17;;"58ø8'0.0""";"138ø17'0.0""";;Granodiorite-pophyry;K;;;Oth.:S03-0.03;N.N.Remizov,1967
4249;72;46;;140;56;;"72ø46'0.0""";"140ø56'0.0""";;Granodiorite;K;Svyatoy Nos massif;;Oth.:C02-0.62;S.V.Ryabenko,1975
4250;60;39;;138;32;;"60ø39'0.0""";"138ø32'0.0""";;Monzogranodiorite;K;Uemlyakh massif;Dmitrieva;Oth:S03-0.19;K.K.Levashov,1964
4251;53;41;;138;37;;"53ø41'0.0""";"138ø37'0.0""";;Diorite;Pg;;;Det.:C02-0.04.Oth.:S03-0.0l;V.A.Kaydalov,1976
4252;55;5;50;117;11;35;"55ø5'50.0""";"117ø11'35.0""";;Granodiorite;Tr;;T.I.Linnik;;V.I.Shulika,1967
4253;59;19;;152;58;;"59ø19'0.0""";"152ø58'0.0""";;Granodiorite;K;Sredninsky massif;;Det.:H2o+-0.45;V.F.Karpichev,1960
4254;67;43;;148;56;;"67ø43'0.0""";"148ø56'0.0""";;Quartz diorite;K;;;;G.G.Mohor,1937
4255;50;20;;108;22;;"50ø20'0.0""";"108ø22'0.0""";;Granodiorite;Tr;Etytey massif;L.S.Voronova;;A.V.Vnukov,1960
4256;63;48;;144;0;;"63ø48'0.0""";"144ø0'0.0""";;Granodiorite micropegmatitic;K;Taryn massif;N.A.Khil';Oth:C02-0.12;K.V.Plastinin,1976
4257;61;10;;138;27;;"61ø10'0.0""";"138ø27'0.0""";;Hb-Bt granodiorite;K;Tarbaganakh massif;G.G.Braginetz;;G.P.Pavlov,1961
4258;61;15;;152;24;;"61ø15'0.0""";"152ø24'0.0""";;Bt granite;K;Gran stock;Z.I.Karpicheva;Det:H2o+-l.48,co2-0.70;A.A.Fedorenko,1964
4259;47;51;;138;1;42;"47ø51'0.0""";"138ø1'42.0""";;Granodiorite;K;;;;l.I.Puschin,1973
4260;50;15;;136;4;;"50ø15'0.0""";"136ø4'0.0""";;Quartz diorite;K;;;;A.Ya.Bespalov,1959
4261;65;42;;174;22;;"65ø42'0.0""";"174ø22'0.0""";;Quartz diorite;K;;V.AEgorov;;M.I.Rabkin,1941
4262;46;10;25;136;9;35;"46ø10'25.0""";"136ø9'35.0""";;Monzogranodiorite;K;Kandomin massif;;;E.P.Izokh,1955
4263;69;28;;141;42;;"69ø28'0.0""";"141ø42'0.0""";;Quartz diorite;K;Il'in-Emneken massif;A.V.Mashinistova;;L.A.Musalitin,1967
4264;64;10;;156;26;;"64ø10'0.0""";"156ø26'0.0""";;Quartz diorite;K;;;Det.:H2o+-0.34;A.I.Lobanov,1966
4265;60;56;;148;35;;"60ø56'0.0""";"148ø35'0.0""";;Granodiorite;K;Yano-Nilkobin massif;M.G.Butakova;Oth:Sno2-0.0l,Ba0-0.06;A.M.Pap,1953
4266;54;14;;119;55;10;"54ø14'0.0""";"119ø55'10.0""";;Quartz diorite;Tr;;V.IZhigalova;;N.V.Kuzheleva,1969
4267;45;29;;135;24;;"45ø29'0.0""";"135ø24'0.0""";;Granodiorite;K;;;;A.A.Strizhkova,1975
4268;64;18;;156;38;;"64ø18'0.0""";"156ø38'0.0""";;Granodiorite;K;;;Det.:H2o+-0.95;A.I.Lobanov,1967
4269;62;10;;139;14;;"62ø10'0.0""";"139ø14'0.0""";;Granodiorite medium-grained;K;Khalyin massif;N.D.Tikhon'kikh;;V.E.Skripnikov,1968
4270;59;50;;143;57;;"59ø50'0.0""";"143ø57'0.0""";;Quartz diorite;K;Lower-Ul'bey massif;Plotnikova;;I.M.Speranskaya,1957
4271;69;18;;164;6;;"69ø18'0.0""";"164ø6'0.0""";;Granodiorite;K;Upper-Lel vergyrgyn intrusion;ISRyabovaOt h.;:Cr2o3-0.0l,S-0.02;A.S.Skalatsky,1960
4272;56;31;;137;7;;"56ø31'0.0""";"137ø7'0.0""";;Granodiorite;K;;;Det:co2-0.12.Oth.:S03-0.05;V.E.Chepygin,1978
4273;68;55;;172;17;;"68ø55'0.0""";"172ø17'0.0""";;Quartz diorite;K;Palyan massif;;;M.N.Bogdanova,1967
4274;66;59;30;157;56;;"66ø59'30.0""";"157ø56'0.0""";;Quartz diorite;K;Lis'in massif;;;Yu.M.Neklyudov,1971
4275;47;25;;138;59;;"47ø25'0.0""";"138ø59'0.0""";;Granodiorite;Pg;Golden massif;;Det.:H2o+-0.32;I.Z.Bur'yanova,1970
4276;67;28;;169;11;;"67ø28'0.0""";"169ø11'0.0""";;Quartz diorite;K;Ilirney massif;L.G.Semenova;Oth:S-0.15;V.S.Degtyarev,1964
4277;66;9;;165;41;;"66ø9'0.0""";"165ø41'0.0""";;Quartz diorite;K;Vukney massif;L.G.Semenova;;A.G.Senotrusov,1965
4278;64;24;;172;19;;"64ø24'0.0""";"172ø19'0.0""WW";W;Quartz diorite;K;Arakamchechen massif;;Oth:S03-0.03;S.E.Sinitsky,1953
4279;67;4;;156;37;;"67ø4'0.0""";"156ø37'0.0""";;Granodiorite;K;Turak massif;;;Yu.M.Neklyudov,1971
4280;69;2;;139;18;;"69ø2'0.0""";"139ø18'0.0""";;Diorite;K;Tumus-Khain massif;V.TDariko;;A.N.Vishnevsky,1966
4281;63;51;20;167;0;55;"63ø51'20.0""";"167ø0'55.0""";;Quartz diorite;K;;;;S.S.Lobunetz,1972
4282;47;51;;138;41;;"47ø51'0.0""";"138ø41'0.0""";;Quartz diorite;Pg;Samargin massif;;Det.:H2o+-0.96;V.P.Davydov,1975
4283;61;17;;145;11;;"61ø17'0.0""";"145ø11'0.0""";;Diorite;K;;S.M.Shadskaya;Det:H2o+-0.86,S-0.03;A.M.Schepkin,1954
4284;56;27;;138;13;;"56ø27'0.0""";"138ø13'0.0""";;Granodiorite;K;;K.A.Baklanova;;A.A.Leontovich,1940
