;Latitude;Longitude;time;area;0
2;"54ø12'10.0""";"119ø24'0.0""";Tr;1;2
6;"50ø42'0.0""";"113ø42'0.0""";J;1;2
9;"50ø16'0.0""";"112ø59'0.0""";J;1;2
10;"51ø3'0.0""";"113ø33'0.0""";J;1;1
11;"50ø41'0.0""";"110ø44'0.0""";J;1;1
14;"52ø1'20.0""";"114ø21'20.0""";J;1;0
17;"54ø0'30.0""";"117ø48'20.0""";Tr;1;1
23;"50ø17'0.0""";"113ø25'0.0""";J;1;2
25;"52ø6'50.0""";"115ø58'50.0""";J;1;1
31;"51ø17'0.0""";"113ø36'0.0""";J;1;2
35;"51ø26'0.0""";"108ø44'0.0""";Tr-J;1;1
36;"51ø49'0.0""";"111ø25'0.0""";Tr-J;1;1
39;"51ø7'0.0""";"112ø52'0.0""";J;1;2
41;"54ø20'0.0""";"117ø57'40.0""";J;1;1
45;"50ø12'0.0""";"112ø39'0.0""";J;1;1
46;"50ø56'0.0""";"113ø18'0.0""";J;1;1
49;"52ø6'50.0""";"115ø58'0.0""";J;1;1
51;"51ø5'0.0""";"113ø33'0.0""";J;1;2
55;"53ø35'30.0""";"118ø31'50.0""";J;1;1
56;"50ø23'0.0""";"111ø37'0.0""";J;1;1
59;"51ø45'30.0""";"107ø35'0.0""";Tr;1;1
60;"52ø30'30.0""";"114ø2'0.0""";Tr;1;1
61;"52ø36'30.0""";"115ø19'30.0""";J;1;1
65;"53ø53'40.0""";"115ø39'0.0""";Tr-J;1;1
70;"49ø30'0.0""";"113ø6'0.0""";J;1;0
73;"52ø11'40.0""";"110ø13'30.0""";Tr-J;1;1
76;"51ø5'0.0""";"113ø12'0.0""";J;1;2
77;"50ø35'0.0""";"109ø31'0.0""";Tr;1;1
84;"52ø23'15.0""";"114ø15'40.0""";J;1;1
87;"53ø19'30.0""";"112ø36'0.0""";Tr;1;2
88;"52ø6'50.0""";"115ø58'30.0""";J;1;2
95;"52ø6'50.0""";"115ø58'30.0""";J;1;1
103;"53ø6'30.0""";"112ø52'40.0""";Tr;1;2
104;"52ø37'0.0""";"118ø29'0.0""";J;1;2
106;"52ø37'50.0""";"117ø36'30.0""";Tr;1;2
123;"52ø8'20.0""";"116ø2'30.0""";J;1;1
124;"52ø47'20.0""";"110ø14'10.0""";Tr-J;1;2
126;"52ø6'50.0""";"115ø59'20.0""";J;1;1
127;"49ø35'0.0""";"108ø53'0.0""";J;1;0
135;"51ø15'0.0""";"113ø35'0.0""";J;1;2
136;"52ø6'50.0""";"115ø59'20.0""";J;1;1
138;"51ø27'10.0""";"108ø44'20.0""";Tr-J;1;1
139;"52ø48'40.0""";"114ø28'50.0""";Tr-J;1;1
140;"52ø29'40.0""";"115ø29'50.0""";J;1;1
141;"52ø26'20.0""";"117ø12'55.0""";Tr;1;2
142;"52ø37'25.0""";"115ø23'20.0""";J;1;2
146;"50ø43'0.0""";"113ø45'0.0""";J;1;2
147;"52ø56'50.0""";"114ø5'0.0""";J;1;1
151;"50ø7'0.0""";"110ø7'0.0""";J;1;2
153;"51ø45'40.0""";"107ø32'0.0""";Tr;1;1
154;"53ø56'10.0""";"115ø43'0.0""";Tr-J;1;0
155;"50ø23'0.0""";"110ø44'0.0""";J;1;1
168;"52ø10'10.0""";"115ø0'50.0""";Tr-J;1;1
175;"53ø56'40.0""";"115ø42'10.0""";Tr-J;1;1
176;"53ø50'0.0""";"115ø16'40.0""";Tr-J;1;1
177;"51ø12'0.0""";"113ø12'0.0""";J;1;2
178;"50ø15'0.0""";"112ø49'0.0""";J;1;1
185;"52ø34'20.0""";"115ø15'30.0""";J;1;1
186;"50ø6'0.0""";"109ø46'0.0""";Tr;1;1
191;"51ø8'0.0""";"112ø57'0.0""";J;1;1
193;"52ø15'40.0""";"110ø15'40.0""";Tr-J;1;0
199;"53ø16'0.0""";"111ø59'30.0""";J;1;1
200;"50ø0'0.0""";"112ø35'0.0""";J;1;2
201;"54ø5'35.0""";"116ø21'10.0""";Tr-J;1;1
203;"52ø8'0.0""";"112ø40'0.0""";J;1;1
204;"49ø37'0.0""";"110ø23'0.0""";J;1;2
211;"49ø44'0.0""";"109ø3'0.0""";J;1;1
212;"53ø53'50.0""";"115ø37'30.0""";Tr-J;1;1
213;"52ø34'20.0""";"115ø15'30.0""";J;1;1
214;"50ø9'0.0""";"109ø55'0.0""";J;1;2
218;"51ø18'0.0""";"113ø35'0.0""";J;1;2
220;"53ø44'0.0""";"115ø17'30.0""";Tr-J;1;1
223;"50ø42'0.0""";"113ø33'0.0""";J;1;1
228;"51ø12'0.0""";"112ø52'0.0""";J;1;2
230;"53ø43'30.0""";"115ø12'30.0""";Tr-J;1;1
233;"50ø50'0.0""";"108ø22'0.0""";Tr-J;1;1
240;"52ø56'0.0""";"114ø6'30.0""";J;1;1
249;"50ø19'0.0""";"112ø48'0.0""";J;1;1
252;"53ø31'30.0""";"118ø49'40.0""";J;1;1
253;"53ø44'20.0""";"115ø23'10.0""";Tr-J;1;1
255;"54ø0'30.0""";"117ø48'40.0""";J;1;2
257;"50ø32'0.0""";"111ø11'0.0""";J;1;1
260;"51ø43'0.0""";"113ø12'0.0""";Tr-J;1;1
261;"53ø54'50.0""";"115ø33'0.0""";Tr-J;1;2
267;"49ø31'0.0""";"110ø6'0.0""";J;1;1
272;"50ø2'0.0""";"110ø55'0.0""";J;1;2
278;"51ø8'0.0""";"113ø34'0.0""";J;1;2
282;"53ø55'20.0""";"115ø42'30.0""";Tr-J;1;1
283;"52ø58'0.0""";"112ø42'40.0""";Tr;1;2
285;"53ø40'0.0""";"118ø37'0.0""";J;1;1
288;"51ø45'30.0""";"107ø35'0.0""";Tr;1;1
290;"54ø22'30.0""";"116ø59'35.0""";Tr-J;1;1
291;"51ø17'0.0""";"108ø30'0.0""";J;1;1
294;"50ø37'0.0""";"113ø43'0.0""";J;1;2
300;"53ø41'50.0""";"115ø6'10.0""";Tr-J;1;1
303;"51ø38'40.0""";"110ø19'20.0""";J;1;1
313;"51ø26'20.0""";"108ø44'30.0""";Tr-J;1;1
316;"53ø57'0.0""";"115ø42'0.0""";Tr-J;1;2
317;"51ø13'50.0""";"107ø34'0.0""";Tr;1;1
320;"52ø6'50.0""";"115ø58'30.0""";J;1;1
321;"52ø6'50.0""";"115ø58'30.0""";J;1;1
324;"51ø7'0.0""";"113ø15'0.0""";J;1;1
325;"53ø50'10.0""";"115ø18'10.0""";Tr-J;1;2
327;"54ø49'15.0""";"117ø45'20.0""";J;1;1
328;"54ø12'10.0""";"119ø24'0.0""";Tr;1;2
329;"53ø56'0.0""";"115ø39'10.0""";Tr;1;1
333;"53ø53'40.0""";"115ø37'10.0""";Tr-J;1;1
334;"53ø27'0.0""";"118ø51'30.0""";Tr-J;1;1
340;"50ø15'0.0""";"110ø5'0.0""";J;1;1
344;"53ø15'20.0""";"111ø56'45.0""";Tr;1;1
346;"53ø23'5.0""";"116ø58'40.0""";J;1;1
348;"53ø43'50.0""";"115ø18'50.0""";Tr-J;1;1
349;"53ø55'30.0""";"115ø42'30.0""";Tr-J;1;1
357;"53ø54'50.0""";"115ø33'0.0""";Tr-J;1;2
358;"52ø11'40.0""";"110ø21'40.0""";Tr-J;1;1
360;"51ø42'0.0""";"113ø12'0.0""";Tr-J;1;1
362;"52ø30'0.0""";"110ø23'30.0""";Tr-J;1;1
364;"51ø28'0.0""";"113ø22'0.0""";J;1;2
365;"53ø53'25.0""";"115ø34'20.0""";Tr-J;1;1
366;"50ø56'0.0""";"113ø18'0.0""";J;1;1
370;"53ø47'20.0""";"119ø35'54.0""";K;1;1
375;"53ø18'0.0""";"112ø51'0.0""";Tr;1;1
379;"53ø55'30.0""";"115ø42'30.0""";Tr-J;1;1
380;"52ø26'0.0""";"115ø29'0.0""";J;1;1
381;"51ø40'0.0""";"113ø18'0.0""";Tr-J;1;1
384;"51ø43'0.0""";"108ø2'0.0""";Tr-J;1;1
389;"52ø40'45.0""";"110ø57'15.0""";Tr;1;1
393;"51ø28'20.0""";"108ø40'0.0""";Tr-J;1;1
394;"53ø55'40.0""";"115ø42'50.0""";Tr-J;1;1
396;"53ø55'40.0""";"115ø32'30.0""";Tr-J;1;1
