;Latitude;Longitude;time;area;0
43;"67ø50'0.0""";"178ø50'0.0""W";K;5;1
67;"65ø42'0.0""";"178ø4'0.0""W";Pg;5;1
111;"66ø24'0.0""";"174ø53'0.0""W";K;5;2
134;"67ø51'0.0""";"179ø17'0.0""W";K;5;1
181;"67ø52'0.0""";"179ø21'0.0""W";K;5;1
189;"66ø36'0.0""";"179ø3'0.0""W";K;5;2
232;"67ø50'0.0""";"179ø10'0.0""W";K;5;1
281;"66ø26'0.0""";"175ø21'0.0""W";K;5;1
302;"68ø3'0.0""";"179ø30'0.0""W";K;5;2
309;"66ø21'0.0""";"174ø52'0.0""W";K;5;2
336;"64ø52'0.0""";"175ø31'0.0""W";K;5;1
373;"65ø53'0.0""";"176ø50'0.0""W";K;5;2
383;"68ø2'0.0""";"178ø42'0.0""W";K;5;1
495;"66ø23'0.0""";"171ø10'0.0""W";K;5;2
502;"64ø46'0.0""";"175ø11'0.0""W";K;5;1
526;"65ø39'0.0""";"176ø36'0.0""W";Pg;5;1
561;"65ø34'0.0""";"178ø8'0.0""W";Pg;5;2
589;"64ø29'0.0""";"174ø3'0.0""W";K;5;2
623;"67ø50'0.0""";"178ø53'0.0""W";K;5;1
629;"64ø25'0.0""";"174ø30'0.0""W";K;5;1
652;"64ø47'0.0""";"173ø43'0.0""W";K;5;2
663;"67ø53'0.0""";"179ø15'0.0""W";K;5;1
685;"67ø52'0.0""";"179ø16'0.0""W";K;5;2
696;"65ø7'0.0""";"175ø33'0.0""W";Pg;5;1
704;"65ø53'0.0""";"175ø49'0.0""W";K;5;1
751;"67ø52'0.0""";"179ø3'0.0""W";K;5;0
775;"65ø7'0.0""";"172ø20'0.0""W";K;5;2
783;"66ø32'0.0""";"172ø44'0.0""W";K;5;2
791;"64ø45'0.0""";"174ø3'0.0""W";K;5;2
827;"65ø7'0.0""";"175ø33'0.0""W";Pg;5;1
835;"67ø53'0.0""";"179ø10'0.0""W";K;5;2
841;"65ø42'0.0""";"178ø28'0.0""W";Pg;5;2
860;"67ø53'0.0""";"179ø19'0.0""W";K;5;0
890;"64ø30'0.0""";"173ø55'0.0""W";Pg;5;2
930;"64ø48'0.0""";"175ø12'0.0""W";K;5;1
933;"66ø29'0.0""";"172ø58'0.0""W";K;5;2
952;"66ø18'0.0""";"172ø36'0.0""W";K;5;1
995;"68ø10'0.0""";"179ø45'0.0""W";K;5;1
1041;"67ø52'0.0""";"178ø48'0.0""W";K;5;2
1069;"65ø7'0.0""";"175ø31'0.0""W";K;5;1
1098;"67ø59'0.0""";"179ø20'0.0""W";K;5;2
1143;"67ø54'0.0""";"178ø30'0.0""W";K;5;0
1177;"66ø25'0.0""";"174ø55'0.0""W";K;5;1
1219;"68ø12'0.0""";"178ø28'0.0""W";K;5;1
1222;"67ø51'0.0""";"179ø20'0.0""W";K;5;2
1306;"68ø2'0.0""";"179ø40'0.0""W";K;5;1
1345;"67ø53'0.0""";"178ø35'0.0""W";K;5;0
1368;"64ø51'0.0""";"175ø6'0.0""W";K;5;1
1389;"67ø48'0.0""";"178ø52'0.0""W";K;5;0
1423;"65ø42'0.0""";"170ø55'0.0""W";K;5;0
1485;"66ø31'0.0""";"179ø1'0.0""W";K;5;2
1509;"65ø48'0.0""";"177ø48'0.0""W";Pg;5;2
1523;"68ø10'0.0""";"178ø20'0.0""W";K;5;2
1524;"67ø51'0.0""";"178ø52'0.0""W";K;5;2
1533;"65ø39'0.0""";"176ø26'0.0""W";Pg;5;1
1537;"68ø25'0.0""";"179ø49'0.0""W";K;5;2
1549;"66ø25'0.0""";"178ø55'0.0""W";K;5;1
1552;"66ø19'0.0""";"172ø25'0.0""W";K;5;2
1553;"66ø39'0.0""";"178ø37'0.0""W";K;5;2
1556;"65ø46'0.0""";"179ø58'0.0""W";Pg;5;1
1559;"64ø51'0.0""";"175ø6'0.0""W";K;5;2
1597;"66ø14'0.0""";"171ø20'0.0""W";K;5;1
1610;"66ø35'0.0""";"178ø55'0.0""W";K;5;0
1611;"67ø19'0.0""";"179ø28'0.0""W";K;5;2
1636;"65ø36'0.0""";"170ø37'0.0""W";K;5;2
1637;"66ø31'0.0""";"179ø1'0.0""W";K;5;2
1643;"66ø29'0.0""";"172ø23'0.0""W";K;5;1
1668;"66ø6'0.0""";"169ø45'0.0""W";K;5;2
1671;"66ø4'0.0""";"172ø29'0.0""W";K;5;2
1683;"65ø16'0.0""";"174ø23'0.0""W";K;5;1
1684;"67ø50'0.0""";"178ø53'0.0""W";K;5;0
1724;"65ø7'0.0""";"175ø33'0.0""W";K;5;1
1786;"66ø22'0.0""";"176ø36'0.0""W";K;5;2
1788;"67ø58'0.0""";"179ø20'0.0""W";K;5;2
1793;"64ø41'0.0""";"175ø29'0.0""W";K;5;1
1816;"65ø26'0.0""";"174ø8'0.0""W";K;5;2
1871;"66ø42'0.0""";"171ø50'0.0""W";K;5;1
1961;"68ø25'0.0""";"179ø50'0.0""W";K;5;2
1985;"66ø25'0.0""";"178ø55'0.0""W";K;5;2
1996;"66ø33'0.0""";"178ø58'0.0""W";K;5;2
2007;"66ø30'0.0""";"179ø5'0.0""W";K;5;2
2009;"65ø17'0.0""";"172ø12'0.0""W";K;5;2
2052;"65ø51'0.0""";"170ø38'0.0""W";K;5;0
2054;"64ø53'0.0""";"174ø55'0.0""W";K;5;1
2064;"66ø29'0.0""";"179ø7'0.0""W";K;5;2
2075;"66ø20'0.0""";"171ø8'0.0""W";K;5;0
2084;"66ø46'0.0""";"178ø22'0.0""W";K;5;1
2128;"68ø24'0.0""";"179ø52'0.0""W";K;5;0
2163;"67ø17'0.0""";"179ø16'0.0""W";K;5;1
2235;"68ø25'0.0""";"179ø50'0.0""W";Mz;5;2
2261;"67ø5'0.0""";"176ø5'0.0""W";K;5;0
2267;"68ø27'0.0""";"179ø42'0.0""W";K;5;0
2283;"68ø25'0.0""";"179ø50'0.0""W";K;5;2
2320;"68ø27'0.0""";"179ø44'0.0""W";K;5;0
2330;"66ø6'0.0""";"173ø15'0.0""W";K;5;2
2357;"68ø10'0.0""";"179ø37'0.0""W";K;5;2
2364;"66ø24'0.0""";"175ø27'0.0""W";K;5;0
2380;"66ø30'0.0""";"179ø9'0.0""W";K;5;2
2385;"66ø41'0.0""";"178ø40'0.0""W";K;5;2
2389;"64ø39'0.0""";"173ø55'0.0""W";K;5;2
2418;"67ø50'0.0""";"178ø50'0.0""W";K;5;2
2443;"67ø12'0.0""";"179ø5'0.0""W";K;5;1
2445;"66ø45'0.0""";"177ø41'0.0""W";K;5;0
2449;"67ø32'0.0""";"177ø50'0.0""W";K;5;0
2461;"65ø5'0.0""";"179ø50'0.0""W";K;5;2
