;Latitude;Longitude;time;area;0
2965;"54ø41'0.0""";"119ø4'50.0""";Tr;1;0
2966;"69ø50'0.0""";"174ø38'0.0""";K;4;1
2967;"62ø37'0.0""";"140ø46'0.0""";K;3;0
2968;"60ø39'0.0""";"138ø28'0.0""";K;3;1
2969;"54ø11'10.0""";"116ø15'40.0""";Tr-J;1;1
2970;"47ø15'28.0""";"137ø47'55.0""";K;2;1
2971;"67ø18'0.0""";"156ø32'0.0""";K;3;0
2972;"67ø3'50.0""";"149ø26'0.0""";K;3;2
2974;"46ø15'0.0""";"135ø50'50.0""";K;2;0
2975;"67ø56'30.0""";"179ø20'0.0""";K;4;0
2976;"50ø36'0.0""";"113ø53'0.0""";J;1;0
2977;"64ø1'30.0""";"163ø1'25.0""";K;4;0
2978;"53ø43'40.0""";"114ø58'0.0""";Tr-J;1;0
2980;"49ø38'0.0""";"112ø7'0.0""";J;1;0
2981;"49ø32'0.0""";"110ø56'0.0""";Tr;1;1
2982;"62ø1'0.0""";"141ø2'0.0""";K;3;0
2983;"51ø1'0.0""";"112ø41'0.0""";J;1;1
2984;"52ø30'30.0""";"110ø24'30.0""";Tr-J;1;0
2985;"53ø35'0.0""";"119ø13'0.0""";Tr;1;0
2986;"50ø34'0.0""";"112ø20'0.0""";Tr;1;0
2987;"68ø3'0.0""";"178ø7'0.0""WW";K;5;1
2988;"68ø42'0.0""";"169ø21'0.0""";K;4;0
2989;"49ø27'0.0""";"137ø58'0.0""";K;2;0
2990;"61ø25'0.0""";"150ø16'0.0""";K;3;1
2991;"64ø11'0.0""";"156ø35'0.0""";K;3;0
2992;"50ø17'0.0""";"107ø33'45.0""";Tr;1;0
2993;"69ø31'0.0""";"149ø50'0.0""";K;3;1
2995;"65ø41'0.0""";"143ø48'0.0""";K;3;0
2996;"45ø9'10.0""";"135ø7'30.0""";K;2;0
2997;"46ø17'9.0""";"135ø52'15.0""";K;2;1
2998;"44ø36'5.0""";"134ø20'50.0""";K;2;2
2999;"62ø33'0.0""";"151ø18'0.0""";J;3;1
3000;"50ø11'0.0""";"109ø9'0.0""";Tr;1;0
3001;"60ø8'20.0""";"141ø46'0.0""";K;3;1
3002;"45ø3'40.0""";"135ø22'40.0""";K;2;0
3004;"51ø17'0.0""";"134ø10'0.0""";K;2;0
3005;"66ø3'0.0""";"163ø19'0.0""";K;4;1
3006;"53ø44'50.0""";"115ø19'0.0""";Tr-J;1;0
3007;"66ø25'0.0""";"174ø30'0.0""WW";K;5;0
3009;"44ø18'50.0""";"135ø27'2.0""";K;2;0
3010;"66ø8'0.0""";"169ø42'0.0""WW";K;5;0
3011;"50ø50'0.0""";"108ø24'0.0""";Tr-J;1;0
3013;"49ø23'0.0""";"110ø4'0.0""";J;1;0
3015;"53ø22'40.0""";"119ø30'0.0""";Tr;1;0
3016;"53ø46'0.0""";"117ø35'50.0""";J;1;0
3017;"60ø39'0.0""";"144ø49'0.0""";K;3;0
3018;"65ø2'0.0""";"169ø15'0.0""";K;4;0
3019;"65ø30'0.0""";"139ø33'0.0""";K;3;0
3020;"55ø43'0.0""";"135ø45'0.0""";K;2;0
3021;"53ø2'0.0""";"117ø2'40.0""";J;1;1
3022;"62ø31'30.0""";"173ø34'0.0""";K;4;0
3023;"69ø37'0.0""";"141ø44'0.0""";K;3;0
3024;"52ø58'20.0""";"119ø33'0.0""";Tr;1;0
3025;"68ø25'0.0""";"179ø50'0.0""WW";K;5;0
3026;"69ø55'0.0""";"142ø10'0.0""";K;3;0
3027;"65ø39'0.0""";"135ø2'0.0""";K;3;1
3028;"50ø51'0.0""";"108ø19'0.0""";Tr-J;1;1
3029;"66ø15'0.0""";"139ø45'0.0""";K;3;2
3030;"65ø51'0.0""";"135ø21'0.0""";K;3;0
3031;"64ø13'30.0""";"168ø5'30.0""";K;4;0
3033;"69ø10'0.0""";"141ø4'0.0""";K;3;1
3034;"61ø50'0.0""";"156ø57'0.0""";K;3;0
3035;"54ø1'0.0""";"135ø18'0.0""";K;2;0
3036;"62ø9'0.0""";"139ø17'0.0""";K;3;0
3037;"69ø48'0.0""";"136ø38'0.0""";K;3;0
3038;"47ø19'0.0""";"134ø55'0.0""";K;2;1
3039;"50ø51'0.0""";"108ø25'0.0""";Tr-J;1;0
3040;"54ø19'40.0""";"116ø57'40.0""";Tr;1;0
3041;"66ø27'0.0""";"175ø23'0.0""WW";K;5;0
3042;"50ø10'0.0""";"108ø18'0.0""";Tr;1;1
3043;"43ø50'0.0""";"134ø23'0.0""";Pg;2;0
3044;"61ø48'0.0""";"152ø34'0.0""";K;3;0
3045;"51ø9'0.0""";"109ø22'0.0""";J;1;0
3046;"65ø49'0.0""";"174ø38'0.0""";K;4;0
3047;"62ø23'36.0""";"178ø39'0.0""";K;4;0
3048;"49ø15'0.0""";"109ø51'0.0""";J;1;1
3049;"53ø55'30.0""";"115ø39'30.0""";Tr-J;1;1
3050;"53ø44'50.0""";"115ø23'20.0""";Tr-J;1;0
3051;"50ø58'0.0""";"113ø19'0.0""";J;1;1
3052;"52ø0'0.0""";"134ø21'0.0""";K;2;1
3053;"51ø17'0.0""";"112ø8'0.0""";J;1;0
