;Latitude;Longitude;time;area;0
1;"44ø31'30.0""";"138ø37'30.0""";K;2;1
7;"47ø30'0.0""";"136ø27'0.0""";K;2;1
8;"48ø14'0.0""";"137ø28'0.0""";K;2;3
13;"46ø11'26.0""";"135ø51'32.0""";K;2;1
16;"52ø32'0.0""";"135ø12'0.0""";K;2;1
20;"52ø23'0.0""";"134ø38'0.0""";K;2;1
28;"44ø32'10.0""";"134ø14'35.0""";K;2;1
34;"52ø25'0.0""";"134ø13'0.0""";K;2;0
37;"49ø5'0.0""";"137ø35'0.0""";Pg;2;1
38;"45ø37'30.0""";"135ø8'57.0""";K;2;1
40;"44ø27'35.0""";"136ø3'0.0""";Pg;2;1
44;"52ø28'0.0""";"140ø19'0.0""";Pg;2;1
47;"47ø27'48.0""";"138ø23'24.0""";Pg;2;1
52;"49ø49'0.0""";"139ø9'0.0""";Pg;2;3
57;"52ø37'0.0""";"133ø30'0.0""";Pg;2;1
58;"52ø28'0.0""";"140ø16'0.0""";Pg;2;1
64;"46ø16'0.0""";"135ø27'40.0""";K;2;1
66;"47ø14'20.0""";"137ø53'20.0""";K;2;1
74;"43ø53'35.0""";"135ø6'11.0""";K;2;3
75;"52ø29'0.0""";"139ø59'0.0""";K;2;1
82;"46ø0'5.0""";"135ø18'17.0""";K;2;1
83;"53ø52'0.0""";"136ø34'0.0""";Pg;2;1
86;"47ø27'0.0""";"138ø4'30.0""";Pg;2;1
90;"45ø32'49.0""";"134ø45'0.0""";K;2;1
96;"48ø34'0.0""";"138ø52'0.0""";Pg;2;1
101;"48ø13'0.0""";"138ø41'0.0""";Pg;2;1
105;"43ø38'45.0""";"135ø12'47.0""";Pg;2;1
110;"46ø29'30.0""";"138ø13'56.0""";K;2;1
113;"50ø34'0.0""";"134ø13'0.0""";K;2;1
143;"49ø12'0.0""";"137ø29'0.0""";Tr;2;1
145;"52ø29'0.0""";"134ø13'0.0""";K;2;1
149;"45ø52'20.0""";"135ø22'35.0""";K;2;3
152;"47ø27'48.0""";"138ø23'24.0""";Pg;2;3
157;"48ø54'0.0""";"138ø59'0.0""";Pg;2;1
160;"45ø49'20.0""";"135ø20'40.0""";K;2;3
161;"47ø49'13.0""";"138ø8'10.0""";K;2;1
162;"45ø36'27.0""";"134ø51'30.0""";K;2;3
163;"49ø23'0.0""";"139ø33'0.0""";Pg;2;3
165;"48ø12'0.0""";"137ø19'0.0""";K;2;1
166;"45ø32'53.0""";"136ø56'35.0""";K;2;1
169;"50ø27'0.0""";"133ø25'0.0""";K;2;1
170;"52ø13'0.0""";"134ø21'0.0""";K;2;1
171;"45ø39'0.0""";"134ø48'30.0""";K;2;1
179;"50ø27'0.0""";"133ø28'0.0""";K;2;1
183;"51ø15'0.0""";"134ø11'0.0""";K;2;0
184;"44ø32'30.0""";"135ø42'10.0""";Pg;2;1
192;"53ø9'0.0""";"140ø58'0.0""";Pg;2;1
194;"45ø36'5.0""";"136ø35'50.0""";K;2;1
198;"47ø10'25.0""";"137ø7'40.0""";K;2;1
202;"51ø21'0.0""";"134ø34'0.0""";K;2;1
205;"48ø13'0.0""";"136ø30'0.0""";K;2;1
206;"47ø48'25.0""";"138ø4'25.0""";K;2;1
207;"53ø4'0.0""";"133ø15'0.0""";K;2;3
208;"44ø39'20.0""";"136ø12'5.0""";Pg;2;1
215;"44ø23'40.0""";"133ø1'20.0""";K;2;0
219;"43ø37'58.0""";"135ø12'59.0""";Pg;2;1
225;"49ø13'0.0""";"138ø0'0.0""";K;2;1
227;"47ø27'0.0""";"138ø43'0.0""";Pg;2;1
229;"45ø37'49.0""";"134ø46'20.0""";K;2;1
235;"45ø6'0.0""";"136ø45'0.0""";Pg;2;1
236;"44ø27'50.0""";"135ø13'7.0""";Pg;2;1
239;"48ø12'0.0""";"136ø30'0.0""";K;2;1
241;"44ø50'30.0""";"135ø3'20.0""";K;2;1
242;"44ø29'5.0""";"134ø15'7.0""";K;2;3
243;"47ø24'6.0""";"138ø6'54.0""";K;2;1
244;"45ø36'0.0""";"136ø39'30.0""";Pg;2;1
246;"45ø49'15.0""";"135ø38'10.0""";K;2;1
247;"43ø6'53.0""";"133ø25'18.0""";K;2;3
254;"46ø37'10.0""";"138ø14'55.0""";Pg;2;0
269;"45ø44'30.0""";"134ø46'36.0""";K;2;1
270;"44ø52'7.0""";"136ø9'50.0""";Pg;2;1
271;"44ø31'8.0""";"134ø12'58.0""";K;2;1
280;"49ø19'0.0""";"139ø13'0.0""";Pg;2;1
284;"49ø25'0.0""";"139ø17'0.0""";Pg;2;3
286;"51ø9'0.0""";"133ø57'0.0""";K;2;1
289;"47ø14'0.0""";"137ø53'35.0""";K;2;1
292;"49ø16'0.0""";"139ø9'0.0""";Pg;2;1
297;"45ø31'42.0""";"134ø41'0.0""";K;2;1
299;"44ø27'0.0""";"134ø20'29.0""";K;2;3
314;"53ø49'0.0""";"140ø1'0.0""";Pg;2;3
335;"44ø47'0.0""";"133ø0'0.0""";K;2;3
342;"44ø26'55.0""";"134ø20'2.0""";Pg;2;1
347;"51ø33'0.0""";"135ø38'0.0""";K;2;1
354;"44ø29'10.0""";"136ø6'40.0""";Pg;2;1
363;"51ø27'0.0""";"140ø26'0.0""";Pg;2;1
369;"49ø3'0.0""";"139ø2'0.0""";Pg;2;1
387;"45ø29'0.0""";"137ø3'0.0""";K;2;3
399;"45ø55'0.0""";"135ø30'0.0""";K;2;1
402;"52ø29'0.0""";"139ø50'0.0""";K;2;1
403;"47ø29'40.0""";"138ø53'4.0""";K;2;1
409;"45ø40'10.0""";"134ø46'45.0""";K;2;1
411;"44ø36'20.0""";"135ø33'30.0""";Pg;2;1
412;"43ø38'51.0""";"133ø54'44.0""";K;2;1
418;"45ø51'29.0""";"134ø30'0.0""";K;2;3
424;"47ø13'40.0""";"137ø52'40.0""";K;2;3
425;"47ø0'8.0""";"137ø13'45.0""";K;2;3
437;"43ø56'0.0""";"135ø25'0.0""";K;2;1
442;"53ø49'0.0""";"140ø1'0.0""";Pg;2;3
452;"44ø50'0.0""";"136ø0'0.0""";K;2;1
461;"54ø36'0.0""";"133ø28'0.0""";K;2;1
464;"47ø22'42.0""";"138ø6'6.0""";K;2;3
468;"44ø49'20.0""";"136ø22'7.0""";K;2;3
469;"43ø51'50.0""";"134ø14'15.0""";K;2;1
471;"45ø17'0.0""";"133ø51'0.0""";K;2;1
474;"47ø14'35.0""";"137ø49'45.0""";K;2;1
483;"51ø39'0.0""";"134ø2'0.0""";K;2;0
485;"47ø27'48.0""";"138ø23'24.0""";Pg;2;1
490;"46ø11'30.0""";"135ø52'0.0""";K;2;1
504;"45ø34'25.0""";"135ø26'55.0""";K;2;1
505;"45ø41'53.0""";"134ø4'55.0""";K;2;3
506;"45ø34'30.0""";"136ø59'30.0""";K;2;3
507;"45ø49'42.0""";"135ø17'0.0""";K;2;0
509;"47ø14'10.0""";"137ø53'0.0""";K;2;1
511;"47ø12'40.0""";"137ø51'20.0""";K;2;3
516;"51ø24'0.0""";"134ø24'0.0""";K;2;1
520;"45ø33'50.0""";"135ø25'0.0""";K;2;3
530;"44ø26'55.0""";"134ø20'2.0""";Pg;2;3
531;"47ø15'0.0""";"135ø12'0.0""";K;2;1
534;"45ø34'25.0""";"135ø27'45.0""";K;2;3
553;"53ø32'0.0""";"134ø21'0.0""";K;2;2
554;"46ø21'40.0""";"135ø28'45.0""";K;2;1
556;"45ø35'26.0""";"135ø13'9.0""";K;2;1
564;"43ø38'20.0""";"135ø13'20.0""";K;2;3
566;"43ø53'35.0""";"138ø29'5.0""";Pg;2;1
570;"48ø37'0.0""";"138ø53'0.0""";K;2;1
572;"45ø48'40.0""";"133ø58'55.0""";Pg;2;1
576;"50ø13'0.0""";"139ø3'0.0""";Pg;2;1
588;"46ø49'45.0""";"136ø57'10.0""";K;2;1
602;"45ø26'20.0""";"135ø18'10.0""";K;2;0
605;"44ø50'10.0""";"135ø4'0.0""";K;2;1
612;"46ø3'20.0""";"135ø34'30.0""";K;2;1
621;"45ø35'38.0""";"136ø36'17.0""";K;2;1
630;"46ø30'50.0""";"135ø53'10.0""";K;2;1
631;"44ø27'0.0""";"136ø2'0.0""";Pg;2;0
636;"45ø35'50.0""";"135ø30'40.0""";K;2;1
644;"50ø15'0.0""";"133ø54'0.0""";K;2;1
651;"45ø33'55.0""";"135ø15'45.0""";K;2;3
655;"43ø51'45.0""";"134ø30'15.0""";K;2;3
658;"44ø28'0.0""";"133ø8'0.0""";K;2;1
661;"45ø36'45.0""";"135ø18'45.0""";K;2;3
667;"45ø48'25.0""";"135ø15'0.0""";K;2;3
669;"47ø47'16.0""";"138ø0'25.0""";K;2;1
671;"45ø35'38.0""";"136ø36'17.0""";K;2;1
