;Latitude;Longitude;time;area;0
3;"62ø36'0.0""";"155ø36'0.0""";K;3;3
4;"61ø35'0.0""";"146ø2'0.0""";K;3;3
12;"61ø19'0.0""";"149ø14'0.0""";K;3;3
15;"69ø32'0.0""";"149ø32'0.0""";K;3;3
18;"69ø35'0.0""";"141ø34'0.0""";K;3;2
19;"65ø49'0.0""";"135ø20'0.0""";K;3;0
22;"61ø50'0.0""";"146ø39'0.0""";K;3;3
26;"65ø3'0.0""";"145ø40'0.0""";K;3;3
27;"61ø46'0.0""";"152ø35'0.0""";K;3;0
30;"66ø20'0.0""";"137ø50'0.0""";K;3;3
33;"60ø30'0.0""";"142ø4'0.0""";K;3;3
42;"61ø17'0.0""";"149ø23'0.0""";K;3;0
48;"60ø27'0.0""";"146ø53'0.0""";K;3;3
50;"61ø19'0.0""";"149ø15'0.0""";K;3;3
54;"62ø45'0.0""";"158ø49'0.0""";K;3;3
63;"69ø55'0.0""";"140ø42'0.0""";K;3;3
69;"61ø55'0.0""";"156ø21'0.0""";K;3;3
78;"61ø27'0.0""";"155ø51'0.0""";K;3;3
79;"60ø42'0.0""";"152ø32'0.0""";K;3;3
80;"61ø40'0.0""";"155ø19'0.0""";K;3;3
81;"60ø46'0.0""";"153ø20'0.0""";K;3;3
89;"61ø21'0.0""";"146ø16'0.0""";K;3;3
91;"62ø25'0.0""";"156ø10'0.0""";K;3;3
93;"60ø12'0.0""";"151ø5'0.0""";K;3;3
94;"63ø16'0.0""";"152ø10'0.0""";J;3;0
97;"62ø19'0.0""";"155ø30'0.0""";K;3;3
98;"68ø2'0.0""";"137ø9'0.0""";K;3;3
99;"62ø39'0.0""";"155ø41'0.0""";K;3;3
100;"61ø41'0.0""";"151ø26'0.0""";K;3;0
109;"61ø16'0.0""";"149ø11'0.0""";K;3;3
112;"65ø3'0.0""";"146ø4'0.0""";J;3;0
114;"62ø8'0.0""";"152ø8'0.0""";K;3;3
118;"60ø46'0.0""";"154ø21'0.0""";K;3;3
119;"69ø36'0.0""";"150ø29'0.0""";K;3;3
121;"61ø19'0.0""";"149ø19'0.0""";K;3;3
125;"61ø21'0.0""";"151ø46'0.0""";K;3;3
129;"61ø23'0.0""";"151ø47'0.0""";K;3;3
131;"62ø2'0.0""";"141ø2'0.0""";K;3;3
133;"61ø23'0.0""";"151ø50'0.0""";K;3;3
158;"69ø18'0.0""";"143ø5'0.0""";K;3;3
159;"62ø32'0.0""";"155ø49'0.0""";K;3;3
164;"64ø32'0.0""";"146ø32'0.0""";K;3;3
167;"62ø17'0.0""";"148ø47'0.0""";J;3;3
172;"63ø36'0.0""";"147ø52'0.0""";J;3;3
173;"60ø57'0.0""";"153ø55'0.0""";K;3;3
174;"59ø55'0.0""";"139ø18'0.0""";K;3;3
180;"69ø53'0.0""";"140ø8'0.0""";K;3;0
182;"60ø29'40.0""";"142ø1'20.0""";K;3;3
190;"60ø32'0.0""";"149ø43'0.0""";K;3;3
195;"62ø23'0.0""";"149ø17'0.0""";K;3;0
196;"60ø35'0.0""";"149ø41'0.0""";K;3;0
197;"62ø10'0.0""";"155ø13'0.0""";K;3;3
209;"59ø42'0.0""";"150ø53'0.0""";K;3;3
210;"62ø38'0.0""";"156ø4'0.0""";K;3;0
216;"61ø58'0.0""";"156ø19'0.0""";K;3;3
217;"66ø58'0.0""";"135ø48'0.0""";K;3;0
221;"62ø35'0.0""";"155ø35'0.0""";K;3;3
