52- (49°49' ,139°09')|.Granite|.K2-Pg|.R.A.Sokolova|(P.A.Epov,1952). 
53- (67°57' ,177°19')|.Granosyenite|.K1|.Kutum massif|.S.M.Shadskaya|(K.V||.laraketsov,1955). 
54- (62°45' ,158°49')|.Aplite|.K2|.Chula massif|.I|.S.Ryabova||.Det.:H2o+-0||.19|(I||.P.Vasetsky,1965). 
55- (53°35'30",118°31'50")|.Granite alkaline|.J3|.N.A.Lebedeva|(S.P.Smelovsky,1968). 
56- (50°23' ,111°37')|.Granite coarse-grained|.J2|.L.A.Kuznetsova|.Oth.:S03-0|.04|(T.G.Deuli,1940) . 
57- (52°37' ,133°30')|.Aplite|.K2-Pg|(V.V.Vasil'eva||,1955). 
58- (52°28' ,140°16')|.Granite|.Pg2_3|.A.N.Geraskina|.Oth.:S03-0.0l|(V.P||.Polikanov||,1974) . 
59- (51°45'30",107°35')|.Alaskite|.Tr|.Western massif||.Oth.:S03-0.19|(D|.V.Trunev,1961). 
60- (52°30'30",114°02')|.Granite|.Tr|.N.A||.Lebedeva|(A.A|.Matlashov,1969) . 
61- (52°36'30",115°19'30")|.Granite alkaline|.J3|.Dolutur massif|.L.S.Voronova|(R.V.Tsoy,1961). 
62|- (67°13' ,179°20')|.Alaskite|.K2|.Det.:H2o+-0.08|(V.K.Sadakov,1967) . 
63|- (69°55' ,140°42')|.Aplite|.K1|.Bakyn massif|.Det.:H2o+-0.06|(G.I|.Mikheev,1965). 
64- (46°16',135°27'40")|.Granite|.K2|(V.M.Kochkin,1973). 
65- (53°53'40",115°39') |.Granite alkaline||.Tr-J|.Kontalakan-Marektin massif|.N.P.Mel'nikova|(V.S.lvanov,1968). 
66- (47°14'20",137°53'20")|.Granite alaskitic||.K2|(A.N.Shapotin,1975). 
67- (65°42' ,178°04'W)|.Granite-porphyry subalkaline|.Pg|.Linliney massif|.Oth.:B2o3-0.17|(E.K.Boborykin,1955). 
68- (48°49',105°30')|.Alaskite alkaline|.Tr3-J'(Yu.M.Arsen'ev,1967) . 
69- (61°55' ,156°21')|.Granite leucocratic|.K2|.Viligin massif|.N.S.Sergutina|(A.D.Silinsky,1964). 
70- (49°30' ,113°06')|.Granite|.J|.Bayan-Dunulin massif|{Tochtokh,1974) 
71- (50°44'40",105°18')|.Granite leucocratic fine-grained|.Tr-J1|.Tsagatuy massif|(A.S|.Kireev,1968). 
72|- {66°34',171°55tW)|.Granodiorite|.K1|.Teniany massif|(I.A.Nikitin,1957). 
73- (52°11'40",110°13'30")|.Granite-porphyry|.Tr-J1.(D.V.Trunev,1962) . 
74- (43°53'35",135°06'11")|.Granite|.K2|.Shirokopadnin massif|(I.I.Antushevich,1966). 
75- (52°29' ,139°59')|.Granite porphyraceous fine|-grained|.K2|(A.F.Mayboroda,1961) . 
76- (51°05' ,113°12')|.Granite coarse-grained miarolic|.J3|.M|.I.Merkul'eva|{E.T.Bubnov,1964). 
77- {50°35' ,109°31')|.Granite|.Tr|.R.T.Vyatkina|(E.M.Bagadaev,1969). 
78- {61°27' ,155°51')|.Aplite|.K2|.Aygur massif|.I.O.Ryabova|.Det.:H2o+-0.29|{L|.V.Ievlev,1964). 
79- {60°42' ,152°32')|.Granite subalkaline|.K2|.Upper-Yam massif|.S.M|.Shadskaya|{A.A|.Dontsov,1946) . 
