;Latitude;Longitude;time;area;0
3806;"52ø19'0.0""";"112ø51'0.0""";Tr;1;3
3807;"50ø54'0.0""";"135ø48'0.0""";K;2;4
3808;"44ø34'45.0""";"136ø12'30.0""";Pg;2;0
3809;"69ø36'0.0""";"170ø11'0.0""";K;4;0
3810;"63ø19'35.0""";"163ø50'20.0""";K;4;3
3812;"69ø23'0.0""";"177ø10'0.0""";K;4;3
3813;"64ø15'0.0""";"164ø32'30.0""";K;4;3
3814;"68ø43'0.0""";"169ø22'0.0""";Pg;4;3
3815;"69ø32'0.0""";"145ø38'0.0""";K;3;4
3816;"67ø5'45.0""";"149ø35'10.0""";K;3;3
3817;"44ø22'20.0""";"134ø46'30.0""";K;2;3
3818;"52ø26'25.0""";"115ø21'25.0""";Tr;1;0
3819;"69ø38'0.0""";"151ø25'0.0""";J;3;3
3820;"52ø51'0.0""";"119ø45'0.0""";J;1;0
3821;"47ø15'0.0""";"138ø41'0.0""";Pg;2;3
3822;"52ø26'55.0""";"115ø24'50.0""";Tr;1;0
3823;"51ø56'0.0""";"133ø30'0.0""";K;2;3
3824;"69ø20'0.0""";"145ø45'0.0""";K;3;0
3825;"69ø34'0.0""";"149ø35'0.0""";K;3;3
3827;"44ø30'40.0""";"136ø11'30.0""";Pg;2;3
3828;"49ø38'0.0""";"112ø9'0.0""";J;1;3
3830;"69ø25'0.0""";"138ø39'0.0""";K;3;3
3831;"69ø53'0.0""";"142ø24'0.0""";K;3;0
3832;"47ø15'0.0""";"138ø41'0.0""";Pg;2;0
3833;"66ø37'0.0""";"177ø42'0.0""WW";K;5;4
3834;"47ø11'45.0""";"137ø52'50.0""";K;2;3
3835;"63ø19'0.0""";"155ø13'0.0""";K;3;0
3836;"67ø40'0.0""";"178ø30'0.0""WW";K;5;0
3837;"66ø29'0.0""";"175ø27'0.0""WW";K;5;0
3838;"64ø50'0.0""";"135ø26'0.0""";K;3;0
3839;"52ø15'0.0""";"112ø59'0.0""";Tr-J;1;0
3840;"62ø9'0.0""";"139ø17'0.0""";K;3;3
3841;"65ø48'0.0""";"135ø18'0.0""";K;3;0
3842;"44ø22'55.0""";"134ø22'13.0""";K;2;0
3843;"63ø6'0.0""";"155ø9'0.0""";K;3;3
3844;"62ø5'0.0""";"139ø23'0.0""";K;3;0
3845;"54ø2'40.0""";"117ø47'0.0""";J;1;3
3846;"65ø8'0.0""";"134ø53'0.0""";K;3;4
3847;"63ø39'0.0""";"142ø57'25.0""";K;3;4
3848;"50ø12'0.0""";"112ø46'0.0""";J;1;4
3849;"50ø28'0.0""";"112ø53'0.0""";J;1;3
3850;"44ø17'30.0""";"135ø48'10.0""";Pg;2;3
3852;"49ø54'0.0""";"112ø55'0.0""";J;1;3
3853;"42ø40'40.0""";"133ø2'36.0""";K;2;3
3854;"66ø2'0.0""";"142ø27'0.0""";K;3;4
3855;"52ø18'0.0""";"112ø53'0.0""";Tr;1;3
3856;"69ø35'0.0""";"150ø20'0.0""";K;3;4
3857;"46ø56'3.0""";"137ø4'5.0""";K;2;3
3858;"65ø30'0.0""";"167ø19'0.0""";K;4;3
3859;"66ø40'0.0""";"135ø45'0.0""";K;3;0
3860;"43ø52'0.0""";"135ø8'0.0""";K;2;0
3861;"62ø44'0.0""";"155ø31'0.0""";K;3;3
3862;"47ø29'54.0""";"138ø14'58.0""";Pg;2;3
3863;"59ø37'0.0""";"144ø24'0.0""";K;3;1
3864;"62ø21'15.0""";"155ø56'0.0""";K;3;3
3865;"45ø1'46.0""";"134ø14'35.0""";Pg;2;3
3866;"54ø5'0.0""";"117ø46'10.0""";Mz;1;0
3867;"65ø40'0.0""";"161ø5'0.0""";K;4;4
3868;"45ø32'51.0""";"136ø56'40.0""";Pg;2;3
3870;"66ø51'0.0""";"157ø44'0.0""";K;3;3
3871;"69ø47'0.0""";"142ø10'0.0""";K;3;3
3872;"65ø10'0.0""";"179ø38'0.0""WW";K;5;3
3873;"43ø57'40.0""";"135ø27'40.0""";Pg;2;0
3874;"44ø30'40.0""";"134ø45'20.0""";K;2;3
3875;"47ø12'0.0""";"137ø27'36.0""";K;2;0
3876;"45ø50'0.0""";"137ø43'0.0""";Pg;2;4
3877;"50ø55'0.0""";"113ø18'0.0""";J;1;0
3878;"46ø50'25.0""";"136ø57'15.0""";K;2;0
3879;"66ø30'0.0""";"178ø15'0.0""WW";K;5;4
3880;"63ø34'0.0""";"144ø54'0.0""";K;3;3
3881;"49ø59'0.0""";"111ø28'0.0""";J;1;0
3882;"62ø3'0.0""";"140ø31'0.0""";K;3;3
3883;"49ø30'0.0""";"110ø47'0.0""";Tr;1;3
3884;"69ø46'0.0""";"141ø49'0.0""";K;3;3
3885;"43ø5'50.0""";"132ø47'50.0""";K;2;3
3886;"50ø5'0.0""";"109ø53'0.0""";Tr;1;0
3887;"65ø33'42.0""";"179ø54'18.0""";K;4;3
3888;"67ø2'0.0""";"149ø21'0.0""";K;3;0
3889;"63ø18'0.0""";"155ø16'0.0""";K;3;3
3890;"62ø36'0.0""";"159ø42'0.0""";K;3;4
3891;"62ø5'0.0""";"139ø28'0.0""";K;3;3
3892;"53ø53'50.0""";"115ø39'0.0""";Tr-J;1;3
3893;"54ø2'0.0""";"134ø54'0.0""";Pg;2;3
3894;"50ø39'0.0""";"136ø25'0.0""";K;2;0
3895;"47ø10'30.0""";"136ø42'0.0""";K;2;0
3896;"55ø28'0.0""";"118ø46'40.0""";Tr;1;3
3897;"43ø48'35.0""";"135ø27'35.0""";Pg;2;0
3898;"69ø36'0.0""";"170ø11'0.0""";K;4;3
3899;"52ø28'0.0""";"133ø58'0.0""";K;2;4
3900;"62ø48'0.0""";"139ø25'0.0""";K;3;3
3901;"69ø39'0.0""";"170ø13'0.0""";K;4;0
3902;"50ø5'0.0""";"109ø51'0.0""";Tr;1;3
3903;"66ø12'0.0""";"166ø11'0.0""";K;4;0
3904;"49ø38'0.0""";"112ø9'0.0""";J;1;3
3905;"44ø18'25.0""";"137ø11'30.0""";K;2;0
3906;"63ø29'0.0""";"144ø10'0.0""";K;3;3
3907;"54ø10'35.0""";"116ø16'30.0""";Tr-J;1;0
3908;"60ø27'0.0""";"151ø40'0.0""";K;3;3
3909;"46ø56'0.0""";"137ø10'0.0""";K;2;3
3910;"62ø48'0.0""";"139ø25'0.0""";K;3;0
3911;"43ø52'0.0""";"135ø8'0.0""";K;2;3
3912;"49ø32'0.0""";"109ø33'0.0""";Mz;1;4
3913;"50ø14'0.0""";"110ø5'0.0""";Tr;1;3
3914;"51ø19'0.0""";"109ø21'0.0""";J;1;0
3915;"62ø9'0.0""";"139ø17'0.0""";K;3;3
3916;"52ø36'0.0""";"135ø49'0.0""";K;2;0
3917;"64ø52'0.0""";"178ø12'0.0""";K;4;3
3918;"62ø5'0.0""";"139ø28'0.0""";K;3;3
