 SAMPLE	ROCK SUITE	V/P	SIO2 	TIO2 	AL2O3	FE2O3	FEO  	MNO  	MGO  	CAO  	NA2O 	K2O  	P2O5 	CO2  	F    	S    	BAO  	ANA.TOT.	OXD.RAT.	MG RATIO	AGP.COEF.	AB/AB+AN	DIFFER.INDEX	ALKALINITY	      	NORM TOTAL	MG/FE+MG	  QZ	  OR	  AB	  AN	  NP	  LC	  AC	 COR	  DI	  HY	  OL	  WO	  MG	  HM	  IL	  AP	  FL	  HA	  CC	  PY	  ZR	  CR	  SP	  PV	  RT	 THN	NACR	NAMT	KMTA	CAOR	  KP	
 MC-70   	MORSE-APPENDIX-1A   	V	 47.4799995 	 2.63000011 	 17.4200001 	 3.58999991 	 8.10000038 	 0.180000007 	 6.73999977 	 8.53999996 	 3.11999989 	 1.20000005 	 0.360000014 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.3599930 	 0.00000000E+00 	 48.3872757 	 0.369106472 	 46.8216896 	 33.4896355 	METALUMINOUS	   	 99.3713913 	 0.263727367 	 0.00000000E+00 	 7.09095621 	 26.3986816 	 29.9826298 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 8.10766125 	 6.20370054 	 10.5351419 	 0.00000000E+00 	 5.20493793 	 0.00000000E+00 	 4.99502516 	 0.852663696 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-69   	MORSE-APPENDIX-1A   	V	 45.5400009 	 2.84999990 	 17.6100006 	 3.55999994 	 8.25000000 	 0.170000002 	 6.42000008 	 10.8199997 	 2.74000001 	 0.699999988 	 0.340000004 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.9999847 	 0.00000000E+00 	 49.6848640 	 0.298910469 	 40.7680016 	 27.3198490 	METALUMINOUS	   	 99.0103455 	 0.271221846 	 0.00000000E+00 	 4.13639069 	 23.1834583 	 33.6833420 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 14.3793726 	 0.178345546 	 12.0698471 	 0.00000000E+00 	 5.16144228 	 0.00000000E+00 	 5.41285944 	 0.805293381 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-72   	MORSE-APPENDIX-1A   	V	 47.9900017 	 2.61999989 	 19.3600006 	 5.82999992 	 5.17000008 	 0.209999993 	 4.38999987 	 6.53999996 	 4.57999992 	 1.82000005 	 0.629999995 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.1400070 	 0.00000000E+00 	 36.8451576 	 0.490802139 	 57.4201431 	 48.3664894 	METALUMINOUS	   	 99.1657791 	 4.90732901E-02 	 0.00000000E+00 	 10.7546167 	 36.2641487 	 26.8916454 	 1.34772384 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 1.12589240 	 0.00000000E+00 	 7.86097240 	 0.00000000E+00 	 8.45258713 	 0.00000000E+00 	 4.97603178 	 1.49216127 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-73   	MORSE-APPENDIX-1A   	V	 50.2500000 	 2.11999989 	 19.0300007 	 4.53000021 	 5.50000000 	 0.219999999 	 3.10999990 	 5.98000002 	 5.30000019 	 2.20000005 	 1.13999999 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.3800049 	 0.00000000E+00 	 45.0500717 	 0.583146513 	 65.6535187 	 56.2473335 	METALUMINOUS	   	 99.4322739 	 0.242931291 	 0.00000000E+00 	 13.0000858 	 41.3597069 	 21.6372299 	 1.88754308 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.468122005 	 0.00000000E+00 	 7.78527594 	 0.00000000E+00 	 6.56779146 	 0.00000000E+00 	 4.02640772 	 2.70010138 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MC-79   	MORSE-APPENDIX-1A   	V	 49.7900009 	 2.50999999 	 18.3700008 	 6.03000021 	 4.82000017 	 0.219999999 	 4.01000023 	 6.67999983 	 4.57999992 	 2.07999992 	 0.560000002 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.6500092 	 0.00000000E+00 	 35.5019302 	 0.532568157 	 62.3276939 	 51.0429039 	METALUMINOUS	   	 99.6720657 	 1.00814756E-02 	 0.00000000E+00 	 12.2909889 	 38.7519112 	 23.4225559 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 4.72171021 	 0.293874443 	 5.35499763 	 0.00000000E+00 	 8.74255657 	 0.00000000E+00 	 4.76711512 	 1.32636559 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 PICRBSLT	BROWNLOW-TAB-8-5    	V	 46.7999992 	 1.89999998 	 8.19999981 	 1.20000005 	 9.80000019 	 0.00000000E+00 	 19.7999992 	 9.50000000 	 1.60000002 	 1.20000005 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.9999924 	 0.00000000E+00 	 37.3405533 	 0.479264587 	 46.6363602 	 19.0899239 	METALUMINOUS	   	 99.9872284 	 0.176293612 	 0.00000000E+00 	 7.09095621 	 10.1798182 	 11.6482525 	 1.81915033 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 28.3259010 	 0.00000000E+00 	 35.5747604 	 0.00000000E+00 	 1.73981225 	 0.00000000E+00 	 3.60857320 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 OLIVBSLT	BROWNLOW-TAB-8-5    	V	 47.7000008 	 3.20000005 	 15.1999998 	 2.29999995 	 8.69999981 	 0.00000000E+00 	 9.69999981 	 8.89999962 	 2.70000005 	 1.60000002 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.9999924 	 0.00000000E+00 	 47.5490723 	 0.406047821 	 47.3357391 	 31.9752731 	METALUMINOUS	   	 99.9895096 	 0.216899723 	 0.00000000E+00 	 9.45460796 	 22.1372280 	 24.6291847 	 0.383438319 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 15.6756477 	 0.00000000E+00 	 18.2971687 	 0.00000000E+00 	 3.33463979 	 0.00000000E+00 	 6.07759714 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 TRACBSLT	BROWNLOW-TAB-8-5    	V	 51.0999985 	 2.79999995 	 17.6000004 	 2.79999995 	 6.80000019 	 0.00000000E+00 	 4.80000019 	 6.90000010 	 4.00000000 	 3.20000005 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 100.000008 	 0.00000000E+00 	 52.1301231 	 0.570531011 	 57.7927399 	 50.1809921 	METALUMINOUS	   	 99.9901352 	 0.261090368 	 0.00000000E+00 	 18.9092159 	 28.2304039 	 20.6172600 	 3.04137063 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 10.9985018 	 0.00000000E+00 	 8.81592083 	 0.00000000E+00 	 4.05956173 	 0.00000000E+00 	 5.31789684 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 TRACANDS	BROWNLOW-TAB-8-5    	V	 56.2999992 	 1.79999995 	 17.7999992 	 2.90000010 	 4.69999981 	 0.00000000E+00 	 2.29999995 	 4.69999981 	 4.80000019 	 4.69999981 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 100.000000 	 0.00000000E+00 	 51.6812286 	 0.729226410 	 74.4736786 	 67.3457031 	METALUMINOUS	   	 99.9898834 	 0.302393287 	 0.00000000E+00 	 27.7729092 	 38.3426628 	 13.1421928 	 1.23013020 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 8.26773739 	 0.00000000E+00 	 3.61105394 	 0.00000000E+00 	 4.20454597 	 0.00000000E+00 	 3.41864800 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 TRACHYTE	BROWNLOW-TAB-8-5    	V	 59.5000000 	 0.899999976 	 19.3999996 	 1.70000005 	 3.59999990 	 0.00000000E+00 	 1.00000000 	 2.00000000 	 5.19999981 	 6.69999981 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.9999924 	 0.00000000E+00 	 60.9585991 	 0.814552009 	 79.9378662 	 81.3314362 	METALUMINOUS	   	 99.9897537 	 0.532018423 	 0.00000000E+00 	 39.5911713 	 39.0714569 	 9.80582523 	 2.66880536 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 9.70520526E-02 	 0.00000000E+00 	 4.58137417 	 0.00000000E+00 	 2.46473408 	 0.00000000E+00 	 1.70932400 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 AEGAUGTR	BROWNLOW-TAB-8-5    	V	 61.5000000 	 0.300000012 	 18.2999992 	 2.59999990 	 2.79999995 	 0.00000000E+00 	 0.200000003 	 1.50000000 	 7.00000000 	 5.80000019 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 100.000008 	 0.00000000E+00 	 52.8837166 	 0.972064376 	 97.2539520 	 88.8052444 	METALUMINOUS	   	 99.9895477 	 0.792413414 	 0.00000000E+00 	 34.2729530 	 48.9813728 	 1.38303316 	 5.55091953 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 5.25986814 	 0.00000000E+00 	 0.202034339 	 0.00000000E+00 	 3.76959300 	 0.00000000E+00 	 0.569774747 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 NEPHSYNT	COXETAL-APPENDIX2   	P	 54.9900017 	 0.600000024 	 20.9599991 	 2.25000000 	 2.04999995 	 0.150000006 	 0.769999981 	 2.30999994 	 8.22999954 	 5.57999992 	 0.129999995 	 0.200000003 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.2199936 	 0.00000000E+00 	 42.5178642 	 0.933856368 	 88.5744476 	 84.0892258 	METALUMINOUS	   	 98.2191391 	 0.321471214 	 0.00000000E+00 	 32.9729424 	 29.2239571 	 3.76970911 	 21.8923264 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 4.54368734 	 0.00000000E+00 	 0.652071893 	 0.00000000E+00 	 3.26214767 	 0.00000000E+00 	 1.13954949 	 0.307906300 	 0.00000000E+00 	 0.00000000E+00 	 0.454851180 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 PHONOLIT	COXETAL-APPENDIX2   	V	 56.1899986 	 0.620000005 	 19.0400009 	 2.78999996 	 2.02999997 	 0.170000002 	 1.07000005 	 2.72000003 	 7.78999996 	 5.23999977 	 0.180000007 	 7.99999982E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 97.9199982 	 0.00000000E+00 	 36.6418152 	 0.970696747 	 95.9105072 	 82.9002609 	METALUMINOUS	   	 97.9216919 	 0.169592440 	 0.00000000E+00 	 30.9638386 	 35.4147491 	 1.51003683 	 16.5216751 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 7.09132242 	 0.00000000E+00 	 0.00000000E+00 	 0.589192271 	 4.04506350 	 0.00000000E+00 	 1.17753446 	 0.426331848 	 0.00000000E+00 	 0.00000000E+00 	 0.181940466 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 SYENITE 	COXETAL-APPENDIX2   	P	 58.5800018 	 0.839999974 	 16.6399994 	 3.03999996 	 3.13000011 	 0.129999995 	 1.87000000 	 3.52999997 	 5.23999977 	 4.94999981 	 0.289999992 	 0.280000001 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.5199890 	 0.00000000E+00 	 42.0358620 	 0.839807808 	 85.9228363 	 74.4405899 	METALUMINOUS	   	 98.5265732 	 0.254664779 	 0.854149342 	 29.2501926 	 44.3362465 	 7.26382732 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 5.31443739 	 4.18116856 	 0.00000000E+00 	 0.00000000E+00 	 4.40752363 	 0.00000000E+00 	 1.59536910 	 0.686867893 	 0.00000000E+00 	 0.00000000E+00 	 0.636791646 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
