 SAMPLE	ROCK SUITE	V/P	SIO2 	TIO2 	AL2O3	FE2O3	FEO  	MNO  	MGO  	CAO  	NA2O 	K2O  	P2O5 	CO2  	F    	S    	BAO  	ANA.TOT.	OXD.RAT.	MG RATIO	AGP.COEF.	AB/AB+AN	DIFFER.INDEX	ALKALINITY	      	NORM TOTAL	MG/FE+MG	  QZ	  OR	  AB	  AN	  NP	  LC	  AC	 COR	  DI	  HY	  OL	  WO	  MG	  HM	  IL	  AP	  FL	  HA	  CC	  PY	  ZR	  CR	  SP	  PV	  RT	 THN	NACR	NAMT	KMTA	CAOR	  KP	
 TRACHTY 	COXETAL-APPENDIX2   	V	 61.2099991 	 0.699999988 	 16.9599991 	 2.99000001 	 2.28999996 	 0.150000006 	 0.930000007 	 2.33999991 	 5.46999979 	 4.98000002 	 0.209999993 	 9.00000036E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.3199921 	 0.00000000E+00 	 39.1352348 	 0.848180115 	 86.8363724 	 80.6598816 	METALUMINOUS	   	 98.3230820 	 0.219926566 	 4.95010853 	 29.4274654 	 46.2823029 	 7.01598835 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 2.12996531 	 2.15066576 	 0.00000000E+00 	 0.00000000E+00 	 4.33503199 	 0.00000000E+00 	 1.32947421 	 0.497387081 	 0.00000000E+00 	 0.00000000E+00 	 0.204683036 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 GRANITE 	COXETAL-APPENDIX2   	P	 71.3000031 	 0.310000002 	 14.3199997 	 1.21000004 	 1.63999999 	 5.00000007E-02 	 0.709999979 	 1.84000003 	 3.68000007 	 4.07000017 	 0.119999997 	 5.00000007E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.3000031 	 0.00000000E+00 	 49.2562141 	 0.730202138 	 79.5024185 	 84.2513123 	PERALUMINOUS	   	 99.2998047 	 0.406755000 	 29.0642471 	 24.0501595 	 31.1369095 	 8.02782249 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.918760478 	 0.00000000E+00 	 3.36089110 	 0.00000000E+00 	 0.00000000E+00 	 1.75431061 	 0.00000000E+00 	 0.588767231 	 0.284221202 	 0.00000000E+00 	 0.00000000E+00 	 0.113712795 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 RHYOLITE	COXETAL-APPENDIX2   	V	 72.8199997 	 0.280000001 	 13.2700005 	 1.48000002 	 1.11000001 	 5.99999987E-02 	 0.389999986 	 1.13999999 	 3.54999995 	 4.30000019 	 7.00000003E-02 	 7.99999982E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.5500031 	 0.00000000E+00 	 39.5847816 	 0.790623546 	 86.4889603 	 88.3380203 	PERALUMINOUS	   	 98.5476074 	 0.266975909 	 32.8917961 	 25.4092598 	 30.0369625 	 4.69228268 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 1.05614257 	 0.00000000E+00 	 1.43587816 	 0.00000000E+00 	 0.00000000E+00 	 2.14576840 	 0.00000000E+00 	 0.531789720 	 0.165795699 	 0.00000000E+00 	 0.00000000E+00 	 0.181940466 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 ADAMETLE	COXETAL-APPENDIX2   	P	 68.6500015 	 0.540000021 	 14.5500002 	 1.23000002 	 2.70000005 	 7.99999982E-02 	 1.13999999 	 2.68000007 	 3.47000003 	 4.00000000 	 0.189999998 	 9.00000036E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 99.3200073 	 0.00000000E+00 	 56.5906639 	 0.689716160 	 71.8820343 	 78.0347214 	METALUMINOUS	   	 99.3237076 	 0.461650401 	 25.0381298 	 23.6365204 	 29.3600731 	 11.4847260 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.303036839 	 0.00000000E+00 	 6.03761625 	 0.00000000E+00 	 0.00000000E+00 	 1.78330743 	 0.00000000E+00 	 1.02559447 	 0.450016886 	 0.00000000E+00 	 0.00000000E+00 	 0.204683036 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 GRANODIO	COXETAL-APPENDIX2   	P	 66.0899963 	 0.540000021 	 15.7299995 	 1.38000000 	 2.73000002 	 7.99999982E-02 	 1.74000001 	 3.82999992 	 3.75000000 	 2.73000002 	 0.180000007 	 7.99999982E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.8600006 	 0.00000000E+00 	 50.5397949 	 0.579885066 	 64.6909485 	 70.1884155 	METALUMINOUS	   	 98.8629837 	 0.354730397 	 22.3273029 	 16.1319237 	 31.7291870 	 17.3181534 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.259096891 	 0.00000000E+00 	 7.46267319 	 0.00000000E+00 	 0.00000000E+00 	 2.00078392 	 0.00000000E+00 	 1.02559447 	 0.426331848 	 0.00000000E+00 	 0.00000000E+00 	 0.181940466 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 RHYODACI	COXETAL-APPENDIX2   	V	 65.5500031 	 0.600000024 	 15.0400000 	 2.13000011 	 2.02999997 	 9.00000036E-02 	 2.08999991 	 3.61999989 	 3.67000008 	 3.00000000 	 0.250000000 	 0.209999993 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.2799911 	 0.00000000E+00 	 35.8778267 	 0.617166877 	 67.4322510 	 71.3842010 	METALUMINOUS	   	 98.2864304 	 0.143365204 	 22.6045170 	 17.7273884 	 31.0522976 	 14.9973288 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.259039909 	 0.00000000E+00 	 6.34842539 	 0.00000000E+00 	 0.00000000E+00 	 3.08816671 	 0.00000000E+00 	 1.13954949 	 0.592127502 	 0.00000000E+00 	 0.00000000E+00 	 0.477593720 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 DACITE  	COXETAL-APPENDIX2   	V	 65.0100021 	 0.579999983 	 15.9099998 	 2.43000007 	 2.29999995 	 9.00000036E-02 	 1.77999997 	 4.32000017 	 3.78999996 	 2.17000008 	 0.150000006 	 5.99999987E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.5899963 	 0.00000000E+00 	 38.6070633 	 0.539371192 	 61.5996094 	 67.5932083 	METALUMINOUS	   	 98.5914764 	 0.196622446 	 22.7027645 	 12.8228121 	 32.0676308 	 19.9905415 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 6.46939501E-02 	 5.82662201 	 0.00000000E+00 	 0.00000000E+00 	 3.52311969 	 0.00000000E+00 	 1.10156441 	 0.355276495 	 0.00000000E+00 	 0.00000000E+00 	 0.136455357 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 TONALITE	COXETAL-APPENDIX2   	P	 61.5200005 	 0.730000019 	 16.4799995 	 1.83000004 	 3.81999993 	 7.99999982E-02 	 2.79999995 	 5.42000008 	 3.63000011 	 2.06999993 	 0.250000000 	 0.140000001 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.7700043 	 0.00000000E+00 	 49.4872055 	 0.498182148 	 57.6535339 	 59.0929871 	METALUMINOUS	   	 98.7761993 	 0.326717317 	 16.1472340 	 12.2318983 	 30.7138538 	 22.5592976 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 1.47586823 	 10.6978626 	 0.00000000E+00 	 0.00000000E+00 	 2.65321374 	 0.00000000E+00 	 1.38645184 	 0.592127502 	 0.00000000E+00 	 0.00000000E+00 	 0.318395823 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 DIORITE 	COXETAL-APPENDIX2   	P	 57.4799995 	 0.949999988 	 16.6700001 	 2.50000000 	 4.92000008 	 0.119999997 	 3.71000004 	 6.57999992 	 3.53999996 	 1.75999999 	 0.289999992 	 0.100000001 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.6200027 	 0.00000000E+00 	 48.3868408 	 0.463501424 	 55.1105690 	 50.6390953 	METALUMINOUS	   	 98.6282959 	 0.316579223 	 10.2866774 	 10.4000683 	 29.9523506 	 24.3972073 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 4.65612555 	 12.5926847 	 0.00000000E+00 	 0.00000000E+00 	 3.62460852 	 0.00000000E+00 	 1.80428660 	 0.686867893 	 0.00000000E+00 	 0.00000000E+00 	 0.227425590 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 ANDESITE	COXETAL-APPENDIX2   	V	 57.9399986 	 0.870000005 	 17.0200005 	 3.26999998 	 4.03999996 	 0.140000001 	 3.32999992 	 6.78999996 	 3.48000002 	 1.62000000 	 0.209999993 	 5.00000007E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.7600098 	 0.00000000E+00 	 41.6240578 	 0.439271122 	 53.0729408 	 51.4039993 	METALUMINOUS	   	 98.7644577 	 0.245253593 	 12.3865271 	 9.57279015 	 29.4446831 	 26.0349674 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 4.80554533 	 9.51551151 	 0.00000000E+00 	 0.00000000E+00 	 4.74098778 	 0.00000000E+00 	 1.65234673 	 0.497387081 	 0.00000000E+00 	 0.00000000E+00 	 0.113712795 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MONZONIT	COXETAL-APPENDIX2   	P	 62.5999985 	 0.779999971 	 15.6499996 	 1.91999996 	 3.07999992 	 0.100000001 	 2.01999998 	 4.17000008 	 3.73000002 	 4.05999994 	 0.250000000 	 7.99999982E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.4399948 	 0.00000000E+00 	 47.5691872 	 0.672709584 	 69.3188553 	 69.5289078 	METALUMINOUS	   	 98.4458237 	 0.309844524 	 13.9778805 	 23.9910660 	 31.5599651 	 13.9687176 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 3.72496939 	 6.18404484 	 0.00000000E+00 	 0.00000000E+00 	 2.78369927 	 0.00000000E+00 	 1.48141420 	 0.592127502 	 0.00000000E+00 	 0.00000000E+00 	 0.181940466 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 LATITE  	COXETAL-APPENDIX2   	V	 61.2500000 	 0.810000002 	 16.0100002 	 3.27999997 	 2.06999993 	 9.00000036E-02 	 2.22000003 	 4.34000015 	 3.71000004 	 3.86999989 	 0.330000013 	 0.189999998 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.1699982 	 0.00000000E+00 	 30.2909603 	 0.642686486 	 66.7992859 	 68.5121384 	METALUMINOUS	   	 98.1796112 	 0.00000000E+00 	 14.2530661 	 22.8683319 	 31.3907413 	 15.6018887 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 2.00125885 	 4.59966612 	 0.00000000E+00 	 0.00000000E+00 	 4.61714506 	 9.54122841E-02 	 1.53839171 	 0.781608284 	 0.00000000E+00 	 0.00000000E+00 	 0.432108611 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 TRNSANDS	COXETAL-APPENDIX2   	V	 58.1500015 	 1.08000004 	 16.7000008 	 3.25999999 	 3.21000004 	 0.159999996 	 2.56999993 	 4.96000004 	 4.34999990 	 3.21000004 	 0.409999996 	 7.99999982E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.1400146 	 0.00000000E+00 	 38.6883049 	 0.636394799 	 68.9675446 	 63.5186996 	METALUMINOUS	   	 98.1541977 	 0.169421092 	 7.74453497 	 18.9683056 	 36.8058586 	 16.5610695 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 3.87653184 	 6.26718712 	 0.00000000E+00 	 0.00000000E+00 	 4.72648954 	 0.00000000E+00 	 2.05118895 	 0.971089065 	 0.00000000E+00 	 0.00000000E+00 	 0.181940466 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 MUGEARIT	COXETAL-APPENDIX2   	V	 50.5200005 	 2.08999991 	 16.7099991 	 4.88000011 	 5.86000013 	 0.259999990 	 3.20000005 	 6.13999987 	 4.73000002 	 2.46000004 	 0.750000000 	 0.150000006 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 97.7499924 	 0.00000000E+00 	 45.1003113 	 0.624846101 	 70.0664368 	 54.5575409 	METALUMINOUS	   	 97.7826385 	 0.264279544 	 0.00000000E+00 	 14.5364590 	 40.0210800 	 17.0976753 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 6.07376051 	 1.91268992 	 4.97878838 	 0.00000000E+00 	 7.07523584 	 0.00000000E+00 	 3.96943045 	 1.77638257 	 0.00000000E+00 	 0.00000000E+00 	 0.341138393 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 TRNSBASL	COXETAL-APPENDIX2   	V	 49.2099991 	 2.40000010 	 16.6299992 	 3.69000006 	 6.17999983 	 0.159999996 	 5.17000008 	 7.90000010 	 3.96000004 	 2.54999995 	 0.589999974 	 0.100000001 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.5400009 	 0.00000000E+00 	 45.2030716 	 0.557557940 	 59.3900414 	 46.6702499 	METALUMINOUS	   	 98.5628128 	 0.215028077 	 0.00000000E+00 	 15.0682812 	 29.3510456 	 20.0697765 	 2.25092316 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 11.7476940 	 0.00000000E+00 	 8.54212475 	 0.00000000E+00 	 5.34992266 	 0.00000000E+00 	 4.55819798 	 1.39742088 	 0.00000000E+00 	 0.00000000E+00 	 0.227425590 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 HAWAIITE	COXETAL-APPENDIX2   	V	 47.4799995 	 3.23000002 	 15.7399998 	 4.94000006 	 7.36000013 	 0.189999998 	 5.57999992 	 7.90999985 	 3.97000003 	 1.52999997 	 0.740000010 	 3.99999991E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.7100067 	 0.00000000E+00 	 45.0858154 	 0.520005226 	 61.9759140 	 42.6316032 	METALUMINOUS	   	 98.7410583 	 0.196083412 	 0.00000000E+00 	 9.04096889 	 33.5906334 	 20.6088600 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 10.8434887 	 0.238815233 	 9.27781773 	 0.00000000E+00 	 7.16222668 	 0.00000000E+00 	 6.13457441 	 1.75269735 	 0.00000000E+00 	 0.00000000E+00 	 9.09702331E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 GABBRO  	COXETAL-APPENDIX2   	P	 50.1399994 	 1.12000000 	 15.4799995 	 3.00999999 	 7.61999989 	 0.119999997 	 7.59000015 	 9.57999992 	 2.39000010 	 0.930000007 	 0.239999995 	 7.00000003E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.2900085 	 0.00000000E+00 	 46.6400261 	 0.318932325 	 41.2818336 	 26.5406666 	METALUMINOUS	   	 98.2947998 	 0.284581929 	 0.823107243 	 5.49549055 	 20.2220688 	 28.7633209 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 13.5789719 	 22.1930161 	 0.00000000E+00 	 0.00000000E+00 	 4.36402893 	 0.00000000E+00 	 2.12715888 	 0.568442404 	 0.00000000E+00 	 0.00000000E+00 	 0.159197912 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 NORITE  	COXETAL-APPENDIX2   	P	 50.4399986 	 1.00000000 	 16.2800007 	 2.21000004 	 7.38999987 	 0.140000001 	 8.72999954 	 9.40999985 	 2.25999999 	 0.699999988 	 0.150000006 	 0.180000007 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.8900070 	 0.00000000E+00 	 45.3578415 	 0.274839193 	 37.2525597 	 23.5644341 	METALUMINOUS	   	 98.8902206 	 0.266017348 	 0.305920660 	 4.13639069 	 19.1221237 	 32.2089119 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 9.98905182 	 27.2597790 	 0.00000000E+00 	 0.00000000E+00 	 3.20415401 	 0.00000000E+00 	 1.89924908 	 0.355276495 	 0.00000000E+00 	 0.00000000E+00 	 0.409366071 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 DOLERITE	COXETAL-APPENDIX2   	P	 50.1800003 	 1.13999999 	 15.2600002 	 2.85999990 	 8.05000019 	 0.189999998 	 6.78000021 	 9.23999977 	 2.55999994 	 1.03999996 	 0.270000011 	 0.180000007 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 97.7500000 	 0.00000000E+00 	 50.0805588 	 0.349652290 	 44.4448471 	 28.9274845 	METALUMINOUS	   	 97.7576294 	 0.329247385 	 1.12153244 	 6.14549446 	 21.6604576 	 27.0751305 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 12.9379654 	 21.4564877 	 0.00000000E+00 	 0.00000000E+00 	 4.14655209 	 0.00000000E+00 	 2.16514373 	 0.639497697 	 0.00000000E+00 	 0.00000000E+00 	 0.409366071 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 BASALT  	COXETAL-APPENDIX2   	V	 49.2000008 	 1.84000003 	 15.7399998 	 3.78999996 	 7.13000011 	 0.200000003 	 6.73000002 	 9.47000027 	 2.91000009 	 1.10000002 	 0.349999994 	 0.109999999 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.5699997 	 0.00000000E+00 	 44.6684113 	 0.379685372 	 48.0346832 	 31.1218910 	METALUMINOUS	   	 98.5812454 	 0.248834863 	 0.00000000E+00 	 6.50004292 	 24.6218491 	 26.6366348 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 14.0027533 	 15.3284969 	 1.42279875 	 0.00000000E+00 	 5.49490643 	 0.00000000E+00 	 3.49461818 	 0.828978479 	 0.00000000E+00 	 0.00000000E+00 	 0.250168145 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 BASANITE	COXETAL-APPENDIX2   	V	 44.2999992 	 2.50999999 	 14.6999998 	 3.94000006 	 7.50000000 	 0.159999996 	 8.53999996 	 10.1899996 	 3.54999995 	 1.96000004 	 0.740000010 	 0.180000007 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.2700043 	 0.00000000E+00 	 42.0597649 	 0.541458309 	 39.9374733 	 33.4567146 	METALUMINOUS	   	 98.3005142 	 0.192689866 	 0.00000000E+00 	 11.5818949 	 12.2257509 	 18.3864765 	 9.64906979 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 20.9597111 	 0.00000000E+00 	 12.8560553 	 0.00000000E+00 	 5.71238327 	 0.00000000E+00 	 4.76711512 	 1.75269735 	 0.00000000E+00 	 0.00000000E+00 	 0.409366071 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 NEPHELIN	COXETAL-APPENDIX2   	V	 40.5999985 	 2.66000009 	 14.3299999 	 5.48000002 	 6.17000008 	 0.259999990 	 6.38999987 	 11.8900003 	 4.78999996 	 3.46000004 	 1.07000005 	 0.600000024 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 97.7000046 	 0.00000000E+00 	 37.8095474 	 0.811023474 	 0.00000000E+00 	 38.6372414 	METALUMINOUS	   	 97.7499008 	 0.121567003 	 0.00000000E+00 	 3.00682759 	 0.00000000E+00 	 7.38118887 	 21.9560986 	 13.6743155 	 0.00000000E+00 	 0.00000000E+00 	 32.3363991 	 0.00000000E+00 	 2.49906015 	 0.00000000E+00 	 7.94514227 	 0.00000000E+00 	 5.05200243 	 2.53430581 	 0.00000000E+00 	 0.00000000E+00 	 1.36455357 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 TEPHRITE	COXETAL-APPENDIX2   	V	 47.7999992 	 1.75999999 	 17.0000000 	 4.11999989 	 5.21999979 	 0.150000006 	 4.69999981 	 9.18000031 	 3.69000006 	 4.48999977 	 0.629999995 	 1.99999996E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.7600021 	 0.00000000E+00 	 41.0253181 	 0.642789781 	 34.3939934 	 47.4248390 	METALUMINOUS	   	 98.7850800 	 0.187724948 	 0.00000000E+00 	 26.5319920 	 8.68256378 	 16.5618534 	 12.2102852 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 19.7808399 	 0.00000000E+00 	 4.16385841 	 0.00000000E+00 	 5.97335482 	 0.00000000E+00 	 3.34267831 	 1.49216127 	 0.00000000E+00 	 0.00000000E+00 	 4.54851165E-02 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 ANORTHOS	COXETAL-APPENDIX2   	P	 50.2799988 	 0.639999986 	 25.8600006 	 0.959999979 	 2.06999993 	 5.00000007E-02 	 2.11999989 	 12.4799995 	 3.15000010 	 0.649999976 	 9.00000036E-02 	 0.140000001 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.4900055 	 0.00000000E+00 	 44.7202873 	 0.227533400 	 32.8420906 	 31.0452595 	METALUMINOUS	   	 98.4866486 	 0.227602392 	 0.551808953 	 3.84093428 	 26.6525154 	 54.5010071 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 4.77411747 	 5.02732706 	 0.00000000E+00 	 0.00000000E+00 	 1.39184964 	 0.00000000E+00 	 1.21551931 	 0.213165924 	 0.00000000E+00 	 0.00000000E+00 	 0.318395823 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
 PYROXENI	COXETAL-APPENDIX2   	P	 46.2700005 	 1.47000003 	 7.15999985 	 4.26999998 	 7.17999983 	 0.159999996 	 16.0400009 	 14.0799999 	 0.920000017 	 0.639999986 	 0.379999995 	 0.129999995 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 98.6999969 	 0.00000000E+00 	 30.3865891 	 0.308048457 	 36.5441780 	 11.5660706 	METALUMINOUS	   	 98.7098770 	 0.125421554 	 0.00000000E+00 	 3.78184319 	 7.78422737 	 13.5166426 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 42.0298882 	 6.19209051 	 15.2267694 	 0.00000000E+00 	 6.19083166 	 0.00000000E+00 	 2.79189610 	 0.900033772 	 0.00000000E+00 	 0.00000000E+00 	 0.295653254 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	 0.00000000E+00 	
